title,abstract,trial
Adjuvant therapy of cancer via the cellular immune mechanism or fibrin by induced fibrinolysis and oral anticoagulants.,"The value of the oral anticoagulant warfarin sodium and fibrinolytic agents is discussed in relation to cancer surgery. A controlled trial of 128 patients showed that in a variety of recurrent cases the addition of warfarin to chemotherapy doubled the 2-year survival rate. The best results were obtained in postmenopausal patients with breast cancer. Warfarin depresses cellular immune responses which might militate against its use for cases undergoing ""curative"" surgery. Instead, induction of fibrinolysis by streptokinase or Brinase is suggested, because it increases the activity of the cellular immune mechanism. The results to date of an ongoing controlled randomized trial of streptokinase with surgery of tumors of the large bowel are presented, showing that the trends are in favor of streptokinase therapy; however, insufficient time has elapsed to make it, as yet, statistically significant. The action of streptokinase-induced plasmin and Brinase on lymphocytes is described.",0
High-dose chemotherapy and autologous stem cell rescue for metastatic breast cancer: superior survival for tandem compared with single transplants.,"During 1990-1999, we treated 60 patients with breast cancer who had distant metastases with high-dose chemotherapy and autologous stem cell rescue (HDC) after they had responded to induction chemotherapy. HDC regimens were MiTepa (60 mg/m2 mitoxantrone by continuous intravenous infusion over 3 days plus 300 mg/m2 thiotepa intravenously over 2 hours daily x 3 days) and ICE (12 g/m2 ifosfamide, 1800 mg/m2 carboplatin, 2 g/m2 etoposide; all 3 by continuous intravenous over 4 days). At a median follow up >8 years, the median failure-free survival (FFS) was 13.9 months, median overall survival (OS) 29.1 months, 5-year FFS 12%s and 5-year OS 25%. Thirty-three patients underwent tandem (T) transplants; 27 underwent a single (S) HDC. Median ages for these 2 groups were 45 and 48 years; bone and liver metastases were more prevalent in the T cohort, whereas lung metastases were more prevalent in the S cohort. At a median follow up of 6.5 years for the S group and >9 years for the T group, there were 52 deaths. FFS was better for T: median 15.7 versus 7.7 months (p2 = 0.010) as was OS: median 32.7 versus 17.7 months, 2-year survival 68% versus 41%, and 5-year survival 32% versus 15% (p2 = 0.010). As a group, patients with distant metastatic breast cancer who underwent tandem transplants had a better posttransplant survival than patients who underwent a single HDC.",0
A randomised pilot Phase II study of doxorubicin and cyclophosphamide (AC) or epirubicin and cyclophosphamide (EC) given 2 weekly with pegfilgrastim (accelerated) vs 3 weekly (standard) for women with early breast cancer.,"Accelerated (dose-dense) chemotherapy, in which the frequency of administration is increased without changing total dose or duration, may increase the efficacy of cancer chemotherapy. We performed a randomised Phase II study to assess the safety and relative toxicity of AC (doxorubicin; cyclophosphamide) vs E(epirubicin)C given by conventional or accelerated schedules as neoadjuvant or adjuvant chemotherapy for early breast cancer. Furthermore, the relative toxicity of doxorubicin and epirubicin remains uncertain. Patients were randomised to one of four arms; four courses of standard 3 weekly cyclophosphamide 600 mg m(-2) in combination with doxorubicin 60 mg m(-2) (AC) vs epirubicin 90 mg m(-2) (EC) 3 weekly vs the same regimens administered every 2 weeks with pegfilgrastim (G-CSF). A total of 126 patients were treated, 42 with standard AC, 42 with accelerated AC, 19 with standard EC and 23 with accelerated EC. Significantly more grade 3/4 day one neutropenia was seen with standard (6/61, 10%) compared to accelerated (0/65,) regimens (P=0.01). A trend towards more neutropenic sepsis was seen in the combined standard and accelerated AC arms (12/84, 14%) compared to the combined EC arms (1/42, 2%), P=0.06. Falls in left ventricular ejection fraction were not increased with accelerated treatment. Accelerated AC and EC with pegfilgrastim are safe and feasible regimens in the treatment of early breast cancer with less neutropenia than conventional 3 weekly schedules.",1
New pharmacological developments in the treatment of hepatocellular cancer.,"Hepatocellular carcinoma (HCC) is the most common primary liver neoplasm and fourth leading cause of cancer death worldwide. The survival for patients with advanced HCC is extremely poor. This is largely attributed to the lack of effective screening methods, advanced stage at presentation, limited utility of surgical intervention and ineffective medical therapy. Over the past 30 years, many conventional cytotoxic agents have been tested and have failed to confer a survival benefit. Recently, sorafenib, a multi-tyrosine kinase inhibitor, was approved by the US FDA as first-line therapy in HCC as the first agent demonstrating survival benefit in this disease. Although the survival benefit demonstrated by sorafenib is moderate, molecular targeted therapy has brought new hope in the management of HCC.",0
The role of chemotherapeutic drugs in the evaluation of breast tumour response to chemotherapy using serial FDG-PET.,"INTRODUCTION: The aims of this study were to investigate whether drug sequence (docetaxel followed by anthracyclines or the drugs in reverse order) affects changes in the maximal standard uptake volume (SUVmax) on [18F]fluorodeoxyglucose positron emission tomography (FDG-PET) during neoadjuvant chemotherapy in women with locally advanced breast cancer.METHODS: Women were randomly assigned to receive either drug sequence, and FDG-PET scans were taken at baseline, after four cycles and after eight cycles of chemotherapy. Tumour response to chemotherapy was evaluated based on histology from a surgical specimen collected upon completion of chemotherapy.RESULTS: Sixty women were enrolled into the study. Thirty-one received docetaxel followed by anthracyclines (Arm A) and 29 received drugs in the reverse order (Arm B). Most women (83%) had ductal carcinoma and 10 women (17%) had lobular or lobular/ductal carcinoma. All but one tumour were downstaged during therapy. Overall, there was no significant difference in response between the two drug regimens. However, women in Arm B who achieved complete pathological response had mean FDG-PET SUVmax reduction of 87.7% after four cycles, in contrast to those who had no or minor pathological response. These women recorded mean SUVmax reductions of only 27% (P < 0.01). Women in Arm A showed no significant difference in SUVmax response according to pathological response. Sensitivity, specificity, accuracy and positive and negative predictive values were highest in women in Arm B.CONCLUSIONS: Our results show that SUVmax uptake by breast tumours during chemotherapy can be dependent on the drugs used. Care must be taken when interpreting FDG-PET in settings where patients receive varied drug protocols.",0
"Adjuvant capecitabine, docetaxel, cyclophosphamide, and epirubicin for early breast cancer: final analysis of the randomized FinXX trial.","PURPOSE: Capecitabine is an active agent in the treatment of breast cancer. It is not known whether integration of capecitabine into an adjuvant regimen that contains a taxane, an anthracycline, and cyclophosphamide improves outcome in early breast cancer. PATIENTS AND METHODS: Women with axillary node-positive or high-risk node-negative breast cancer were randomly assigned to receive either three cycles of docetaxel and capecitabine (TX) followed by three cycles of cyclophosphamide, epirubicin, and capecitabine (CEX; n = 753) or three cycles of docetaxel (T) followed by three cycles of cyclophosphamide, epirubicin, and fluorouracil (CEF; n = 747). The primary end point was recurrence-free survival (RFS). RESULTS: During a median follow-up time of 59 months, 214 RFS events occurred (local or distant recurrences or deaths; TX/CEX, n = 96; T/CEF, n = 118). RFS was not significantly different between the groups (hazard ratio [HR], 0.79; 95% CI, 0.60 to 1.04; P = .087; 5-year RFS, 86.6% for TX/CEX v 84.1% for T/CEF). Fifty-six patients assigned to TX/CEX died during the follow-up compared with 75 of patients assigned to T/CEF (HR, 0.73; 95% CI, 0.52 to 1.04; P = .080). In exploratory analyses, TX/CEX improved breast cancer-specific survival (HR, 0.64; 95% CI, 0.44 to 0.95; P = .027) and RFS in women with triple-negative disease and in women who had more than three metastatic axillary lymph nodes at the time of diagnosis. We detected little severe late toxicity. CONCLUSION: Integration of capecitabine into a regimen that contains docetaxel, epirubicin, and cyclophosphamide did not improve RFS significantly compared with a similar regimen without capecitabine.",1
Surgical adjuvant chemotherapy in cancer of the breast: results of a decade of cooperative investigation.,,0
Potentiation of the response to chemotherapy in patients with breast cancer by dietary supplementation with L-arginine: results of a randomised controlled trial.,"Patients with large primary breast cancers are being treated with neo-adjuvant chemotherapy. Studies in animals have shown that responses to chemotherapy can be increased by dietary manipulation of tumour cell metabolism. Also dietary supplementation with the amino acid L-arginine, resulted in an increase in tumour metabolic activity expression of the nuclear activation antigen, Ki67, in patients with breast cancer. Therefore, we have carried out a randomised, double blind, placebo controlled trial to determine if L-arginine supplementation is beneficial in patients with breast cancer, undergoing neo-adjuvant chemotherapy. 96 patients were randomised to receive L-arginine (30 g/day) for three days (n = 48) or placebo (n = 48) prior to undergoing chemotherapy (doxorubicin, cyclophosphamide, vincristine, prednisolone), 6 pulses at 21-day intervals. Clinical and pathological responses were assessed in both groups of patients following completion of chemotherapy. The clinical response rate was 77% (23% complete and 54% partial responses) in the L-arginine treated group, compared with 71% (15% complete and 56% partial) in the placebo group of patients (p = ns). However, in patients with tumours less than 6 cm in initial diameter, there was a significant increase in the better histopathological responses in the L-arginine group, when compared with the placebo group of patients (88% vs 52%, p = 0.04). This may have important implications for clinical practice.",0
Results of two randomized trials evaluating adjuvant anthracycline-based chemotherapy in 1146 patients with early breast cancer.,"Two randomized trials evaluated the effect of 6 courses of anthracycline-based chemotherapy in early breast cancer. A total of 1146 patients were included: 311 high-risk node-negative premenopausal patients and 835 high-risk node-negative or node-positive postmenopausal patients. Patients were randomized after surgery to receive either no chemotherapy (control group) or 6 courses of anthracycline-based chemotherapy (CT group). Postmenopausal patients received adjuvant tamoxifen for at least two years. Radiotherapy was delivered after completion of chemotherapy in the CT group. The 10-year disease-free survival (DFS) rates were 60% in the control group and 65% in the CT group (log-rank test, p = 0.01). The 10-year distant metastasis rates were 28% and 23% (p = 0.02), and the 10-year local recurrence rates were 12% and 10%, respectively (p = 0.24). Chemotherapy was significantly less effective in post-menopausal patients with estrogen receptor-positive tumors. Adjuvant anthracycline-based chemotherapy yielded a significant benefit for DFS by lowering the risk of distant metastases. After up to 10 years of follow-up, deferring radiotherapy after chemotherapy did not compromise local control.",1
"Bazedoxifene, a selective estrogen receptor modulator: effects on the endometrium, ovaries, and breast from a randomized controlled trial in osteoporotic postmenopausal women.","OBJECTIVE: The aim of this study was to evaluate the endometrial, ovarian, and breast safety of bazedoxifene used as a treatment for postmenopausal osteoporosis. METHODS: Healthy women (aged 55-85 y) with osteoporosis were enrolled in a randomized, double-blind, placebo-controlled phase 3 trial. Participants were randomized to treatment with bazedoxifene 20 or 40 mg, raloxifene 60 mg, or placebo daily for 3 years. Endometrial and ovarian safety was assessed by periodic transvaginal ultrasonography and endometrial biopsy through 24 months. Gynecologic and breast-related adverse events were recorded throughout the study. RESULTS: Among 753 participants with available transvaginal ultrasonography data, there were no significant between-group differences in overall endometrial thickness or in the percentage of participants with endometrial thickness greater than 5 mm at 12 or 24 months. Changes in the mean endometrial thickness (+/-SE) from baseline were -0.07 +/- 0.11 mm (bazedoxifene 20 mg), 0.10 +/- 0.11 mm (bazedoxifene 40 mg), 0.16 +/- 0.12 mm (raloxifene 60 mg), and -0.08 +/- 0.11 mm (placebo) at 24 months. There was one report of endometrial hyperplasia in each group, and there were zero, two, two, and three reports of endometrial carcinoma with bazedoxifene 20 and 40 mg, raloxifene 60 mg, and placebo, respectively. There were no clinically important changes from baseline in the number or size of ovarian cysts among groups. There was a significantly lower incidence of fibrocystic breast disease (P <or= 0.05) with bazedoxifene compared with raloxifene 60 mg. CONCLUSION: Bazedoxifene was associated with a favorable endometrial, ovarian, and breast safety profile in postmenopausal women with osteoporosis.",0
Pathology parameters and adjuvant tamoxifen response in a randomised premenopausal breast cancer trial.,"BACKGROUND: Subgroups of breast cancer that have an impaired response to endocrine treatment, despite hormone receptor positivity, are still poorly defined. Breast cancer can be subdivided according to standard pathological parameters including histological type, grade, and assessment of proliferation. These parameters are the net result of combinations of genetic alterations effecting tumour behaviour and could potentially reflect subtypes that respond differently to endocrine treatment. AIMS: To investigate the usefulness of these parameters as predictors of the response to tamoxifen in premenopausal women with breast cancer. MATERIALS/METHODS: Clinically established pathological parameters were assessed and related to the tamoxifen response in 500 available tumour specimens from 564 premenopausal patients with breast cancer randomised to either two years of tamoxifen or no treatment with 14 years of follow up. Proliferation was further evaluated by immunohistochemical Ki-67 expression. RESULTS: Oestrogen receptor positive ductal carcinomas responded as expected to tamoxifen, whereas the difference in recurrence free survival between control and tamoxifen treated patients was less apparent in the relatively few lobular carcinomas. For histological grade, there was no obvious difference in treatment response between the groups. The relation between proliferation and tamoxifen response seemed to be more complex, with a clear response in tumours with high and low proliferation, whereas tumours with intermediate proliferation defined by Ki-67 responded more poorly. CONCLUSIONS: Clinically established pathology parameters seem to mirror the endocrine treatment response and could potentially be valuable in future treatment decisions for patients with breast cancer.",0
Randomized trial of adjuvant ovarian suppression in 926 premenopausal patients with early breast cancer treated with adjuvant chemotherapy.,"PURPOSE: The aim of this multicenter trial was to evaluate the role of ovarian suppression in patients with early breast cancer previously treated with local surgery and adjuvant chemotherapy. PATIENTS AND METHODS: Nine hundred and twenty-six premenopausal patients with completely resected breast cancer and either axillary node involvement or histological grade 2 or 3 tumors were randomized after surgery to adjuvant chemotherapy alone (control arm) or adjuvant chemotherapy plus ovarian suppression (ovarian suppression arm). Ovarian suppression was obtained by either radiation-induced ovarian ablation or triptorelin for 3 years. The analyses were performed with Cox models stratified by center. RESULTS: Median follow-up was 9.5 years. Mean age was 43 years. Ninety per cent of patients had histologically proven positive axillary nodes, 63% positive hormonal receptors and 77% had received an anthracycline-based chemotherapy regimen. Ovarian suppression was by radiation-induced ovarian ablation (45% of patients) or with triptorelin (48%). At the time of randomization, all patients had regular menses or their follicle-stimulating hormone and estradiol levels indicated a premenopausal status. The 10-year disease-free survival rates were 49% [95% confidence interval (CI) 44% to 54%] in both arms (P = 0.51). The 10-year overall survival rates were 66% (95% CI 61% to 70%) for the ovarian suppression arm and 68% (95% CI 63% to 73%) for the control arm (P = 0.19). There were no variations in the treatment effect according to age, hormonal receptor status or ovarian suppression modality. However, in patients <40 years of age and with estrogen receptor-positive tumors, ovarian suppression significantly decreased the risk of recurrence (P = 0.01). CONCLUSIONS: The results of this trial, after at least 10 years of follow-up, do not favor the use of ovarian suppression after adjuvant chemotherapy. The potential beneficial effect in younger women with hormono-dependent tumors should be further assessed.",0
