"category_id";"parent_id";"name";"link_url"
51;46;"Духовые шкафы";"http://e96.ru/built_in/dukhovye_shkafy"
233;1008;"Снегоуборщики";"http://e96.ru/garden_cottage/snow_removal/snegouborschiki"
1164;1156;"Кронштейны для аудио техники";"http://e96.ru/audio_video/audio/kronshteyny_dlya_audio_tehniki"
49;46;"Варочные поверхности";"http://e96.ru/built_in/varochnye_poverkhnosti"
196;1115;"Компьютерные гарнитуры";"http://e96.ru/computers/multimedia/kompyuternye_garnitury"
157;1075;"Гайковерты";"http://e96.ru/tools/drills/gaikoverty"
848;847;"Велосипеды";"http://e96.ru/sporting_goods/cycle_racing/velosipedy"
1054;1010;"Шланги для скважин";"http://e96.ru/garden_cottage/watering_equipment/shlangi_ldya_skvajin"
944;942;"Цифровые фоторамки";"http://e96.ru/foto/photo_frames/cifronie_fotoramki"
1594;1586;"Барная мебель IKEA";"http://e96.ru/ikea/stolovaya_ikea/barnaya_mebel_ikea"
135;1156;"Синтезаторы";"http://e96.ru/audio_video/audio/sintezatory"
1063;1016;"Мотоблоки";"http://e96.ru/garden_cottage/cultivators/motobloki"
990;683;"Спортивные награды";"http://e96.ru/sporting_goods/sports_awards"
1238;1191;"Очистители воздуха";"http://e96.ru/climat/air_purifiers/ochistiteli_vozduha"
178;1143;"Автомобильные компрессоры";"http://e96.ru/avto/auto_accessories/avto_kompressory"
1321;1345;"Шкафы-купе";"http://e96.ru/furniture/living_room/shkafy_kupe"
1230;1200;"Торшеры";"http://e96.ru/household_appliances/lighting/torshery"
482;997;"Надувные матрасы";"http://e96.ru/tourism/inflatable_furniture/matrasy_naduvnye"
1359;1370;"Карманные часы";"http://e96.ru/household_appliances/watch/karmannye_chasy"
503;1171;"Душевые лейки";"http://e96.ru/sanitary_engineering/faucets/dushevye_lejjki"
1519;1347;"Офисные стулья";"http://e96.ru/furniture/office/ofisnye_stulja"
59;46;"Встраиваемые посудомоечные машины";"http://e96.ru/built_in/posudomoechnye_mashiny"
176;1001;"Эхолоты";"http://e96.ru/tourism/fishing/eholoty"
1600;1246;"Аксессуары для кухонных комбайнов";"http://e96.ru/kitchen_appliance/small/aksessuary_dlya_kuhonnyh_kombaynov"
550;1193;"Горелки для котлов";"http://e96.ru/climat/boilers/gorelki_dlya_kotlov"
1259;1247;"Раклетницы";"http://e96.ru/kitchen_appliance/kitchen_grills/rakletnicy"
235;1077;"Тепловые пушки";"http://e96.ru/tools/thermo_and_thermal_guns/teplovye_pushki"
73;NA;"Телефоны";"http://e96.ru/phones"
919;1204;"Дверные замки";"http://e96.ru/household_appliances/homeware/dvernye_zamki"
1590;1586;"Табуреты и скамьи IKEA";"http://e96.ru/ikea/stolovaya_ikea/taburety_skami_ikea"
489;1202;"Системы видеонаблюдения";"http://e96.ru/household_appliances/video_monitoring/sistemy_videonabljudenija"
1161;1143;"Фаркопы";"http://e96.ru/avto/auto_accessories/farkopy"
1182;NA;"Климатическое оборудование";"http://e96.ru/climat"
547;1047;"Игрушечная еда";"http://e96.ru/kids/pretend_play/igrushechnaja_eda"
460;1179;"Фены настенные";"http://e96.ru/sanitary_engineering/bathroom_accessories/feny_nastennye"
1319;1347;"Тумбы для офиса";"http://e96.ru/furniture/office/tumby_dlya_ofisa"
909;847;"Флягодержатели";"http://e96.ru/sporting_goods/cycle_racing/flyagoderjateli"
1589;1586;"Комплекты для столовой IKEA";"http://e96.ru/ikea/stolovaya_ikea/komplekty_dlya_stolovoy_ikea"
1426;1002;"Туристические горелки";"http://e96.ru/tourism/travel_gear/turisticheskie_gorelki"
394;1012;"Бензиновые воздуходувки";"http://e96.ru/garden_cottage/garden_blowers/benzinovye_vozduhoduvki"
682;1137;"Автоблокираторы";"http://e96.ru/avto/alarm/avtoblokiratory"
1035;304;"Кроватки для детей";"http://e96.ru/kids/baby_cribs"
1258;1247;"Сэндвичницы";"http://e96.ru/kitchen_appliance/kitchen_grills/sendvichnicy"
898;1144;"Мотошлемы";"http://e96.ru/avto/mototechnics/motoshlemy"
58;1189;"Обогреватели";"http://e96.ru/climat/heating/obogrevateli"
26;1245;"Холодильники";"http://e96.ru/kitchen_appliance/large/holodilniki"
599;1078;"Цепи для пил";"http://e96.ru/tools/chain_saws_and_shears/cepi_dlya_pil"
24;NA;"Товары для кухни";"http://e96.ru/kitchen_appliance"
129;NA;"Инструменты";"http://e96.ru/tools"
1868;847;"Держатели для велооборудования";"http://e96.ru/sporting_goods/cycle_racing/derjateli_dlya_velooborudovaniya"
326;1014;"Надувные бассейны";"http://e96.ru/garden_cottage/pools/naduvnye_basseyny"
1202;16;"Видеонаблюдение";"http://e96.ru/household_appliances/video_monitoring"
379;1200;"Праздничный свет";"http://e96.ru/household_appliances/lighting/prazdnichnyi_svet"
1715;1570;"Детская IKEA";"http://e96.ru/ikea/detskaya_ikea"
1083;129;"Пневмоинструмент";"http://e96.ru/tools/pneumotool"
372;1044;"Сборные масштабные модели";"http://e96.ru/kids/hobbies/sbornye_masshtabnye_modeli"
457;1179;"Поручни";"http://e96.ru/sanitary_engineering/bathroom_accessories/porucheni"
1028;1003;"Наборы посуды для туризма";"http://e96.ru/tourism/utensils_for_tourism/nabory_posudy_dlya_turizma"
514;1085;"Очки защитные";"http://e96.ru/tools/personal_protective_equipment/ochki_zashhitnye"
1024;997;"Матрасы надувные детские";"http://e96.ru/tourism/inflatable_furniture/matrasy_naduvnye_detskie"
618;1206;"Ёлочные игрушки";"http://e96.ru/household_appliances/new_year/elochnye_igrushki"
1346;1342;"Кухня";"http://e96.ru/furniture/kitchen"
355;1143;"Защита картера";"http://e96.ru/avto/auto_accessories/zashhita_kartera"
655;1104;"Защитные стекла для сотовых телефонов";"http://e96.ru/phones/cell_phones/zaschitnye_stekla_dlya_sotovyh_telefonov"
79;1191;"Вентиляторы";"http://e96.ru/climat/air_purifiers/ventilyatory"
720;1036;"Детские мягкие диваны";"http://e96.ru/kids/furniture_and_accessories/detskie_myagkie_divany"
564;1179;"Карнизы для ванной";"http://e96.ru/sanitary_engineering/bathroom_accessories/karnizy_dlja_vannojj"
425;1113;"Корпуса и док-станции для жестких дисков";"http://e96.ru/computers/accessories/korpusa_i_dok_stancii_dlja_zhestkikh_diskov"
1097;1076;"Буры и наборы буров";"http://e96.ru/tools/hammers/buri"
1227;1345;"Кресла-мешки";"http://e96.ru/household_appliances/furniture/kresla_meshki"
65;1208;"Эпиляторы";"http://e96.ru/household_appliances/shaving/epilatory"
206;NA;"Сантехника";"http://e96.ru/sanitary_engineering"
1272;1136;"Мидбасы (НЧ-динамики)";"http://e96.ru/avto/autosound/midbasy"
1142;39;"Автоэлектроника";"http://e96.ru/avto/auto_electronics"
1186;1174;"Крепеж для раковины";"http://e96.ru/sanitary_engineering/sinks_and_wash/krepej_dlya_rakoviny"
499;1198;"Моющие средства для пылесосов";"http://e96.ru/household_appliances/cleaners/mojushhie_sredstva_dlja_pylesosov"
1287;1203;"Картины";"http://e96.ru/household_appliances/presents/kartiny"
1140;39;"Автотепло";"http://e96.ru/avto/auto_heat"
76;46;"Встраиваемые кофемашины";"http://e96.ru/built_in/kofemashiny"
986;685;"Брусья";"http://e96.ru/sporting_goods/trainers/brusya"
158;1088;"Уровни и угломеры";"http://e96.ru/tools/measuring_tools/urovni"
1787;1042;"Точилки для карандашей";"http://e96.ru/kids/school_goods/tochilki_dlya_karandashey"
606;1345;"Стойки для телевизоров";"http://e96.ru/audio_video/tv/stojjki_dlja_tv"
1504;1502;"Товары для собак";"http://e96.ru/zootovary/tovary_dlja_sobak"
119;1142;"Антирадары";"http://e96.ru/avto/auto_electronics/radar_detectory"
1208;16;"Бритвы и эпиляторы";"http://e96.ru/household_appliances/shaving"
1305;1088;"Гигрометры (влагомеры)";"http://e96.ru/tools/measuring_tools/vlagomery"
687;685;"Беговые дорожки";"http://e96.ru/sporting_goods/trainers/begovye_dorojki"
497;1040;"Кроватки для кукол";"http://e96.ru/kids/dolls/krovatki_dlja_kukol"
868;683;"Конькобежный спорт";"http://e96.ru/sporting_goods/ice_skating"
1375;1010;"Катушки для шлангов";"http://e96.ru/garden_cottage/watering_equipment/katushki_dlya_shlangov"
970;52;"Пульты управления";"http://e96.ru/foto/photo_technics/pulty_upravleniya"
75;1190;"Кондиционеры";"http://e96.ru/climat/split_systems/kondicionery"
1460;1210;"Заколки и расчески";"http://e96.ru/household_appliances/haircare/zakolki_nevidimki_rascheski"
493;1142;"Разветвители прикуривателя";"http://e96.ru/avto/auto_electronics/razvetviteli_prikurivatelejj"
1599;1597;"Офисные стулья IKEA";"http://e96.ru/ikea/ikea_dlya_vashego_biznesa/ofisnye_stulya_ikea"
506;1136;"Авто аудио кабели";"http://e96.ru/avto/autosound/avto_audio_kabeli"
940;685;"Эспандеры";"http://e96.ru/sporting_goods/trainers/espandery"
595;1206;"Новогодние ёлки";"http://e96.ru/household_appliances/new_year/novogodnie_jolki"
220;1159;"Комплекты спутникового телевидения";"http://e96.ru/audio_video/television/sputnikovoe_televidenie"
172;1093;"Сварочные аппараты";"http://e96.ru/tools/power_equipment/svarochnye_apparaty"
1294;1007;"Баня";"http://e96.ru/garden_cottage/bath"
484;1086;"Топоры";"http://e96.ru/tools/hand_tools/topory"
496;1039;"Детские электромобили";"http://e96.ru/kids/children_transport/detskie_ehlektromobili"
803;802;"Наборы для дартса";"http://e96.ru/sporting_goods/darts/nabory_dlya_dartsa"
1240;1189;"Тепловые завесы";"http://e96.ru/climat/heating/teplovye_zavesy"
1542;1204;"Видео-записки";"http://e96.ru/household_appliances/homeware/video_zapiski"
455;1179;"Мусорные ведра";"http://e96.ru/sanitary_engineering/bathroom_accessories/musornye_vedra"
901;1086;"Молотки";"http://e96.ru/tools/hand_tools/molotki"
1231;1200;"Бра";"http://e96.ru/household_appliances/lighting/bra"
838;836;"Баскетбольная форма";"http://e96.ru/sporting_goods/basketball/basketbolnaya_forma"
314;1041;"Роботы";"http://e96.ru/kids/toys/roboty"
8;1156;"Музыкальные центры";"http://e96.ru/audio_video/audio/muzykalnye_centry"
145;1210;"Электробигуди";"http://e96.ru/household_appliances/haircare/elektrobigudi"
1491;1141;"Изоляции аккумуляторной клеммы";"http://e96.ru/avto/accumulators/izolyacii_akkumulyatornoy_klemmy"
449;1175;"Полки для ванной комнаты";"http://e96.ru/furniture/bathroom/polki_dlja_vanny"
516;1179;"Жидкое мыло";"http://e96.ru/sanitary_engineering/bathroom_accessories/zhidkoe_mylo"
222;1251;"Фильтры для воды";"http://e96.ru/kitchen_appliance/goods/filtry_dlja_vody"
1109;81;"Планшетные компьютеры и аксессуары";"http://e96.ru/computers/tablet_computers"
807;806;"Гимнастические маты";"http://e96.ru/sporting_goods/gym_and_aerobics/gimnasticheskie_maty"
193;1118;"Коммутаторы";"http://e96.ru/computers/network_equipment/kommutatory"
698;1002;"Компасы";"http://e96.ru/tourism/travel_gear/compasses"
1087;129;"Бетономешалки";"http://e96.ru/tools/cement_mixers"
1070;1003;"Походные чайники";"http://e96.ru/tourism/utensils_for_tourism/pohodnye_chayniki"
280;1109;"Защитные пленки для планшетных компьютеров";"http://e96.ru/computers/tablet_computers/plenki_dlja_planshetnykh_kompjuterov"
407;1176;"Унитазы";"http://e96.ru/sanitary_engineering/sanfayans/unitazy"
1223;1210;"Многофункциональные устройства для укладки";"http://e96.ru/household_appliances/haircare/mnogofunkcionalnoe_ustroystva_dlya_ukladki"
387;1011;"Ведра";"http://e96.ru/garden_cottage/hand_garden_tools/vedra"
546;1041;"Каталки";"http://e96.ru/kids/toys/katalki"
972;52;"Зарядные устройства для фотокамер";"http://e96.ru/foto/photo_technics/zarjadnye_ustrojjstva"
224;1251;"Помпы для воды";"http://e96.ru/kitchen_appliance/goods/pompy_dlja_vody"
792;1251;"Настольные сушилки для посуды";"http://e96.ru/kitchen_appliance/goods/nastolnye_sushilki_dlya_posudy"
335;1075;"Стойки для электроинструмента";"http://e96.ru/tools/prochie_instrumenty"
381;1037;"Бутылочки для кормления";"http://e96.ru/kids/goods_for_newborns/butylochki_dlja_kormlenija"
290;1212;"Стиральные порошки";"http://e96.ru/household_appliances/washing/stiralnye_poroshki"
1278;1345;"Столы журнальные";"http://e96.ru/furniture/living_room/stoly_jurnalnye"
249;1212;"Сушилки для белья";"http://e96.ru/household_appliances/washing/sushilki_dlya_belya"
1005;175;"Гриль и барбекю";"http://e96.ru/tourism/grills_barbecue"
82;1108;"Ноутбуки";"http://e96.ru/computers/laptops/noutbuki"
302;1109;"Док-станции для планшетных компьютеров";"http://e96.ru/computers/tablet_computers/dok_stancii_dlja_planshetnykh_kompjuterov"
966;52;"Чистящие средства для фотоаппаратов";"http://e96.ru/foto/photo_technics/chistjashhie_sredstva_dlja_fotoapparatov"
80;1249;"Наборы посуды";"http://e96.ru/kitchen_appliance/crockery/nabory_posudy"
1591;1502;"Аквариумистика";"http://e96.ru/zootovary/akvariumistika"
948;214;"Фоторюкзаки";"http://e96.ru/foto/photo_bags/fotoryukzaki"
916;1211;"Маникюрные наборы";"http://e96.ru/household_appliances/health_and_beauty/manikyurnye_nabory"
1318;1344;"Наматрасники";"http://e96.ru/furniture/bedroom/namatrasniki"
1520;683;"Бильярд";"http://e96.ru/sporting_goods/biljard"
110;48;"Штативы";"http://e96.ru/foto/tripods"
304;NA;"Детские товары";"http://e96.ru/kids"
267;1248;"Средства для чистки кофе-машин";"http://e96.ru/kitchen_appliance/tea_and_coffee/chistka_kofe_mashin"
1356;1175;"Тумбы с раковиной";"http://e96.ru/furniture/bathroom/tumby_umyvalniki"
758;1036;"Детские настольные светильники";"http://e96.ru/kids/furniture_and_accessories/detskie_nastolnye_svetilniki"
1020;1008;"Лопаты для уборки снега";"http://e96.ru/garden_cottage/snow_removal/lopaty_dlya_snega"
1892;1386;"Купоны на установку дверей";"http://e96.ru/finishes/doors/kupony_na_ustanovku_dverey"
1333;1017;"Ведра-туалеты";"http://e96.ru/garden_cottage/plumbing_for_garden/vedra_tualety"
1129;1106;"Портативные зарядные устройства для сотовых телефонов";"http://e96.ru/phones/chargers_and_batteries_for_phones/portativnye_zarjadnye_ustrojjstva"
1211;16;"Красота и здоровье";"http://e96.ru/household_appliances/health_and_beauty"
921;1143;"Оплетки на руль";"http://e96.ru/avto/auto_accessories/opletki_na_rul"
880;876;"Крепления для беговых лыж";"http://e96.ru/sporting_goods/skis_and_snowboards/krepleniya_dlya_begovyh_lyj"
1039;304;"Детский транспорт";"http://e96.ru/kids/children_transport"
583;1035;"Комплекты в кроватку";"http://e96.ru/kids/baby_cribs/komplekty_v_krovatku"
975;1345;"Кресла";"http://e96.ru/furniture/living_room/kresla"
361;1204;"Машинки для удаления катышков";"http://e96.ru/household_appliances/homeware/mashinki_dlja_udalenija_katyshkov"
684;683;"Тяжелая атлетика";"http://e96.ru/sporting_goods/weightlifting"
1784;1252;"Мороженицы";"http://e96.ru/kitchen_appliance/parties/morojenicy"
507;1138;"Автошампунь";"http://e96.ru/avto/car_wash/avtohimia"
164;1082;"Заточные станки";"http://e96.ru/tools/machine_tools/zatochnye_stanki"
788;1138;"Насадки для автомоек";"http://e96.ru/avto/car_wash/nasadki_dlya_avtomoek"
439;1346;"Крючки";"http://e96.ru/furniture/kitchen/krjuchki"
903;1086;"Ручные пилы и лобзики";"http://e96.ru/tools/hand_tools/ruchnie_pily_i_lobziki"
320;1113;"Материнские платы";"http://e96.ru/computers/accessories/materinskie_platy"
774;684;"Гантели";"http://e96.ru/sporting_goods/weightlifting/ganteli"
1544;1203;"Аромалампы";"http://e96.ru/household_appliances/presents/aromalampy"
1175;1342;"Мебель для ванной комнаты";"http://e96.ru/furniture/bathroom"
180;1105;"USB-телефоны";"http://e96.ru/phones/telephones_for_home_and_office/usb_telefony"
1210;16;"Уход за волосами";"http://e96.ru/household_appliances/haircare"
1119;81;"Программное обеспечение";"http://e96.ru/computers/software_is"
1529;1345;"Полки для гостиной";"http://e96.ru/furniture/living_room/polki_dlya_gostinoy"
34;1246;"Тостеры";"http://e96.ru/kitchen_appliance/small/tostery"
1096;1087;"Дрели-миксеры";"http://e96.ru/tools/cement_mixers/dreli_miksery"
1706;1591;"Фильтры для аквариумов";"http://e96.ru/zootovary/akvariumistika/filtry_dlya_akvariumov"
1533;1110;"Блоки питания для мониторов";"http://e96.ru/computers/accessories/bloki_pitanija_dlya_monitorov"
1371;1143;"Автомобильные манометры";"http://e96.ru/avto/auto_accessories/avtomobilnye_manometry"
1138;39;"Автомойки и пылесосы";"http://e96.ru/avto/car_wash"
1066;1017;"Насосы";"http://e96.ru/garden_cottage/plumbing_for_garden/nasosy"
1556;1246;"Зернодробилки";"http://e96.ru/kitchen_appliance/small/zernodrobilki"
111;1153;"Экраны для проекторов";"http://e96.ru/audio_video/projectors/ekrany_dlya_proektorov"
301;1196;"Аксессуары для утюгов";"http://e96.ru/household_appliances/ironing/aksessuary_dlj_utjugov"
1127;1105;"VoIP-телефоны";"http://e96.ru/phones/telephones_for_home_and_office/voip_telefony"
259;1087;"Бетоносмесители";"http://e96.ru/tools/cement_mixers/betonosmesiteli"
965;52;"Фотоаппараты";"http://e96.ru/foto/photo_technics/fotoapparaty"
132;1079;"Шлифовальные машины";"http://e96.ru/tools/grinding_equipment/shlifovalnye_mashiny"
354;1248;"Держатели для капсул";"http://e96.ru/household_appliances/derzhateli_dlja_kapsul"
1016;1007;"Мотоблоки и культиваторы";"http://e96.ru/garden_cottage/cultivators"
1151;1144;"Мотоциклы";"http://e96.ru/avto/mototechnics/motocikly"
1406;1142;"Системы громкой связи";"http://e96.ru/avto/auto_electronics/sistemy_gromkoy_svyazi"
306;1113;"Звуковые карты";"http://e96.ru/computers/accessories/zvukovye_karty"
42;1136;"Сабвуферы";"http://e96.ru/avto/autosound/sabvufery"
1069;1000;"Сумки холодильники";"http://e96.ru/tourism/backpacks_and_bags/sumki_holodilniki"
1348;1342;"Детская";"http://e96.ru/furniture/kids_room"
1614;1042;"Ручки";"http://e96.ru/kids/school_goods/ruchki"
241;1174;"Кухонные мойки";"http://e96.ru/sanitary_engineering/sinks_and_wash/kuhonnye_moyki"
1755;1386;"Дверные ручки";"http://e96.ru/finishes/doors/dvernye_ruchki"
622;1154;"Карты подписки";"http://e96.ru/audio_video/gaming_consoles/karty_podpiski"
1414;1113;"Контроллеры";"http://e96.ru/computers/accessories/kontrollery"
211;1197;"Отпариватели";"http://e96.ru/household_appliances/steamers/otparivateli"
551;1040;"Игровые наборы для кукол";"http://e96.ru/kids/dolls/nabory_dlja_kukol"
175;NA;"Товары для туризма";"http://e96.ru/tourism"
448;1179;"Ершики для унитаза";"http://e96.ru/sanitary_engineering/bathroom_accessories/ershiki_dlja_unitaza"
1289;1156;"Домашние сабвуферы";"http://e96.ru/audio_video/audio/sabvufery"
836;683;"Баскетбол";"http://e96.ru/sporting_goods/basketball"
1134;1112;"МФУ";"http://e96.ru/computers/office_equipment_and_supplies/mfu"
272;1109;"Зарядные устройства для планшетных компьютеров";"http://e96.ru/computers/tablet_computers/zarjadnye_ustrojjstva_dlja_planshetnykov"
1149;1139;"Фары дальнего света";"http://e96.ru/avto/autolights/fary_dalnego_sveta"
81;NA;"Компьютеры";"http://e96.ru/computers"
1458;1143;"Автомобильные огнетушители";"http://e96.ru/avto/auto_accessories/avtomobilnye_ognetushiteli"
1436;1109;"Замки для планшетов и ноутбуков";"http://e96.ru/computers/tablet_computers/zamki_dlya_planshetov"
1405;1211;"Грелки";"http://e96.ru/household_appliances/health_and_beauty/grelki"
10;1156;"Акустика";"http://e96.ru/audio_video/audio/komplekty_akustiki"
64;1246;"Пароварки";"http://e96.ru/kitchen_appliance/small/parovarki"
418;1172;"Подголовники для ванн";"http://e96.ru/sanitary_engineering/baths/podgolovniki_dlja_vann"
556;1084;"Ящики для инструментов";"http://e96.ru/tools/fixtures_and_equipment/yaschiki_dlya_instrumentov"
573;1016;"Шнеки для мотобуров";"http://e96.ru/garden_cottage/cultivators/shneki_dlya_motoburov"
195;1211;"Паровые сауны для лица";"http://e96.ru/household_appliances/health_and_beauty/parovye_sauny_dlya_lica"
1126;1105;"Факсы";"http://e96.ru/phones/telephones_for_home_and_office/faksy"
857;856;"Пульсометры";"http://e96.ru/sporting_goods/measuring_devices/pulsometry"
308;1112;"Фотобумага для принтеров";"http://e96.ru/computers/office_equipment_and_supplies/fotobumaga"
600;1078;"Шины для пил";"http://e96.ru/tools/chain_saws_and_shears/shiny_dlya_pil"
821;1001;"Матчевые удочки";"http://e96.ru/tourism/fishing/matchevye_udochki"
575;1036;"Стульчики для кормления";"http://e96.ru/kids/furniture_and_accessories/stulchiki_dlya_kormleniya"
1420;1115;"Очки для компьютера";"http://e96.ru/computers/multimedia/ochki_dlya_kompyutera"
1030;1005;"Грили";"http://e96.ru/tourism/grills_barbecue/grili"
798;1194;"Отводы для дымохода";"http://e96.ru/climat/chimneys/otvodi_dlya_dymohoda"
1345;1342;"Гостиная";"http://e96.ru/furniture/living_room"
487;1344;"Подушки";"http://e96.ru/furniture/bedroom/podushki"
344;1003;"Термосы";"http://e96.ru/tourism/utensils_for_tourism/termosy"
1143;39;"Автоаксессуары";"http://e96.ru/avto/auto_accessories"
298;1245;"Поглотители запаха для холодильника";"http://e96.ru/kitchen_appliance/large/poglotiteli_zapaha_dlya_holodilnika"
1071;1005;"Коптильни";"http://e96.ru/tourism/grills_barbecue/koptilni"
511;1036;"Качели";"http://e96.ru/kids/furniture_and_accessories/kacheli"
1113;81;"Комплектующие для компьютеров";"http://e96.ru/computers/accessories"
253;1075;"Аккумуляторы для шуруповертов";"http://e96.ru/tools/drills/akkumuljatory_dlja_shurupovertov"
278;1143;"Автомобильные коврики";"http://e96.ru/avto/auto_accessories/avto_kovriki"
1013;1007;"Парники и теплицы";"http://e96.ru/garden_cottage/greenhouses"
1118;81;"Сетевое оборудование";"http://e96.ru/computers/network_equipment"
897;847;"Велошлемы";"http://e96.ru/sporting_goods/cycle_racing/veloshlemy"
376;1039;"Скейтборды";"http://e96.ru/kids/children_transport/skejjtbordy"
409;1176;"Писсуары";"http://e96.ru/sanitary_engineering/sanfayans/pissuary"
533;1040;"Коляски для кукол";"http://e96.ru/kids/dolls/koljaski_dlja_kukol"
526;1045;"Дорожные сооружения";"http://e96.ru/kids/toy_trucks/dorojnye_soorujeniya"
904;1086;"Пассатижи и кусачки";"http://e96.ru/tools/hand_tools/passatiji_i_kusachki"
356;1211;"Тонометры";"http://e96.ru/household_appliances/health_and_beauty/tonometry"
822;1001;"Фидерные удочки";"http://e96.ru/tourism/fishing/fidernye_udochki"
923;1211;"Ручные массажеры";"http://e96.ru/household_appliances/health_and_beauty/ruchnye_massajery"
389;1083;"Шланги для компрессоров";"http://e96.ru/tools/pneumotool/shlangi_dlya_kompressora"
1111;81;"Электронные книги и чехлы";"http://e96.ru/computers/el_books_readers"
1249;24;"Посуда";"http://e96.ru/kitchen_appliance/crockery"
429;1175;"Тумбы для умывальников";"http://e96.ru/furniture/bathroom/tumby_dlja_umyvalnikov"
1393;1388;"Обои под покраску";"http://e96.ru/finishes/wallpaper/oboi_pod_pokrasku"
226;1195;"Термометры";"http://e96.ru/climat/measuring_climate/termometry"
1060;1015;"Столы для дачи";"http://e96.ru/garden_cottage/furniture_for_garden/stoly_dlya_dachi"
1523;1520;"Кии";"http://e96.ru/sporting_goods/biljard/kii"
1185;1172;"Крепеж для монтажа ванны";"http://e96.ru/sanitary_engineering/baths/krepej_dlya_montaja_vanny"
360;1042;"Школьные ранцы, сумки и рюкзаки";"http://e96.ru/kids/school_goods/shkolnye_rancy"
1017;1007;"Сантехника для сада";"http://e96.ru/garden_cottage/plumbing_for_garden"
1192;1182;"Теплый пол";"http://e96.ru/climat/warm_floor"
446;1179;"Держатели для фена";"http://e96.ru/sanitary_engineering/bathroom_accessories/derzhateli_dlja_fena"
