"externalsessionid";"timestamp";"eventdate";"duration";"category_id"
60107;1461569183573;"2016-04-25";670;26
60107;1461569905315;"2016-04-25";1739;18
68628;1458497962808;"2016-03-20";1922;1282
68628;1458497056180;"2016-03-20";1031;1282
68628;1458496668104;"2016-03-20";966;1282
68628;1458497600632;"2016-03-20";2263;1282
53323;1460208109504;"2016-04-09";1587;74
5861;1457772519824;"2016-03-12";3022;47
6791;1459847636752;"2016-04-05";2838;26
55999;1457802206391;"2016-03-12";729;78
55999;1457803332032;"2016-03-12";930;78
55999;1457802532094;"2016-03-12";901;78
26075;1459576573683;"2016-04-02";751;323
26075;1459575740514;"2016-04-02";1340;323
26639;1457877617918;"2016-03-13";509;90
26639;1457880112598;"2016-03-13";2428;90
26639;1457877493273;"2016-03-13";1091;90
19780;1462518545539;"2016-05-06";738;228
5406;1461845558817;"2016-04-28";1989;324
45253;1461138845893;"2016-04-20";870;228
35680;1457793556270;"2016-03-12";1878;976
35680;1457793711150;"2016-03-12";1749;1067
35832;1455034671735;"2016-02-09";987;28
35832;1455035472961;"2016-02-09";891;28
35832;1455035138211;"2016-02-09";1440;28
23335;1464509953950;"2016-05-29";2355;336
23335;1464509688437;"2016-05-29";1829;336
23335;1464509383948;"2016-05-29";3197;336
23335;1464511150044;"2016-05-29";1853;336
28433;1462542381463;"2016-05-06";1070;1022
28433;1462543808081;"2016-05-06";2046;326
36062;1459962024585;"2016-04-06";203;1286
36062;1459961740261;"2016-04-06";2223;1285
54974;1464405898061;"2016-05-28";1136;1391
54974;1464405548234;"2016-05-28";1119;1391
43820;1464338696274;"2016-05-27";2767;1066
93484;1460219154369;"2016-04-09";523;1547
93484;1460219230700;"2016-04-09";1651;1352
8135;1461075071532;"2016-04-19";5084;26
25540;1464771408399;"2016-06-01";2245;17
25540;1464761186048;"2016-06-01";1586;17
50474;1464362992041;"2016-05-27";3086;62
50474;1464363510781;"2016-05-27";4124;62
83534;1455957174096;"2016-02-20";2260;171
83534;1455955368659;"2016-02-20";214;44
74408;1459692416490;"2016-04-03";863;1582
74408;1459692721908;"2016-04-03";664;1596
74408;1457378142812;"2016-03-07";2104;551
74408;1459691805288;"2016-04-03";537;1572
74408;1459692324684;"2016-04-03";211;1577
74408;1459690673087;"2016-04-03";1516;17
74408;1459692249018;"2016-04-03";445;1579
74408;1459692378761;"2016-04-03";689;1577
74408;1459691500468;"2016-04-03";859;1572
74408;1457378094206;"2016-03-07";2297;551
74408;1459691384279;"2016-04-03";602;1570
87932;1459101259952;"2016-03-27";1266;324
56793;1457598514387;"2016-03-10";2214;47
88014;1457430981838;"2016-03-08";479;39
88014;1457431006259;"2016-03-08";173;39
88014;1457430927795;"2016-03-08";380;39
93759;1457973574029;"2016-03-14";2463;28
93759;1457973798479;"2016-03-14";2340;28
97236;1461962949226;"2016-04-29";1407;848
97236;1461963517467;"2016-04-29";1771;848
16593;1456481896008;"2016-02-26";1321;37
16593;1456484596217;"2016-02-26";2779;309
91565;1460702534341;"2016-04-15";252;352
91565;1460702852511;"2016-04-15";411;352
38937;1457702963163;"2016-03-11";1139;18
38937;1457704274433;"2016-03-11";721;18
38937;1457702659201;"2016-03-11";1804;18
29757;1464774131677;"2016-06-01";2785;47
51952;1462387645101;"2016-05-04";994;26
7876;1460445273411;"2016-04-12";1160;238
10510;1463076951619;"2016-05-12";3625;238
10510;1463073675635;"2016-05-12";1461;238
10510;1463076633491;"2016-05-12";3022;238
10510;1463077643095;"2016-05-12";3006;238
10510;1463076317315;"2016-05-12";1795;238
75563;1452615791511;"2016-01-12";395;1208
35592;1460688970960;"2016-04-15";850;1572
35592;1460689767013;"2016-04-15";412;1584
35592;1460684398821;"2016-04-15";3703;88
35592;1460689857904;"2016-04-15";437;1598
35592;1460685417875;"2016-04-15";2014;74
35592;1460689726860;"2016-04-15";785;1583
35592;1460689500141;"2016-04-15";555;1587
35592;1460689635671;"2016-04-15";419;1579
35592;1460689290971;"2016-04-15";985;1588
35592;1460686157022;"2016-04-15";1774;74
61052;1454452171153;"2016-02-03";624;38
61052;1454452317472;"2016-02-03";647;30
61052;1454451887335;"2016-02-03";235;38
88181;1457190831570;"2016-03-05";1792;54
88181;1457191130150;"2016-03-05";3726;51
99270;1462084196459;"2016-05-01";2175;222
99270;1462084889452;"2016-05-01";1722;222
99270;1462084584519;"2016-05-01";1109;222
99270;1462085510431;"2016-05-01";2726;222
99270;1462083851019;"2016-05-01";1905;222
99270;1462085202969;"2016-05-01";1144;222
21932;1462097085847;"2016-05-01";749;848
46384;1460349508541;"2016-04-11";1197;3
36864;1463122932402;"2016-05-13";1640;330
91821;1460304385018;"2016-04-10";1151;17
6756;1454868797422;"2016-02-07";3359;51
6756;1454866150189;"2016-02-07";1374;49
6756;1454866949620;"2016-02-07";2455;47
6756;1454867017739;"2016-02-07";272;123
6756;1454865993496;"2016-02-07";2458;51
57576;1458121508381;"2016-03-16";1185;337
35052;1462868701505;"2016-05-10";2678;106
38094;1464496866609;"2016-05-29";761;62
38094;1464497310714;"2016-05-29";1318;62
98343;1458226139479;"2016-03-17";1064;26
61860;1457801286602;"2016-03-12";728;1572
20635;1458635279253;"2016-03-22";268;85
20635;1458635120383;"2016-03-22";210;64
20635;1458635356582;"2016-03-22";796;1261
48623;1454948810394;"2016-02-08";2974;117
72351;1462219189595;"2016-05-02";3037;848
72351;1462215056678;"2016-05-02";559;848
72351;1462218952909;"2016-05-02";2727;848
82203;1454866247406;"2016-02-07";842;160
82203;1458251602705;"2016-03-18";758;343
82203;1454760092826;"2016-02-06";1367;74
82203;1458672772744;"2016-03-22";748;343
41953;1459844726060;"2016-04-05";5808;965
41953;1459844484416;"2016-04-05";1795;965
86611;1452513128110;"2016-01-11";242;39
49530;1461683010947;"2016-04-26";3238;62
49530;1461689552108;"2016-04-26";2122;62
49530;1461688323094;"2016-04-26";1934;62
49530;1461690215104;"2016-04-26";773;62
49530;1461685379952;"2016-04-26";1128;62
49530;1461687963277;"2016-04-26";1896;62
49530;1461685045806;"2016-04-26";1423;62
9038;1455190026708;"2016-02-11";1050;74
9038;1455194148935;"2016-02-11";1503;74
9038;1455195824001;"2016-02-11";1745;74
9038;1455197099194;"2016-02-11";1572;74
9038;1455190262333;"2016-02-11";1122;74
29333;1460569582968;"2016-04-13";1326;3
36468;1455619401623;"2016-02-16";2757;1263
58692;1460736378210;"2016-04-15";2919;1124
58692;1460736056912;"2016-04-15";3067;271
58692;1460736487000;"2016-04-15";1306;74
72074;1456854528408;"2016-03-01";531;1248
72074;1456854420885;"2016-03-01";1351;1248
91192;1457277957326;"2016-03-06";3252;28
91192;1457283538471;"2016-03-06";1247;32
71180;1463392868471;"2016-05-16";1971;347
71180;1463378715919;"2016-05-16";884;165
89874;1458017701113;"2016-03-15";1703;254
43064;1461176135090;"2016-04-20";5632;49
43064;1461175824535;"2016-04-20";3452;49
43064;1461175437460;"2016-04-20";2448;49
10730;1457683197597;"2016-03-11";568;160
10730;1457687275720;"2016-03-11";596;160
10730;1457685464169;"2016-03-11";484;160
10730;1457688721524;"2016-03-11";878;160
10730;1457687886314;"2016-03-11";1150;160
58574;1461827134745;"2016-04-28";2795;989
58574;1461830069857;"2016-04-28";2668;989
58574;1461827215986;"2016-04-28";1289;989
58574;1461827089400;"2016-04-28";3079;93
41734;1462202379848;"2016-05-02";3554;47
744;1464512694477;"2016-05-29";1855;60
744;1464512409432;"2016-05-29";2947;60
744;1464513476435;"2016-05-29";3705;60
8821;1460987413483;"2016-04-18";1078;848
95243;1462384498283;"2016-05-04";495;257
69272;1457717102710;"2016-03-11";1264;26
37864;1461064261829;"2016-04-19";3484;23
37864;1461083457816;"2016-04-19";4597;172
99443;1463890202451;"2016-05-22";225;1558
99443;1463890957761;"2016-05-22";333;505
74936;1458760515941;"2016-03-23";2491;132
74936;1458598443546;"2016-03-22";2846;132
51686;1459769016999;"2016-04-04";526;1016
51686;1459474080157;"2016-04-01";448;129
51686;1459529249880;"2016-04-01";3351;347
51686;1459525438459;"2016-04-01";2808;347
51686;1459473839415;"2016-04-01";191;335
51686;1459768986689;"2016-04-04";1223;1016
51686;1459430662129;"2016-03-31";1350;165
51686;1459768935193;"2016-04-04";1347;204
51686;1459772877926;"2016-04-04";2027;16
51686;1459584674632;"2016-04-02";2208;350
29760;1464527999564;"2016-05-29";647;408
29760;1464527915017;"2016-05-29";954;408
81489;1462903736838;"2016-05-10";446;689
81489;1462903767018;"2016-05-10";387;794
81489;1462903691391;"2016-05-10";3603;793
52048;1463499461107;"2016-05-17";1932;586
52048;1463499691405;"2016-05-17";1573;586
52048;1463499290260;"2016-05-17";468;95
39367;1457853747772;"2016-03-13";1089;26
39367;1457855948474;"2016-03-13";865;26
39367;1457854252220;"2016-03-13";1921;26
39367;1457852876696;"2016-03-13";653;26
63321;1459610572546;"2016-04-02";497;251
63321;1459609770665;"2016-04-02";2934;187
61041;1459743633664;"2016-04-04";951;6
32980;1464544450356;"2016-05-29";348;1056
32980;1464544635206;"2016-05-29";254;757
95806;1461738521243;"2016-04-27";563;393
95806;1461737111947;"2016-04-27";478;1598
95806;1461736861401;"2016-04-27";1619;407
95806;1461738455212;"2016-04-27";2886;428
57687;1456248376028;"2016-02-23";352;1069
59509;1462892020621;"2016-05-10";3168;238
36867;1463919041926;"2016-05-22";3813;42
36867;1463918737942;"2016-05-22";3573;42
36867;1463919389261;"2016-05-22";2844;42
36867;1463916002323;"2016-05-22";2577;42
36867;1463919633080;"2016-05-22";2536;42
89324;1463085629151;"2016-05-12";3563;234
89324;1463085037905;"2016-05-12";1539;165
89324;1462563602703;"2016-05-06";1111;165
8859;1455856564826;"2016-02-19";815;435
8859;1455858060466;"2016-02-19";239;258
8859;1455855380543;"2016-02-19";463;411
8859;1455858576866;"2016-02-19";620;976
8859;1455858489942;"2016-02-19";612;976
8859;1455856653487;"2016-02-19";181;75
48779;1459069633411;"2016-03-27";2444;324
48779;1459057257788;"2016-03-27";2577;324
48779;1459065037997;"2016-03-27";918;324
48779;1459069493036;"2016-03-27";2616;324
48779;1459069379119;"2016-03-27";3010;324
48779;1459057917367;"2016-03-27";2698;324
48779;1459067278462;"2016-03-27";3377;324
48779;1459059308500;"2016-03-27";830;324
48779;1459057564047;"2016-03-27";838;324
48779;1459058350745;"2016-03-27";1561;324
48779;1459059123337;"2016-03-27";2474;324
48779;1459062185484;"2016-03-27";3000;324
48779;1459063454414;"2016-03-27";2610;324
27267;1457678928332;"2016-03-11";1032;6
84178;1460039838341;"2016-04-07";595;257
65529;1464372067855;"2016-05-27";715;484
65529;1464372683560;"2016-05-27";546;484
50092;1460814045481;"2016-04-16";1961;93
50092;1460814051194;"2016-04-16";1700;93
19426;1464013809688;"2016-05-23";3522;86
31879;1458588654379;"2016-03-21";1247;1574
61249;1457183964382;"2016-03-05";2993;1066
61249;1457184463369;"2016-03-05";3621;1066
87051;1457245843523;"2016-03-06";1472;93
87051;1457246768643;"2016-03-06";1678;976
87051;1457246804896;"2016-03-06";2021;976
31542;1464592711802;"2016-05-30";1176;848
31542;1464592647568;"2016-05-30";836;855
34771;1459325797266;"2016-03-30";2698;1124
34771;1459327217916;"2016-03-30";2488;385
34771;1459331639580;"2016-03-30";2129;1124
34771;1459331155874;"2016-03-30";2050;1124
31239;1459769261865;"2016-04-04";1129;1104
86133;1463591249416;"2016-05-18";692;74
86133;1463591643423;"2016-05-18";1408;74
78558;1455607844132;"2016-02-16";2407;130
78558;1455608219196;"2016-02-16";926;130
78558;1455607560301;"2016-02-16";919;165
78558;1455606883595;"2016-02-16";996;133
48195;1462977342605;"2016-05-11";951;510
48195;1462977027226;"2016-05-11";395;510
48195;1462977694159;"2016-05-11";689;510
61012;1454858352543;"2016-02-07";2192;47
52167;1455132969708;"2016-02-10";3033;218
52167;1455133097316;"2016-02-10";2914;218
21719;1461571543404;"2016-04-25";1030;65
21719;1461649875588;"2016-04-26";981;47
21719;1461645500966;"2016-04-26";1570;423
21719;1461571008896;"2016-04-25";393;1217
21719;1461576381900;"2016-04-25";1073;1185
21719;1461570723444;"2016-04-25";2572;1197
21719;1461575456024;"2016-04-25";2884;403
21719;1461570896793;"2016-04-25";581;1218
21719;1461571300081;"2016-04-25";1748;22
21719;1461644727170;"2016-04-26";275;1188
21719;1461575681811;"2016-04-25";2400;402
21719;1461570817786;"2016-04-25";2504;211
21719;1461576519845;"2016-04-25";1245;417
21719;1461575348669;"2016-04-25";729;635
21719;1461573111803;"2016-04-25";591;917
21719;1461573972402;"2016-04-25";977;923
21719;1461570240877;"2016-04-25";2543;325
21719;1461576177568;"2016-04-25";1193;403
21719;1461573798930;"2016-04-25";364;916
21719;1461570333007;"2016-04-25";1901;333
21719;1461571922953;"2016-04-25";747;237
21719;1461574990213;"2016-04-25";1349;63
21719;1461570524568;"2016-04-25";284;1230
21719;1461571774725;"2016-04-25";2982;23
21719;1461645655068;"2016-04-26";254;1186
21719;1461644956135;"2016-04-26";2219;420
21719;1461576010910;"2016-04-25";894;621
21719;1461645792493;"2016-04-26";1699;463
21719;1461570616460;"2016-04-25";1186;1229
21719;1461575129703;"2016-04-25";864;505
21719;1461645384981;"2016-04-26";3567;408
21719;1461575905288;"2016-04-25";323;597
21719;1461645291586;"2016-04-26";808;241
21719;1461574075194;"2016-04-25";757;356
21719;1461574852103;"2016-04-25";3511;1209
21719;1461644851281;"2016-04-26";299;416
21719;1461571723317;"2016-04-25";1161;237
21719;1461645119888;"2016-04-26";358;1174
21719;1461570146965;"2016-04-25";3859;1228
21719;1461575822188;"2016-04-25";1041;462
7567;1456724942441;"2016-02-29";315;1109
7567;1456725029059;"2016-02-29";310;1109
25942;1455006766696;"2016-02-09";1576;74
14706;1454508816637;"2016-02-03";2618;32
27096;1458901953406;"2016-03-25";811;26
27096;1458902814225;"2016-03-25";1045;26
76651;1460185401829;"2016-04-09";3400;1050
76651;1460187772246;"2016-04-09";817;1050
76651;1460184188130;"2016-04-09";1675;1050
76651;1460185190485;"2016-04-09";2107;1050
76651;1460184500905;"2016-04-09";1402;1050
76651;1460186590862;"2016-04-09";2936;1050
76651;1460185947131;"2016-04-09";2077;1050
76651;1460187193976;"2016-04-09";2217;1050
76651;1460185500651;"2016-04-09";2505;1050
76651;1460185858636;"2016-04-09";3214;1050
76651;1460183803502;"2016-04-09";3319;1050
96675;1458490822254;"2016-03-20";2482;976
96675;1458492057591;"2016-03-20";842;976
96675;1458491442790;"2016-03-20";2730;975
96675;1458491602767;"2016-03-20";2833;976
96675;1458491158260;"2016-03-20";1265;976
96675;1458491510437;"2016-03-20";401;1320
45449;1458714590240;"2016-03-23";1023;36
45449;1458714832610;"2016-03-23";1135;36
45449;1458711693626;"2016-03-23";1266;25
62205;1457535254403;"2016-03-09";3966;47
92613;1460454831769;"2016-04-12";715;228
98084;1458578235562;"2016-03-21";3407;171
98084;1458577907233;"2016-03-21";2627;171
49989;1457620498793;"2016-03-10";2935;172
49989;1457611329484;"2016-03-10";2429;172
49989;1457618849413;"2016-03-10";2184;172
66135;1464719181925;"2016-05-31";3874;1066
66135;1464812177735;"2016-06-01";3945;1066
66135;1464792278963;"2016-06-01";564;1007
25145;1455872675466;"2016-02-19";1723;4
25145;1455871934325;"2016-02-19";568;1246
73410;1454426287035;"2016-02-02";1230;3
95237;1461758426106;"2016-04-27";1167;734
12285;1462108593353;"2016-05-01";1724;774
12285;1462108907311;"2016-05-01";1788;774
14705;1454559722634;"2016-02-04";816;26
14705;1454577802315;"2016-02-04";782;26
14705;1454577179174;"2016-02-04";1243;26
14705;1454577496876;"2016-02-04";2269;26
14705;1454564483200;"2016-02-04";2314;26
78928;1457865014883;"2016-03-13";1336;257
69072;1464469812042;"2016-05-29";1705;74
90110;1464330387635;"2016-05-27";1418;173
25064;1460092412901;"2016-04-08";316;934
25064;1460092227060;"2016-04-08";1118;1309
12256;1462201576167;"2016-05-02";3185;26
43646;1463478478862;"2016-05-17";1733;315
43646;1463478562572;"2016-05-17";1142;315
43646;1463478657837;"2016-05-17";2302;315
91142;1461687987904;"2016-04-26";748;288
51819;1456405060068;"2016-02-25";757;304
97346;1463132921597;"2016-05-13";718;127
23098;1460006870529;"2016-04-07";628;62
23098;1464781096658;"2016-06-01";3148;59
23098;1464603075917;"2016-05-30";3252;18
23098;1458195044678;"2016-03-17";473;75
23098;1464782102866;"2016-06-01";1532;62
23098;1460007038493;"2016-04-07";1403;59
53700;1460575353492;"2016-04-13";889;1055
22876;1460535607733;"2016-04-13";2935;276
22876;1460534657744;"2016-04-13";3859;154
22876;1460535107143;"2016-04-13";2315;154
22876;1460535951077;"2016-04-13";4504;276
22876;1460533440673;"2016-04-13";946;74
17536;1462169113256;"2016-05-02";2236;414
67239;1461171371670;"2016-04-20";1448;1218
67239;1461170326715;"2016-04-20";2367;1218
67239;1461172068127;"2016-04-20";1720;1218
67239;1461171756718;"2016-04-20";1494;1218
70506;1457532465891;"2016-03-09";1530;1221
47990;1460303485388;"2016-04-10";2657;385
47990;1460302520303;"2016-04-10";4115;428
47990;1460302913930;"2016-04-10";3405;211
74558;1457280169408;"2016-03-06";3717;234
29940;1460538221355;"2016-04-13";1874;31
29940;1460538698368;"2016-04-13";3270;31
29940;1460539303582;"2016-04-13";3312;31
64228;1464440722673;"2016-05-28";1595;703
64228;1464417453390;"2016-05-28";3685;257
64228;1464416779157;"2016-05-28";2708;368
64228;1464440247722;"2016-05-28";1610;699
64228;1464417746419;"2016-05-28";1832;257
25079;1457971606516;"2016-03-14";2018;91
54074;1462429322152;"2016-05-05";370;63
59496;1462876255576;"2016-05-10";1718;37
59496;1462785183375;"2016-05-09";3109;47
59496;1462792040091;"2016-05-09";1085;24
10626;1457007425963;"2016-03-03";981;1078
44771;1464440016430;"2016-05-28";917;1056
14930;1455549749443;"2016-02-15";3832;47
14930;1455547017572;"2016-02-15";1080;24
14930;1455548795261;"2016-02-15";2882;47
14930;1455558314325;"2016-02-15";416;985
14930;1455549232654;"2016-02-15";2112;47
78215;1458801853536;"2016-03-24";2817;848
74974;1460389384650;"2016-04-11";2004;981
74974;1460390701182;"2016-04-11";1372;355
71740;1460205639872;"2016-04-09";1251;848
71740;1460205332332;"2016-04-09";1087;848
51151;1458322550835;"2016-03-18";343;100
22730;1461514741467;"2016-04-24";1553;211
22730;1461514347679;"2016-04-24";2104;211
5398;1460285693288;"2016-04-10";1854;228
5398;1460287181225;"2016-04-10";1133;228
5398;1460286497646;"2016-04-10";1114;228
42247;1457965663215;"2016-03-14";360;5
42247;1457965778317;"2016-03-14";616;8
42247;1457965578799;"2016-03-14";1309;10
42247;1457965074157;"2016-03-14";1499;8
84889;1461604521178;"2016-04-25";954;976
66992;1457355999360;"2016-03-07";598;689
30593;1455364212471;"2016-02-13";221;683
30593;1455365551594;"2016-02-13";441;683
5686;1457432688424;"2016-03-08";2130;103
5686;1457433290573;"2016-03-08";1067;31
5686;1457433597674;"2016-03-08";3120;31
5686;1457434184041;"2016-03-08";4020;31
40780;1464157804833;"2016-05-25";775;1104
40780;1464077646535;"2016-05-24";810;74
35927;1462333911101;"2016-05-04";856;1261
53949;1463505609039;"2016-05-17";1452;1572
53949;1463505470887;"2016-05-17";196;646
53949;1463505310654;"2016-05-17";1073;399
53949;1463505195412;"2016-05-17";692;1061
75701;1463819251100;"2016-05-21";1105;74
75701;1463816996842;"2016-05-21";1004;74
60721;1459832814062;"2016-04-05";122;1589
60721;1459832657552;"2016-04-05";181;1570
60721;1459832968562;"2016-04-05";1242;1576
56156;1461690179836;"2016-04-26";1401;119
56156;1461690184146;"2016-04-26";523;343
46958;1461948998101;"2016-04-29";995;1280
17949;1458043231627;"2016-03-15";2252;332
17949;1458042914205;"2016-03-15";1666;332
2655;1460645392736;"2016-04-14";1017;228
2655;1460645056508;"2016-04-14";1233;228
94521;1458120314732;"2016-03-16";2411;130
48065;1461738816753;"2016-04-27";1722;62
59703;1459010277359;"2016-03-26";3623;325
59703;1459011377481;"2016-03-26";2596;333
59703;1459010727766;"2016-03-26";2590;325
59703;1459010580506;"2016-03-26";3131;385
59703;1458981456441;"2016-03-26";1885;3
15381;1461168970627;"2016-04-20";2814;171
15381;1461169604180;"2016-04-20";7953;891
15333;1455244567310;"2016-02-12";2109;254
15333;1460301155428;"2016-04-10";1541;891
15333;1463760633466;"2016-05-20";401;891
15333;1455330670525;"2016-02-13";1742;254
15333;1464792060217;"2016-06-01";2715;281
15333;1455452172451;"2016-02-14";514;1095
15333;1463766774196;"2016-05-20";552;891
15333;1463793267643;"2016-05-21";781;891
15333;1463765272155;"2016-05-20";587;921
15333;1463765378555;"2016-05-20";544;921
15333;1455244471570;"2016-02-12";565;1095
15333;1454857683259;"2016-02-07";315;383
87970;1461500312611;"2016-04-24";347;1572
87970;1461499983182;"2016-04-24";687;1572
87970;1461499667727;"2016-04-24";470;1572
87970;1461499402903;"2016-04-24";629;1598
87970;1461498545188;"2016-04-24";609;1581
87970;1461499638064;"2016-04-24";385;1579
87970;1461499457547;"2016-04-24";564;1581
87970;1461499484890;"2016-04-24";1193;1598
87970;1461499609771;"2016-04-24";600;1581
87970;1461499551571;"2016-04-24";605;1576
87970;1461499074139;"2016-04-24";694;1598
87970;1461500630092;"2016-04-24";372;1572
87970;1461498758433;"2016-04-24";564;1598
72456;1458299337902;"2016-03-18";2622;318
8540;1460312825088;"2016-04-10";4534;18
8540;1460313150754;"2016-04-10";1536;18
8540;1460307879305;"2016-04-10";620;18
15013;1458984540752;"2016-03-26";3395;32
49313;1455034339627;"2016-02-09";649;20
49313;1455081597674;"2016-02-10";1173;3
49313;1455036893447;"2016-02-09";812;104
33308;1463056713633;"2016-05-12";1089;74
33308;1463057642437;"2016-05-12";1213;74
33308;1463059113058;"2016-05-12";1762;74
33308;1463054657030;"2016-05-12";827;74
33308;1463058131152;"2016-05-12";972;74
9678;1462775767156;"2016-05-09";1607;178
9678;1455707035598;"2016-02-17";3488;18
9678;1462776638094;"2016-05-09";1771;178
49119;1462643879319;"2016-05-07";2402;74
49119;1462643575789;"2016-05-07";1023;74
9355;1457783895447;"2016-03-12";1453;324
22476;1454749319432;"2016-02-06";1356;62
39755;1455972011308;"2016-02-20";671;976
80522;1457693243130;"2016-03-11";1515;80
80522;1457693166696;"2016-03-11";1479;74
80522;1457693211555;"2016-03-11";626;24
60279;1454486582272;"2016-02-03";325;1162
56954;1452999359029;"2016-01-17";581;1113
47656;1462129639547;"2016-05-01";1422;495
85658;1463000419818;"2016-05-12";1848;631
54767;1462875928619;"2016-05-10";2405;458
31336;1455708614685;"2016-02-17";1826;26
31336;1455709183208;"2016-02-17";878;26
31336;1455709563456;"2016-02-17";2377;26
31336;1455709915083;"2016-02-17";973;26
31336;1455710378673;"2016-02-17";2946;26
31336;1455708250320;"2016-02-17";1747;26
60949;1458661618924;"2016-03-22";2118;49
60949;1458661867339;"2016-03-22";1549;49
60949;1458659979008;"2016-03-22";1175;51
60949;1458661149286;"2016-03-22";2624;49
3375;1458930998452;"2016-03-25";143;129
3375;1458931205352;"2016-03-25";453;129
3375;1458931248379;"2016-03-25";538;129
49954;1463993050136;"2016-05-23";2522;74
49954;1463991991456;"2016-05-23";1745;3
42213;1455209713091;"2016-02-11";338;1303
42213;1455210768962;"2016-02-11";367;1071
11039;1463580881297;"2016-05-18";844;62
11039;1463580630497;"2016-05-18";935;62
11039;1463580631363;"2016-05-18";988;62
11039;1463581245326;"2016-05-18";1917;62
11039;1463580070331;"2016-05-18";1013;62
94486;1464362397912;"2016-05-27";3956;105
94486;1464362297024;"2016-05-27";3654;105
94486;1464363705535;"2016-05-27";1057;1584
95442;1464074091339;"2016-05-24";2398;848
2929;1460609893380;"2016-04-14";1146;26
43919;1452782746645;"2016-01-14";154;24
29288;1461840248264;"2016-04-28";258;1286
29288;1461839188885;"2016-04-28";4183;35
29288;1461836776548;"2016-04-28";823;1587
96613;1455555663225;"2016-02-15";454;1106
83500;1464510589973;"2016-05-29";2616;1239
83500;1464438317924;"2016-05-28";370;694
1057;1455132599128;"2016-02-10";1338;26
45010;1462981483875;"2016-05-11";219;1579
45010;1462981400208;"2016-05-11";266;1573
44644;1463116492971;"2016-05-13";1638;414
44644;1463116613849;"2016-05-13";2126;408
44644;1463116137419;"2016-05-13";920;1340
53099;1462876181931;"2016-05-10";1418;204
88130;1461729874105;"2016-04-27";217;1321
