"externalsessionid";"timestamp";"eventdate";"ordernumber";"pricecents";"totalcents";"quantity";"product_id"
83100;1459581515438;"2016-04-02";18660;115;115;1;59336
2391;1461128808783;"2016-04-20";51705;115;115;1;59336
85087;1455981432570;"2016-02-20";50692;2402;2402;1;59408
11243;1458820523679;"2016-03-24";62125;861;861;1;59867
63392;1460354056825;"2016-04-11";87136;1067;1067;1;60186
50150;1457036900977;"2016-03-03";59440;1287;1287;1;60416
26145;1462517720284;"2016-05-06";90309;362;362;1;60604
13391;1455726963011;"2016-02-17";15360;765;765;1;60755
54790;1458107220144;"2016-03-16";39928;765;765;1;60755
20119;1461146557662;"2016-04-20";4058;765;765;1;60755
57258;1456816731625;"2016-03-01";15097;471;471;1;60931
92267;1455443507234;"2016-02-14";42805;2504;2504;1;61175
60900;1458567675517;"2016-03-21";76643;2504;2504;1;61175
84560;1459431718314;"2016-03-31";23600;2504;2504;1;61175
67998;1445188910603;"2015-10-18";60069;64;64;1;61368
55343;1458066960378;"2016-03-15";20388;2435;2435;1;61450
30187;1458657581433;"2016-03-22";5605;2435;2435;1;61450
57572;1458793899105;"2016-03-24";71434;2435;2435;1;61450
20055;1459186905781;"2016-03-28";64757;2435;2435;1;61450
82314;1457969063610;"2016-03-14";76349;347;347;1;61699
82314;1457970019082;"2016-03-14";83113;347;347;1;61699
94381;1454473477959;"2016-02-03";54144;362;362;1;61770
48825;1463298878057;"2016-05-15";18406;666;666;1;61781
50063;1464603076292;"2016-05-30";15027;771;771;1;61823
11342;1463494194784;"2016-05-17";60319;760;760;1;62026
23676;1464671691542;"2016-05-31";38148;760;760;1;62026
23676;1464674810057;"2016-05-31";10882;760;760;1;62026
59582;1461732756384;"2016-04-27";10441;164;164;1;62045
94372;1456848307549;"2016-03-01";6591;1243;1243;1;62134
8514;1454503756452;"2016-02-03";71067;143;143;1;62251
39105;1456060393908;"2016-02-21";73985;1235;1235;1;62324
75289;1455789262605;"2016-02-18";50492;434;8680;20;62643
60615;1462176689302;"2016-05-02";36048;776;776;1;62990
20070;1464428910592;"2016-05-28";66485;413;413;1;63271
71926;1459703163370;"2016-04-03";96316;1024;1024;1;63550
73109;1456723052181;"2016-02-29";7753;760;760;1;63610
99578;1458191417426;"2016-03-17";47523;236;236;1;63896
6140;1459611982202;"2016-04-02";2300;236;236;1;63896
45594;1462858308629;"2016-05-10";8156;495;495;1;63907
19561;1460432106511;"2016-04-12";65821;596;596;1;63989
57281;1464110009295;"2016-05-24";41134;2272;2272;1;64233
51202;1464111983682;"2016-05-24";15461;2272;2272;1;64233
90356;1463060647219;"2016-05-12";76320;2226;2226;1;64334
61410;1463731925143;"2016-05-20";20628;962;962;1;64445
57449;1453527286284;"2016-01-23";21697;508;508;1;64890
44534;1458445274598;"2016-03-20";10591;4270;4270;1;64921
47485;1462186858848;"2016-05-02";98333;787;787;1;64927
64431;1460902404661;"2016-04-17";17762;1160;1160;1;65117
50887;1453531327745;"2016-01-23";2500;345;345;1;65457
23741;1464332836588;"2016-05-27";26394;2574;2574;1;65599
39202;1458756986739;"2016-03-23";21378;150;150;1;66513
51123;1463897862623;"2016-05-22";42038;150;150;1;66513
89553;1459122560814;"2016-03-28";16371;461;461;1;66742
63563;1455460535485;"2016-02-14";59824;719;719;1;66910
76279;1456675445293;"2016-02-28";91822;1468;1468;1;67232
7828;1459874981770;"2016-04-05";66533;254;254;1;67240
28325;1462928087553;"2016-05-11";58552;484;484;1;67337
28325;1462699290923;"2016-05-08";58552;484;484;1;67337
7972;1464153382817;"2016-05-25";91377;484;484;1;67337
19252;1464769771069;"2016-06-01";26222;1136;1136;1;67955
23588;1461924521052;"2016-04-29";10052;98;98;1;68062
30999;1454082307957;"2016-01-29";63421;1380;1380;1;68219
91061;1458483639428;"2016-03-20";15669;609;609;1;68444
55677;1455955119151;"2016-02-20";18444;609;609;1;68444
90322;1452147091484;"2016-01-07";40985;4939;4939;1;68643
71656;1457482195501;"2016-03-09";48976;516;516;1;68829
3409;1456894897345;"2016-03-02";95385;1652;6608;4;68847
90754;1458741287059;"2016-03-23";66312;1652;1652;1;68847
86561;1455485850854;"2016-02-15";85455;519;519;1;69195
48378;1459407932162;"2016-03-31";45636;4738;4738;1;70013
68723;1462035669907;"2016-04-30";47594;885;885;1;70304
