Code,MetroArea
27100,"Jackson, MI"
27140,"Jackson, MS"
27260,"Jacksonville, FL"
27340,"Jacksonville, NC"
27500,"Janesville, WI"
27740,"Johnson City, TN"
27780,"Johnstown, PA"
27900,"Joplin, MO"
28020,"Kalamazoo-Portage, MI"
28100,"Kankakee-Bradley, IL"
28140,"Kansas City, MO-KS"
28660,"Killeen-Temple-Fort Hood, TX"
28700,"Kingsport-Bristol, TN-VA"
28740,"Kingston, NY"
28940,"Knoxville, TN"
29100,"La Crosse, WI"
29180,"Lafayette, LA"
29340,"Lake Charles, LA"
29460,"Lakeland-Winter Haven, FL"
29540,"Lancaster, PA"
29620,"Lansing-East Lansing, MI"
29700,"Laredo, TX"
29740,"Las Cruses, NM"
29820,"Las Vegas-Paradise, NV"
29940,"Lawrence, KS"
30020,"Lawton, OK"
30460,"Lexington-Fayette, KY"
30780,"Little Rock-North Little Rock, AR"
30980,"Longview, TX"
31100,"Los Angeles-Long Beach-Santa Ana, CA"
31140,"Louisville, KY-IN"
31180,"Lubbock, TX"
31340,"Lynchburg, VA"
31420,"Macon, GA"
31460,"Madera, CA"
31540,"Madison, WI"
32580,"McAllen-Edinburg-Pharr, TX"
32780,"Medford, OR"
32820,"Memphis, TN-MS-AR"
32900,"Merced, CA"
33100,"Miami-Fort Lauderdale-Miami Beach, FL"
33140,"Michigan City-La Porte, IN"
33260,"Midland, TX"
33340,"Milwaukee-Waukesha-West Allis, WI"
33460,"Minneapolis-St Paul-Bloomington, MN-WI"
33660,"Mobile, AL"
33700,"Modesto, CA"
33740,"Monroe, LA"
33780,"Monroe, MI"
33860,"Montgomery, AL"
34740,"Muskegon-Norton Shores, MI"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC"
34900,"Napa, CA"
34940,"Naples-Marco Island, FL"
34980,"Nashville-Davidson-Murfreesboro, TN"
35380,"New Orleans-Metairie-Kenner, LA"
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA"
35660,"Niles-Benton Harbor, MI"
36100,"Ocala, FL"
36140,"Ocean City, NJ"
36260,"Ogden-Clearfield, UT"
36420,"Oklahoma City, OK"
36500,"Olympia, WA"
36540,"Omaha-Council Bluffs, NE-IA"
36740,"Orlando, FL"
36780,"Oshkosh-Neenah, WI"
37100,"Oxnard-Thousand Oaks-Ventura, CA"
37340,"Palm Bay-Melbourne-Titusville, FL"
37460,"Panama City-Lynn Haven, FL"
37860,"Pensacola-Ferry Pass-Brent, FL"
37900,"Peoria, IL"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
38060,"Phoenix-Mesa-Scottsdale, AZ"
38300,"Pittsburgh, PA"
38900,"Portland-Vancouver-Beaverton, OR-WA"
38940,"Port St. Lucie-Fort Pierce, FL"
39100,"Poughkeepsie-Newburgh-Middletown, NY"
39140,"Prescott, AZ"
39340,"Provo-Orem, UT"
39380,"Pueblo, CO"
39460,"Punta Gorda, FL"
39540,"Racine, WI"
39580,"Raleigh-Cary, NC"
39740,"Reading, PA"
39900,"Reno-Sparks, NV"
40060,"Richmond, VA"
40140,"Riverside-San Bernardino, CA"
40220,"Roanoke, VA"
40380,"Rochester, NY"
40420,"Rockford, IL"
40900,"Sacramento-Arden-Arcade-Roseville, CA"
40980,"Saginaw-Saginaw Township North, MI"
41060,"St. Cloud, MN"
41180,"St. Louis, MO-IL"
41420,"Salem, OR"
41500,"Salinas, CA"
41540,"Salisbury, MD"
41620,"Salt Lake City, UT"
41700,"San Antonio, TX"
41740,"San Diego-Carlsbad-San Marcos, CA"
41860,"San Francisco-Oakland-Fremont, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
42020,"San Luis Obispo-Paso Robles, CA"
42060,"Santa Barbara-Santa Maria-Goleta, CA"
42100,"Santa-Cruz-Watsonville, CA"
42140,"Santa Fe, NM"
42220,"Santa Rosa-Petaluma, CA"
42260,"Sarasota-Bradenton-Venice, FL"
42340,"Savannah, GA"
42540,"Scranton-Wilkes Barre, PA"
42660,"Seattle-Tacoma-Bellevue, WA"
43340,"Shreveport-Bossier City, LA"
43620,"Sioux Falls, SD"
43780,"South Bend-Mishawaka, IN-MI"
43900,"Spartanburg, SC"
44060,"Spokane, WA"
44100,"Springfield, IL"
44180,"Springfield, MO"
44220,"Springfield, OH"
44700,"Stockton, CA"
45060,"Syracuse, NY"
45220,"Tallahassee, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL"
45780,"Toledo, OH"
45820,"Topeka, KS"
45940,"Trenton-Ewing, NJ"
46060,"Tucson, AZ"
46140,"Tulsa, OK"
46220,"Tuscaloosa, AL"
46540,"Utica-Rome, NY"
46660,"Valdosta, GA"
46700,"Vallejo-Fairfield, CA"
46940,"Vero Beach, FL"
47020,"Victoria, TX"
47220,"Vineland-Millville-Bridgeton, NJ"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47300,"Visalia-Porterville, CA"
47380,"Waco, TX"
47580,"Warner Robins, GA"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47940,"Waterloo-Cedar Falls, IA"
48140,"Wausau, WI"
48620,"Wichita, KS"
49180,"Winston-Salem, NC"
49420,"Yakima, WA"
49620,"York-Hanover, PA"
49660,"Youngstown-Warren-Boardman, OH"
70750,"Bangor, ME"
70900,"Barnstable Town, MA"
71650,"Boston-Cambridge-Quincy, MA-NH"
71950,"Bridgeport-Stamford-Norwalk, CT"
72400,"Burlington-South Burlington, VT"
72850,"Danbury, CT"
73450,"Hartford-West Hartford-East Hartford, CT"
74500,"Leominster-Fitchburg-Gardner, MA"
75700,"New Haven, CT"
76450,"Norwich-New London, CT-RI"
76750,"Portland-South Portland, ME"
77200,"Providence-Fall River-Warwick, MA-RI"
77350,"Rochester-Dover, NH-ME"
78100,"Springfield, MA-CT"
78700,"Waterbury, CT"
79600,"Worcester, MA-CT"
