Tweet,Avg
"Found a new way to work today courtesy of my iPhone. Way to go, @Apple maps! Is that the first time anyone's said that?",1.2
"Dear @Apple, love the new default alarm ringtone. #goodmorning",1.2
@apple I never noticed how good the iPhone 5 camera was #pug pic.twitter.com/0Z6ZD8FyMK,1.2
Just found out that @apple added the #watchESPN app to AppleTV. I may never leave the house again! #SEC,1.2
@Apple products are the best. pic.twitter.com/X5Zy21XFI3,1.2
@apple drawing on a mac is soooo cool! pic.twitter.com/w9ckPCEy0r,1.2
I was thinking about getting an android phone. But once I saw the #iphone5s apple had pulled me back in! @iphone5s @apple,1.2
@jasonreiner after extensive research this new & innovative product was created by @apple #trendsetters,1
"I just dropped my phone down two flights of wooden stairs, no damage. Thanks @apple !",1
thanks for your help @apple,1
"@TraceyLiddle @Apple So ... I went to the Apple store...an hour away, and they were brilliant! Thanks! New, functioning, Ipad!  D!",1
I love how @apple makes it easy to transfer between Macs while I continue to work! pic.twitter.com/lga2KaXa4b,1
The only time @nokia_uk & @apple should be mentioned in the same sentence on my TL is when Nokia is thanking apple>>,1
Hopefully I will get the new @Apple iPhone 5C for Christmas #iPhone5C,1
@mfayax @Apple Thank you for the Apple.,1
The most stunning pictures/videos from the world of @apple on our #instagram profile http://instagram.com/appsolution  pic.twitter.com/QqDZQe8s4F,1
Suddenly my faith in @apple has been restored. Can't wait for the iPhone 5c now! http://ow.ly/22FbS4,1
"Totally missed that @Apple are giving away iPhoto, iMovie +iWork free of charge to all new iPad owners. Awesome move!",1
The new @apple 's #iPhone5S seems pretty cool #FingerprintsRecognitom  !!!! #iPhone #Apple,1
"Wow @Apple huge thanks for the 24 hour review cycle! #Concepts 2.0 live with Stacks, Snap-To, improved Shapes, +more! pic.twitter.com/4vkIVK0S0Y",1
"wow, just by the amount of MacBooks in this starbucks i would say @apple is doing very well",1
@iBrooklynB @Apple 5s gold!!,1
@Windows @apple ipad ftw,1
"When you open Passbook, the screen gets brighter - automatically. It makes scanning the code flawless. That's why I'll stick to @Apple.",1
@Apple #iOS7..Everybody get ready to experience a operating system that kills any jail break. Absolutely Incredible! @appletweets @applenws,1
@apple has done it again...the #5s is gonna be freaking sick,1
@Lafond66 @mallow610 @Apple recent apple convert who may my continue to be so by my next upgrade...brand is nothing. Usability is key,1
reason #2001 why when @apple comes out with the new macbook pro I'm getting a that instead of pc.. #hatewindows #upgrade #stupidmicrosoft,1
"iOS 7 finally introduces ringtones and alarms that don't suck. Was that so hard, @apple? Thank you :)",1
.@apple is straight legit! Sent my phone in Wednesday to get repaired. Got a new replacement phone back Friday Morning. I'm back!,1
My phone is now complete with #iRadio @apple Thank You pic.twitter.com/gQg5XusYF7,1
"All hyperbole aside, this article as well as @apple are simply amazing aren't they? via @FastCoDesign http://ow.ly/ovSzN",1
Okay phone companies. Stop palling around. @apple can at least let me creep. Why can't anyone else? Get it together!,0.8
"RT @Jill_Martin77: ""Music to my ears @Apple #iPhone 5c is 'beautifully, unapologetically plastic'"" See more here: http://bit.ly/17pDIv1",0.8
@iBrooklynB @Apple I loved iphonec better. Cuz name is awesome haha x,0.8
"I #Fell Like #Working For @Apple When I'm Older, I Love Technology A lot, So I Wanna Make My Own Products or Help Design Them or Make Them.",0.8
Drumroll please! Joining @Apple & @Samsung w big #news & new content this wk is: US! The LRWBlog Redesign!http://ow.ly/oNaZD  #happydance,0.8
Would love to #blog about the the new #iPhone5s if @Apple wants to send me one!!,0.8
After 7 years I finally had to get a new MacBook Pro battery!  Go @apple! pic.twitter.com/XwqJEdhsvT,0.8
Which iPhone would you guys choose? iPhone 5s in white/silver or iPhone 5c in Green? :) @apple,0.8
Does @Apple have a registry for gifts? Because I'm thinking about fake getting #married or #birthday registering for some things.,0.8
Thanks @apple for the #itunesFestival  http://twitpic.com/dd6xjw,0.8
our good help ! thanks @apple pic.twitter.com/lbU9dIufRF,0.8
I know this is going sound simple but with #ios7 without entering the password you have a flashlight #genius #simple @apple #wow,0.8
@Apple leaps ahead again with Mobile Identity Management! Are you still stuck on MDM? anyone? MIM is the future!,0.8
@Microsoft and @Windows I am so done with you. Every laptop!!! #6monthlifespan ... @Apple come at me!,0.8
@Apple: You will be in my hands in just 8 days.  #iPhone5S #iPhone #IOS #Apple   #September20th pic.twitter.com/xWR5hVnjYC,0.8
@tvmattscott I am a big believer in the @apple store,0.8
I'm so glad that @apple is skipping the megapixel war for better light sensitivity. Now it'll outdo some entry level SLRs!,0.8
@FireandIce5935 @johan_barnard @Android @Apple ha! You can't tempt me tho! The apple force is too strong ;),0.8
RT @Apple says the CoreMotion system on the iPhone 5S will empower a new generation of health and fitness apps,0.8
"1 actually good thing from the @Apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie) via...",0.8
Good news: @apple replaced my phone! Bad news: I lost my @bubblemania spot...went from 180 down to 1 :( @lxforever @laurenjessa,0.8
"1 actually good thing from the @Apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie)",0.8
".@Sephora = @Apple of #beauty industry.Incredible brand, online &in-store experience+addit'n of FREE classes! #retail pic.twitter.com/JaGQQKJmr3",0.8
"Stick to @Apple..reason, None of the smart phone manufacturers are rolling out their new software upgrade to older generations.",0.8
U say dat iphone 5s dint bring anythng new??? We'll see wen it wil sell like hot cakes #iphone @apple,0.8
Inviting all Musicians to check out this Innovative Music App @ScaleBoxApp @Apple @iTunesMusic #Apple #iPhone #iTunes http://forbit.ly/scaleboxapp,0.8
Loving the vintage @apple pen in home office today as I wait for #iPhone5S! pic.twitter.com/u1ifCDdHEI,0.8
"Didn't buy something this time @applestoreamsterdam, yet got great service and a new #appletv on the spot tks @Apple love #geniusbar",0.8
I can see a new and improved bPhone from @Beyonce and @Apple,0.8
Just Got A Brand New iPhone 5 @apple :D pic.twitter.com/SJ86URqVm8,0.8
Whelp...I'm due for a phone upgrade...the @apple 5S is my choice...not sure about color though...gold? ehhh....,0.8
Excited about @Apple introducing #TouchID and biometric security. Hoping an API will soon be released for devs to take advantage.,0.8
@apple repaired my dead SSD and upgraded me to Mountain Lion. Thank you. That saved us some time today.,0.8
FOLLOW @APPLE NOW,0.6
Currently waiting for @Apple to review the app so hopefully it will be out ASAP. Thanks for the support. #excited #courtsideassistappforiOS,0.6
@simonmoeller That is kick-butt! Next level: Subway Surfers coming pre-installed on your iPhone (@Apple not a bad idea actually),0.6
"#Iphone 5s #builds on that #achievement with #Touch ID, a #?ngerprint identity #sensor! http://ow.ly/oO0u0   @Apple",0.6
@filsfan @Apple @TheMIXXRadio @The_Hott_Spot @TheMixxHangout Rockstar! Love you!,0.6
@astrologyzone My commitment got pushed back a week so I'll get to see you next week @apple looking forward to it!,0.6
Love the @apple and @burberry marketing partnership; Burberry shoots runway show teaser w/ iPhone 5S >> http://on.mash.to/1bbFSCA  via @mashable,0.6
So glad @apple now offers the iPhone in multiple colors because god forbid they actually spend resources improving the network capability.,0.6
"@lxforever @laurenjessa the sleep button slowly died. Lovely @apple service, happy customer...not sure on @bubblemania data ret. policy tho",0.6
RT @TheDiMassa A3) yes. @Samsung and @Apple are volleying w quicker & quicker devices. Helping to raise all of mobile's speed/UX #mobilebiz,0.6
@Apple iPhone in Gold :o,0.6
Excellent Musician App @ScaleBoxApp @Apple @iTunesMusic #Apple #iPhone #Piano #ABRSM #Music #OnlyClassical #Violin  http://forbit.ly/scaleboxapp,0.6
Guess who has Champagne color as well #iphone5s #iphone5c #tools #homeimprovement #homeowners #home @Apple undefined,0.6
Don't think #apple is innovating? Think @apple is behind? You couldn't be more wrong pic.twitter.com/s3RzJZyssJ,0.6
Update: New article - I talk about @Apple becoming a dominating force with the new A7 chip and iOS 7 ~ http://smgtechmedia.com/Pages/apple.htm,0.6
@Stratix is very excited to be hosting @Apple's Oct App Development briefing. Learn more navneet.saini@stratixcorp.com,0.6
I want to have this right now! Best mobile concept idea ever.. Check it out! #phoneblocks.com #mobilerevolution #loveit @apple @samsung,0.6
@apple may have just recaptured this fanboy's heart. Ha. With a little flash! #greeniphone #yesplease,0.6
Love working @apple watching people with the tech problems. #entertainment,0.6
#Tech goes glam as @Apple and @Samsung partner with high fashion to promote their devices. http://bit.ly/160eL6m  #smartwatch #luxury,0.6
dear @apple the very excellent #2000ad have submitted an update. please approve so I can read me some #slaine and #dredd,0.6
darn you @apple for introducing a new #iphone anodized finish color. that i didn't know about 2 secs ago & now #want.,0.6
@airwaysmagazine @Apple @BoeingAirplanes Fascinating!,0.6
@apple please released ios7 tonight i am in desperate need,0.6
The gents at the @Apple Store are basically the hottest nerds going.,0.6
@iBrooklynB @Apple I would get 5c green I think it would be better xx,0.6
@microsoft is just Jealous because @apple is basically putting them out of business. I give Microsoft 5 years at most!,0.6
Is @Apple store to preorder the new iphone. Then when it comes in I sell for 3x more. Thanks #Apple,0.6
GIVE ME THIS .@apple pic.twitter.com/HlVXNtISUG,0.6
Last week with Samsung next weekend it's all about the iPhone #iphone5 @apple,0.6
touch screen macbook waiting on it. @apple make it happen,0.6
Look at the new features of the  #iphone #iOs 7  #iphone5 @mashable[VIDEO] http://buff.ly/17sWtOc  @apple,0.6
I want a black + gold iPhone. @apple make it happen,0.6
"#Android v. #iPhone: @Google has the #mobile lead, @Apple still reigns in #commerce. http://ow.ly/oQCGb  #tech #business",0.6
nowadays it is embarassing having a blackberry! stick with @apple iPhones,0.6
People think @apple aren't innovating...Hello have you read about the new #M7 chipset or looked over how the #fingerprint was engineered??,0.6
Love this Muhammad Ali ad from @apple #thegreatest #thinkdifferent pic.twitter.com/uhYPsr33VW,0.6
My dreams have been infiltrated by the iPhone 5s gold... @apple what have you done to me?,0.6
@apple launched the TouchID at the right time.,0.6
FOLLOW @APPLE NOW,0.6
"Hey @Apple. Please make the iPhones,etc sound like JARVIS someday--via updates. That would be freaking awesome!!",0.6
Waiting for @apple to release the new iPad so homegirl can get one... #cmon #ihavethefirstone #giddyup,0.6
THIS IS WHAT I WANT @APPLE @GOD @JESUS pic.twitter.com/SJVVjKA3Sd,0.6
Dear @dstv and @apple. Well done! I was a bit sad that I missed the 1st ep of Suits but... ? pic.twitter.com/xshI3GQlku,0.6
@Apple launches in-store #iPhone recycling program http://ow.ly/oR69m  via @eldaily,0.4
"@BlakeGrahamPGA @BestBuy I'm starting to do that, I've always gone to the @apple store for any of there toys!",0.4
Very True. @Apple iPhone: Designed in #California But Manufactured Fast All Around the World (Infographic) | http://ow.ly/oONxW,0.4
I liked the original 3g IPhone @apple,0.4
Check out some new things to look forward to with @Apple announcing #iPhone 5C and 5S and confirming #iOS7 http://ow.ly/oR9J3,0.4
How @Apple Is Improving Mobile App Security http://fw.to/Qo0DqXT  #Mobile #App,0.4
@mrjamesnoble One can only try to read the signs and connect the dots. @Apple is however the one company I believe can do such a thing ??,0.4
Everyone come out & support us @7pm @Apple ?????,0.4
@mac @apple creative! #5C @iMore pic.twitter.com/QBI2za6XUv,0.4
I missed big picture of yesterday @Apple announcement - is the #iPad. With free #iWork and 64bit Apple just cemented no1 position on tablets,0.4
This phone could be the next huge thing...Look out @Apple http://ow.ly/oOcPF   #phoneblocks,0.4
"The worldwide #mobile phone market is forecast to grow 7.3% year over year in 2013 with @Apple iOS the number two operating system, via @IDC",0.4
#geekchic RT @peterloudis: Genius Idea.  Who is going to get on this? @microsoft @motorola @apple @google http://bit.ly/16lfd2s  #smartphone,0.4
@pr1nc355haybug no way. It's perfect in every way. @apple steps up their game every single update.,0.4
Off to @apple.  It's #teamiphone time once again!!!!,0.4
Will @Apple Cheaper #iPhone succeed? http://ht.ly/oOf4V,0.4
Can I have one of those colourful cases for my iPhone 5 @apple,0.4
"Well, @Nokia's surprise tomorrow couldn't possibly be a gold case because, surely, @Apple holds a patent on that colour now. #WinPhan",0.4
@Jon4Lakers @TechnoBuffalo this is so annoying @apple do something cool and are the first ones to do it then of coarse Samsung has to copy:p,0.4
One more LED is simply more light - one more LED with a different color that solves an old problem is an #innovation @Apple,0.4
@ETCanada @justinbieber also nice ad/promo for #iphone @apple   http://instagram.com/p/eOODXzgvpq/,0.4
Impressive talk w/ Steve at @Clusocluso's office about @Apple's latest announcements http://instagram.com/p/eKA4GsJKil/,0.4
Match made in heaven @Burberry  and @apple #Digitallyperfect #fashion meets #Tech For Their Next Trick.... pic.twitter.com/G16DMiMDT9,0.4
"Why @Apple is setting the right price with the #iPhone5C, to eliminate grey market inefficiencies. $AAPL - http://wp.me/pEkSv-7F",0.4
I want iOS 7 already! @apple ??,0.4
@Apple will twerk for a macbook,0.4
"@Apple 's Key To #Innovation: Iterations, Not Just Breakthroughs http://buff.ly/1dZBmbp",0.4
@JMLColley @Apple thanks for taking it in the right spirit !!!! ??,0.4
I wish! RT @TheEspinAlien GIVE ME THIS .@apple pic.twitter.com/yArBR8M7fB,0.4
@apple @twitter @ibm Happy Programmers' Day folks!,0.4
@iBrooklynB @Apple iPhone 5s in gold. You still playing for qpr,0.4
Bueno Asi Como Cuando Apple Saca Iphones Mas Baratos .... Bueno Asi !! @apple #Iphone5c pic.twitter.com/LoT9CY2ULV,0.4
FOLLOW @APPLE NOW,0.4
@highlyHIGHtori @Apple summin like that... I just be chillin tho,0.4
@apple #AppleFreak,0.4
FOLLOW @APPLE NOW,0.4
@apple i demand you give me an iphone,0.4
@Naturally_M33H @Apple----wow all this morning,0.4
"@Apple has announced the iPhone 5S, iPhone 5C, iOS 7 release date! Thoughts? #iPhone",0.4
@apple my dad won't buy me the iPhone 5s help,0.4
@7evenStarz @Apple Dude the 64 bit processor will be faster on the native OS even without the ram. This is a stepping stone to 64 bit mobile,0.4
Pretty sure if I could have any voice in the world it would be @apple's own #JonyIve,0.4
#iPhone5c #boutthatlife @Apple,0.4
@iahhc @mcmillen1 @OITHelpDesk @cmb1974 What is your favorite new @Apple #iPhone5C color? Mine is #Pink #ApplePicking @Sprint,0.4
A3) yes. @Samsung and @Apple are volleying with quicker and quicker devices. Helping to raise all of mobile's speed/UX #mobilebiz,0.4
Ringrazio Gabriele e l'assistenza @apple GRANDI!,0.4
@MissPhilly2013 @Apple should have waited for 5S. They come in cute colors now!,0.4
#iOS7 is actually more exciting than the actual new hardware from @Apple so either way we are all getting new iPhones.,0.4
@7evenStarz @Apple it is paving the way to 64 bit mobile future. The S model is the perfect time to make this transition.,0.4
"Crazy about @Apple iPhone 5s in #India. Use #eBayCheck @eBayIndia. R.I.P India Rupee, welcome #eBayCheck.",0.4
"Top #business #apps for @Apple's iPhone, iPad. What are your favs? #mobile - http://ow.ly/oFQgC",0.2
What @Om Malik likes and doesn't like about the new @Apple iPhones http://buff.ly/1eGmopu,0.2
#iBeacons may be #iOS 7's most interesting hidden feature @apple #iPhone http://fb.me/1kLk3lVN6,0.2
congrats on the shiny new technologically advanced iPhones @apple BUT WHEN WILL YOU LET ME OPT OUT OF GROUP TEXTS YOU'RE KILLIN ME,0.2
@keeeruh luckily the gems @apple are fixing it for freeee! ??,0.2
@stephenclark @Apple Wasn't that absolutely darling!,0.2
@iBrooklynB @Apple Green:),0.2
WOW that's so raven @apple http://t.imehop.com/14Pf3gc,0.2
#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune,0.2
@EllieDash haha #parentoftheyear @apple,0.2
"Why does @windowsphone and @Android constantly try to compete with @apple it's levels to this, and y'all just not there.",0.2
"I have the same @Apple iPhone consumer feeling launch as the market - great phone, too expensive!",0.2
@momentsfade @Apple LMAO!  That is too darn funny!,0.2
@DarrenSproat @nokia @Apple don't forget it's #innovation,0.2
Dear @Apple: Vladimir Putin says he likes the new iPhone 5c but wishes it came in red+black #VladSays,0.2
I want iOS7 now please @apple,0.2
@apple get on it,0.2
.@c7five asked Siri an important question. http://j.mp/19L1cLj  At least @Apple was honest.,0.2
"Topics: Highlights for @Apple's iPhone 5s, Putin's U.S. PR firm, @twitter's IPO and @Socialwally brings social media posts to HD screens.",0.2
"@IseeBlighty enjoy! ...  ""@johan_barnard: Hahaha some people just have too much time! @android vs @apple ... Again! pic.twitter.com/ym1A0Z6RzJ""",0.2
??????? @apple come back for new twit's,0.2
Loved the metallic look. Not a big fan of #FingerPrintScanning. already have a pastic backed touchscreen smartphone. @Apple are u listening?,0.2
@jonjonnyp @Apple Danny: yes. But anyone with a brian will. My Gazelle offer for 350 for my 5 is still good until the 22nd...,0.2
"Don't worry about your stock price @Apple, @Microsoft stock price shot up 7% just by firing 1 employee.",0.2
"now available in the Google Play app store, the @CreativeFutur app. coming to @Apple soon #UWScreative pic.twitter.com/bGFBBQiu0V",0.2
A #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune,0.2
"Apple authorized repair guy just told me to take my iPad someplace else since Apple ""Doesn't repair iPads."" Is that true @Apple?",0.2
@AccordingToNina @Apple @akemisue @ShastaAnne no case needed... I hope ;),0.2
Can @apple please come out with a black and gold iPhone!,0.2
"@natz0711 @mishi_za @SamsungSA @Apple the infrastructure is regulated and improved by government ,not them",0.2
"Dammit @Apple, take my money for a new  5S already #brokenhomebutton",0.2
@Apple I want the new iPhone update already!!!! UGH #Dying #Need #hurryup!!!!!,0.2
@JohnathonV @Apple NEVER stop learning!!,0.2
"Rivals turn to @Twitter as @Apple announces new #iPhones, http://ow.ly/oMrmN",0.2
@iBrooklynB @Apple Iphone 5s white/silver,0.2
.@Apple made the first mass-market color digital camera. #TakenToOz Fun article from @Mashable http://on.mash.to/1bQ5Lp3,0.2
@jenniebond1 @Apple excellent glad to hear you have fully functioning gadgets.,0.2
How can you people believe in a P/E ratio of greater than 22 for @twitter when @apple is around 10 #valuation #startups #IPO,0.2
Dear @apple please give me an iPhone 7 so that I can laugh at all the peasants with their 5's.,0.2
It's dumb to diss @apple #touchid until developers have a chance to develop on it. Same as when the orig iPhone came out b4 the AppStore,0.2
#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune #IPOD GENERATION,0.2
#eltonjohn #itunesfestival @apple unreal to watch live via appletv straight to HD TV.,0.2
Guess who has Champagne color as well #iphone5s #iphone5c #tools #homeimprovement #homeowners #home @Apple http://ow.ly/i/38y2B,0.2
C #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune,0.2
"Darnit lol ""@Don_1ZA: @mishi_za @natz0711 @SamsungSA perfect time to move to @Apple they don't seem to care about you""",0.2
"Progressive @Apple Fans, Prepare to Support the Koch Brothers! http://ow.ly/oPEAX  #p2 #1u #uniteblue #ctl #libcrib #ows",0.2
"@Apple - iOS device is in motion, then iMessage sender text bubbles are red. #simple",0.2
"Apple announces iPhone 5S, iPhone 5C, iOS 7 release date! Thoughts? undefined   @apple @ShopBreaMall",0.2
@7evenStarz @Apple so Mikey tell us how you really feel ;-),0.2
"Next @apple idea. NFC on iPods. ""Man you gotta hear this song. ""Taps ipods ""woe this song is great"" #boomheadshot",0.2
@applenews @apple What if you guys Create an #iShoes5S that would be something #iphone #mac #apple #applenews #appleevent,0.2
Thanks 4 this @sharpmagazine: Fingerprint recognition? iOS7? Everything You Need to Know About @Apple's New #iPhone: http://bit.ly/14MbzLm,0.2
I'm interested to have a look at all new #Lumia by @Apple  cc: @nokia @potasiyam @thehoneymad @isfarahmad,0.2
"dear @apple, please bring back the option of matte instead of glossy for MacBookPro screens. and bring back the 17"" while you're at it.",0.2
@TehGreenMC @Ghostt_Gaming @Microsoft @google @Apple @anyone well apparently anyone lives in London,0.2
@Apple #iPhone5S VS. Apple #iPhone5 Epic Battle! - @GeekHelpingHand http://buff.ly/187kJCd,0.2
@apple Some police dept in Florida could use some #AppleCare assistance. #ZIMMERMAN,0.2
@apple what's going on with you're store.. Gonna announce a new MacBook Pro?? Please #excited #wantapple #impatient,0.2
@apple - please send @BoydScot and iPhone rush delivery so I can snap chat him. Kthanks ??????,0.2
Aiming at high end with #iPhones is classic @Apple http://disq.us/8f4kw3,0.2
@wayneshurts @Apple @appletweets Wayne that's awesome ????,0.2
Why hasn't @Apple come out with a pie or a crisp yet? #piephone,0.2
"if you ask me, @apple should be the phone company, and connect you with whoever is providing the best coverage for wherever you are. DONE.",0.2
@thepartycow @Motorola @twitter @Apple @adambain I believe #winthemoment is the correct term? ;),0.2
LOL. RT @GCYC: @brenberryblast If my phone can half echrofon half whatsapp I sure reply. This is good feedback @apple should look into this.,0.2
"So many tech companies (@Apple, @Cisco, @SalesForce, and @Oracle) match employee donations - http://ow.ly/oBK5i",0.2
{#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO  @apple @itune},0.2
A #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune,0.2
The only thing I'm asking from @Apple is a waterproof iPhone.,0.2
"Dear @Apple, in your next iOS update, please make the male Siri voice sound like JARVIS from #IronMan.    Sincerely,   Everyone.",0.2
"Hey @apple @TimCookAppleCEO, I don't mean no harm, but next update, can I get some brown ppl face emoticons pls? ?????????????????????? Thx",0.2
"""The axis today is not conservative vs liberal. It is constructive vs destructive.""  #quote #qotd #wordsofwisdom #wow #SteveJobs @apple",0.2
Shiny new @Apple phone! If you're into that -> RT @sprint: iPhone 5s is coming to Sprint on September 20th. http://bit.ly/1aHyzmO,0.2
I'd be surprised if @Apple doesn't release a future version of the the iPad Mini in the pastel colours of the iPhone 5C. cc: @pschiller,0.2
"@windowsphone thirty-two bit has NO ""S"" but the @apple Sixty-four bit DOES. And so does SLAMMED",0.2
"Hey @apple I got an idea for the new iPhones, why not a refillable lighter fluid compartment, why let bic and zippos have all the fun?",0.2
Live from Apple's Town Hall. Apple 2.0 - Covering the business that Steve Jobs built  http://pb2.co/8ppx5  @cnnmoney @apple #iphone #iso7,0.2
@tomlinshortcake @Apple my phone does that too!,0.2
Wij wensen onze @SoMeMonteur veel plezier en nieuwsgierigheid in #NYC !! Bezoekje @apple store - will be fun!!,0.2
"@laurenjessa @Apple @bubblemania @lxforever working on it, already #level6",0.2
Just left the @apple store put @TheMIXXRadio on every App Store and safari page I could. @GiniaNightly @The_Hott_Spot @TheMixxHangout,0.2
"""@highsnobiety: Have you pre-ordered your @Apple #iphone5c today... http://bit.ly/1eARpLz  pic.twitter.com/PoEGS09TRb""@AlifBladz",0.2
Bueno Asi Como Cuando Apple Saca Iphones Mas Baratos .... Bueno Asi !! @apple #Iphone5c pic.twitter.com/xS8q9YkLAZ,0.2
"I'm at @Apple Store, Partridge Creek (Clinton Township, MI) http://4sq.com/17yLume",0.2
5C ne kanka ya hangisini alcagimizi sasirdik @apple,0.2
Team ios what's up I'm back @OyinCanSoda @DarthDream @apple,0.2
@iBrooklynB @Apple you will be be happier with a white/silver one. its easier to match yer clothes ;D green might be out of fashion soon..,0.2
Thanks @apple 5% warning now in iOS 7 lol. pic.twitter.com/DPC2fg8JDV,0.2
@apple A game called @fluzzity is making a feature called iFluzz.The feature will have a complete copy of the iPhone. pic.twitter.com/00dDsO3i0O,0.2
"""@Fact: Like fingerprints, everyone's tongue print is different.""    Ayo @Apple",0.2
"OS X Mavericks, AirPlay from iOS devices to Macs. # MakeItHappen @Apple",0.2
Sysco @Apple HQ. Great visit abt leading edge Apps on best devices to help our Sysco OpCos & Customers @appletweets pic.twitter.com/OvTW9D1vaJ,0.2
Wassup with the wassup @Apple,0.2
@apple hurry up and release iOS 7 I got numbers I need to block...like now,0.2
"@realexpayments @TalkingPayments Hey, .@apple did it with the iPhone ;) #plastic",0.2
"@LifeInLoFiBlog @CeciliaLuis @Hipstamatic & @Oggl iOS7 Updates are being sent to @Apple this week, hopefully will be ready for launch",0.2
"@The_1nd_Only365 @Apple it's coming on the 18th, they announced that yesterday lol",0.2
@Nava_520 @Apple you can lol,0.2
Genius Idea.  Who is going to get on this? @nokia @microsoft @motorola @apple @google http://bit.ly/16lfd2s  #smartphone,0.2
many folks wish @Apple also had an engineering office here. @WSJ Seattle Is a Great Place to Start a Business http://on.wsj.com/186Mzi1  #ohwell,0.2
@filsfan @Apple @GiniaNightly @The_Hott_Spot @TheMixxHangout awesome! Thanks man,0.2
The @uksga #CatsCab app is now available on @apple.  Download & use it now @universityofky students!!,0.2
"I think you right ""@Don_1ZA: @mishi_za @natz0711 @SamsungSA perfect time to move to @Apple they don't seem to care about you""",0.2
"A big departure for @Apple: a low-cost, simpler iPhone version to compete with @Android & expand market. http://ow.ly/oMtd3  #biz #tech",0.2
@frMoisesfr @Apple los nuevos iphone van a ser muy baratos no ya te lo dije Apple no es lo que era,0.2
"Some smart person grabbed @apple, must be asking for millions.",0.2
@frickfuentes that would be perfect omg ?? get on it @apple @jesus @god @DerekSanders,0.2
@LanceUlanoff Got a great facial expression of you wile watching the @apple special even release video at 65min 8 sec,0.2
"Is io7 from @apple provided as a free piece of upgrade software from Apple, they say it's better than an upgrade?",0.2
Are you a 5s or 5c kind of person? For me it's def gonna be a 5s! #Sept20 @Apple #TeamiPhone,0.2
{#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO  @apple @itune},0.2
This better be worth it @apple,0.2
