"male","race","age","state","time.served","max.sentence","multiple.offenses","crime","violator"
0,1,28,"3",0.9,12,1,"1",0
1,1,45,"3",3.9,2,1,"4",0
1,2,49.3,"3",3.7,6,1,"1",1
1,2,27.2,"3",5.1,6,1,"1",0
1,1,23,"3",2.9,12,1,"2",0
0,2,26.4,"3",5.1,6,1,"1",0
0,2,23,"3",4.1,8,0,"2",0
1,2,21.9,"3",1.7,11,1,"2",0
1,2,21.2,"3",1.9,12,1,"1",0
0,1,40.3,"3",5,6,1,"3",0
0,1,25.3,"3",6,6,1,"2",1
1,1,25.8,"3",5.7,14,1,"1",1
1,2,23.6,"3",1.6,9,1,"1",1
1,2,23.3,"3",0.3,8,1,"2",1
1,2,21.7,"3",1.7,18,1,"2",1
1,1,23,"3",1.1,18,1,"3",0
1,2,24.3,"3",1.1,12,0,"2",0
0,2,30.8,"3",5.6,12,0,"2",1
1,2,19.9,"3",1.4,3,1,"3",1
1,2,22.5,"3",6,12,0,"1",0
1,2,20.2,"3",1.7,6,1,"3",1
1,2,20.3,"3",5.2,12,1,"3",0
1,2,42.1,"3",0.1,18,1,"3",1
0,2,43.2,"3",5.8,12,1,"2",0
1,1,31,"3",4.9,5,0,"2",1
1,2,43.3,"3",5.6,9,0,"3",0
1,2,28.4,"3",2.2,12,1,"1",1
1,2,20.3,"3",1.4,12,1,"1",1
0,2,21.2,"3",5.8,8,0,"2",0
0,1,25.7,"3",4,18,0,"1",0
1,1,31.4,"3",1.9,12,1,"1",1
1,1,30,"3",4.5,9,0,"3",0
1,2,21.6,"3",4,8,1,"3",1
1,1,20.7,"3",2.7,12,0,"1",0
1,1,20,"3",3.1,6,0,"1",0
0,2,22.8,"3",5.9,12,0,"1",1
1,2,55,"3",5.8,8,0,"1",0
1,2,31.1,"3",4.4,12,0,"1",0
1,1,53.5,"3",4.7,9,0,"2",0
0,1,51.1,"3",2,2,0,"4",0
1,2,18.4,"3",4,8,0,"1",0
1,1,21.2,"3",1.3,1,0,"4",0
1,1,20,"3",2,2,0,"1",0
1,2,25.5,"3",1.5,12,0,"1",0
0,2,34.1,"3",2.7,12,0,"3",1
1,1,35.8,"3",2.7,15,0,"1",0
0,1,28.3,"3",4,4,0,"3",0
1,1,45,"3",5,6,0,"1",1
1,1,47.5,"1",4.5,18,0,"1",0
1,1,54.4,"1",4.7,18,0,"1",0
1,2,41.7,"1",4,12,0,"3",0
1,2,35.1,"1",3.4,12,0,"3",0
1,1,39.9,"1",4,12,0,"1",0
1,1,31.3,"1",4.9,12,0,"3",0
1,1,23.6,"1",4.2,12,1,"1",0
1,1,36.2,"1",4.8,12,0,"1",0
1,1,30.7,"1",2.2,12,0,"3",0
0,2,23.2,"1",2.9,12,0,"3",0
1,1,35.6,"1",2.4,12,0,"1",0
1,1,28.8,"1",3.2,12,0,"4",1
0,1,51.8,"1",6,12,0,"1",0
1,2,48.5,"1",3.7,12,0,"1",1
0,1,44.8,"1",5.2,12,1,"2",0
1,2,26,"1",5.2,18,0,"1",1
1,2,51.8,"1",6,18,0,"1",0
1,1,25.9,"1",5.6,12,1,"1",0
0,1,41.2,"1",6,12,1,"3",0
1,1,34.2,"1",6,12,1,"3",0
1,2,43.3,"1",5.8,11,0,"1",0
1,1,19.6,"1",5.5,12,0,"1",0
1,1,48.4,"1",6,12,1,"1",1
1,1,39.8,"1",5.3,12,0,"3",0
1,1,45.1,"1",5.2,12,0,"4",0
1,1,63.4,"1",4,6,1,"1",0
1,1,25.3,"1",6,12,0,"4",0
0,1,23.2,"1",5.3,9,0,"1",0
1,1,36.7,"1",5.8,12,0,"1",0
0,1,20.9,"1",5.3,12,1,"1",0
1,1,28.9,"1",5.8,12,0,"1",0
0,1,34.7,"1",3.9,6,0,"3",0
1,1,22.6,"1",5.5,12,1,"3",0
1,1,20.7,"1",6,12,1,"1",0
1,1,19.4,"1",3.8,4,0,"1",0
0,1,33.3,"1",5.1,13,0,"1",1
1,1,45,"1",0.7,13,0,"2",1
1,1,31,"1",4.9,12,0,"3",0
1,1,54.9,"1",3.1,12,0,"1",0
1,1,25.7,"1",4.2,8,0,"1",0
1,1,37.8,"1",4.6,18,0,"4",0
1,1,19.1,"1",4.5,18,0,"3",0
1,1,61.4,"1",4.3,18,0,"4",0
1,1,25.1,"1",4,18,0,"2",0
1,1,21,"1",4.5,18,0,"3",0
1,1,24.2,"1",5.4,18,0,"4",0
1,1,59.4,"1",3.1,12,0,"4",0
1,1,56.4,"1",3,12,0,"4",0
1,1,53,"1",3,18,0,"4",0
1,1,54.8,"1",2.9,9,0,"4",0
0,1,52.1,"1",4.8,18,0,"4",0
0,1,45,"1",2.9,12,0,"4",0
1,1,47.7,"1",3.1,18,0,"4",0
0,1,42,"1",2.9,12,0,"4",0
1,1,20.5,"1",3,12,0,"1",0
1,1,19.4,"1",4.5,18,1,"1",0
1,1,33.9,"1",4.4,18,0,"4",0
1,1,26.5,"1",3.7,18,0,"4",0
1,1,21.9,"1",3,12,0,"3",0
1,1,58.5,"1",5.1,15,0,"2",0
1,1,53.9,"1",4.2,18,0,"4",0
0,1,53,"1",2.7,12,0,"4",0
1,1,51.8,"1",4.6,18,0,"4",0
1,1,43.5,"1",3,12,0,"3",0
1,1,26.9,"1",3,12,0,"4",0
1,1,42.6,"1",4.6,18,0,"4",0
1,1,25.8,"1",4.4,18,0,"1",0
1,1,24,"1",3,18,0,"4",0
1,1,50.9,"1",4.4,18,0,"4",0
0,1,28.8,"1",4.5,18,0,"4",0
0,1,35.6,"1",4.4,18,0,"4",0
1,1,44.6,"1",4.4,18,0,"4",0
0,2,22.5,"4",4.6,15,1,"1",0
1,1,36.1,"4",4.9,14,1,"1",0
1,1,44.9,"4",5.3,12,1,"1",0
0,2,31.2,"4",2.9,12,0,"3",0
0,1,30.3,"4",4.4,15,1,"1",0
1,1,43,"4",3,12,0,"1",0
1,1,44,"4",3.7,14,1,"1",0
0,2,36.2,"4",3.1,13,1,"1",0
1,1,25.6,"4",3.5,12,0,"1",0
1,1,33.2,"4",3.8,15,1,"1",0
1,2,34.9,"4",4.5,15,0,"2",0
1,2,43.8,"4",5.5,18,0,"2",0
1,1,36.1,"4",4.4,15,1,"1",0
1,1,55.7,"4",4.6,15,1,"1",0
0,2,22,"4",5.9,18,1,"2",0
1,2,20.2,"4",3.2,14,1,"1",0
1,1,24.2,"4",5.2,17,1,"1",0
1,2,19.7,"4",2.2,13,1,"1",0
1,1,46.3,"4",5.9,17,0,"3",0
1,2,29.6,"4",5.2,17,1,"3",0
0,2,30,"4",5.5,16,1,"2",0
1,2,34.6,"4",5.1,15,1,"2",0
1,1,45.5,"4",3.8,16,1,"4",0
1,2,27.5,"4",4.8,16,0,"4",0
1,1,41.2,"4",3,13,1,"1",0
1,2,23.2,"4",5.3,13,1,"1",0
1,1,36.3,"4",5.5,18,0,"3",0
1,2,44.3,"4",4.4,12,1,"2",0
1,1,53.8,"4",3.6,14,1,"1",0
0,2,42.3,"4",3.3,12,1,"2",0
1,2,47.8,"4",3.3,13,1,"2",0
1,1,23.1,"4",4.4,16,1,"4",0
1,2,42.5,"4",5.7,18,1,"4",0
1,1,19.6,"4",4.4,13,1,"1",0
1,1,20.8,"4",3.4,13,1,"2",0
1,2,32.2,"4",3.1,13,1,"2",0
1,2,25.7,"4",3.1,13,1,"3",0
1,2,31.7,"4",3,13,1,"4",0
0,2,39.7,"4",5.5,13,1,"1",0
1,2,34.4,"4",5.4,17,1,"2",0
0,1,31.8,"4",4,13,1,"1",0
1,2,36.7,"4",3.4,14,1,"3",0
0,2,39.5,"4",5.6,15,0,"1",0
1,1,20.7,"4",3.9,15,1,"1",0
1,2,29.2,"4",3,13,1,"4",0
1,1,46,"4",3.2,12,1,"4",0
1,2,38,"4",3.7,15,0,"2",0
1,2,38.1,"4",3,12,1,"3",0
1,2,40.8,"4",3,12,0,"4",0
1,1,33.8,"4",4.1,15,1,"2",0
1,2,52.6,"4",3.2,12,1,"2",0
0,1,38.6,"4",5.3,14,1,"4",0
1,2,22.1,"4",3.8,15,0,"1",0
0,2,46,"4",4.5,15,1,"1",0
1,2,36.5,"4",4.7,13,0,"1",0
0,2,46.9,"4",4.1,16,0,"2",0
0,1,25.3,"4",3.2,12,1,"1",0
1,1,28.7,"4",2.9,12,0,"4",0
1,2,24.5,"4",4.3,16,0,"1",0
0,2,40.9,"4",3.2,12,1,"2",0
1,2,27.1,"4",5.2,13,1,"1",0
0,2,36.6,"4",3.7,15,1,"1",0
1,2,28.5,"4",4.5,18,1,"4",1
1,2,43.5,"4",3.7,15,1,"1",0
0,2,24.7,"4",4.8,15,0,"1",0
1,1,18.5,"4",3,13,1,"1",0
1,2,32.9,"4",3,12,1,"1",0
1,2,36.5,"4",3,12,1,"2",0
1,2,45.6,"4",4.5,16,1,"1",0
1,2,41.9,"4",4.4,15,0,"1",0
0,2,35,"4",4.6,14,1,"1",0
1,2,19.6,"4",4.1,13,1,"4",0
0,2,28.7,"4",5.4,18,0,"2",0
1,2,33.4,"4",3,12,1,"3",0
1,2,38.4,"4",6,14,1,"2",0
1,1,20.4,"4",2,12,1,"3",0
0,1,43.4,"4",4.1,12,1,"2",0
1,2,34.5,"4",4.2,12,1,"1",0
1,2,51.7,"4",4.2,12,1,"1",0
1,1,23.7,"4",3.1,14,1,"4",0
0,1,51.1,"4",3.1,13,1,"4",0
1,1,26.5,"4",5.9,18,0,"1",0
1,2,46.4,"4",4,13,1,"4",0
1,2,47.5,"4",5.4,18,0,"1",0
1,1,27.9,"4",4.3,14,1,"1",0
1,2,23.8,"4",3.7,15,1,"1",0
0,2,50.2,"4",6,18,0,"3",0
1,2,34.3,"4",3,13,1,"2",0
1,1,40.1,"4",3.7,14,1,"1",0
1,1,44.9,"4",3,12,1,"2",0
1,2,32.9,"4",5,16,1,"4",0
1,1,21.4,"4",3.1,14,1,"1",0
1,1,45.4,"4",3.6,15,1,"4",0
0,1,21.7,"4",4.1,12,0,"2",0
1,1,48.8,"4",4.6,16,1,"2",0
1,2,35.4,"4",3,13,1,"2",0
1,2,65.1,"4",5.2,18,0,"1",0
0,2,37.5,"4",3.3,12,0,"3",0
1,1,59.4,"4",3.6,14,1,"4",0
1,2,33.5,"4",3.9,14,0,"2",0
0,1,39.8,"4",3,13,1,"1",0
1,2,23.6,"4",4.9,16,0,"1",0
1,2,26.8,"4",3.8,15,1,"1",0
1,1,46.2,"4",5.6,18,1,"1",0
1,2,19.7,"4",3,14,1,"1",0
1,2,19.6,"4",3,13,1,"1",0
0,2,39.2,"4",3,13,1,"2",0
1,2,20.6,"4",4.8,15,1,"3",0
1,2,32.1,"4",3.8,14,0,"3",0
1,2,67,"4",4.6,14,1,"1",0
1,2,22,"4",3.8,14,1,"4",0
1,1,41.6,"4",5.1,17,1,"2",0
1,2,47,"4",5.6,18,0,"1",0
0,1,49,"4",4.9,15,1,"2",0
0,1,35.3,"4",3,13,1,"4",0
1,1,50.1,"4",3.1,12,1,"4",0
1,2,32.1,"4",3,12,1,"1",0
1,1,42.5,"4",3,12,1,"1",0
1,2,25,"4",3.6,15,1,"1",0
0,1,42.8,"4",5.9,17,1,"2",0
1,1,21.1,"4",4.1,13,1,"1",0
1,1,44.3,"4",5.9,18,0,"3",0
1,1,30.8,"4",4.3,13,1,"1",0
1,1,21.9,"4",3.9,14,1,"2",0
1,2,29.5,"4",4.4,15,1,"1",0
1,1,24.5,"4",4,14,1,"4",0
1,2,24.9,"4",3,12,1,"2",0
1,1,27,"4",5.1,17,1,"1",0
1,1,19.4,"4",3.7,13,1,"1",0
0,1,37.5,"4",3.2,14,1,"4",0
1,1,25.2,"4",4.7,13,1,"4",0
1,1,51.3,"4",4,15,1,"2",0
1,1,54.4,"4",5.1,18,0,"4",0
0,1,44.1,"4",5.5,15,1,"3",0
1,1,31,"4",3,12,0,"1",0
1,2,29.2,"4",3.2,14,1,"1",0
1,2,43.4,"4",2,12,0,"1",0
1,2,42.5,"4",4.2,15,0,"1",0
0,2,32.8,"4",4.6,15,0,"1",0
1,1,22.9,"4",5.1,16,1,"4",0
1,2,31.8,"4",4.2,15,1,"1",0
1,1,29.7,"4",5.3,13,1,"1",0
1,1,18.7,"4",5.5,17,1,"3",0
1,1,18.8,"4",4.7,13,1,"2",0
1,2,27.8,"4",4.1,13,1,"4",0
1,2,32.9,"4",4.1,15,1,"1",0
1,2,23.4,"4",4.4,14,1,"1",0
0,1,35.8,"4",3.9,12,0,"3",0
1,1,19.1,"4",5.1,18,1,"2",0
1,1,20.6,"4",4.3,13,1,"2",0
1,2,51,"4",3,13,0,"1",0
1,2,34.9,"4",5.1,13,1,"2",0
0,2,48.7,"4",4,15,0,"1",0
1,2,24.4,"4",4.3,15,1,"1",0
1,2,41.4,"4",3.1,13,0,"2",0
1,2,36.8,"4",3.3,13,0,"2",0
1,2,27.8,"4",3.3,12,0,"3",0
1,2,28.1,"4",3,12,1,"4",0
1,1,23,"4",5.1,18,1,"1",0
1,1,27.2,"4",4.7,14,1,"4",0
1,1,47.8,"4",5.3,18,1,"2",0
1,2,49,"4",4.9,16,0,"1",0
1,1,25.6,"4",3.6,15,1,"1",0
1,2,29.9,"4",5.8,18,1,"2",0
1,2,20,"4",4.1,13,1,"1",0
1,1,25.6,"4",3,13,1,"4",0
1,2,34.3,"4",4.6,13,1,"4",0
1,2,25,"4",4.3,15,1,"2",0
1,2,32.9,"4",3,12,0,"3",0
1,2,23.7,"4",4.5,14,1,"1",0
1,2,28.5,"4",4.2,13,1,"1",0
0,2,40.1,"4",4.8,14,1,"1",0
1,1,40.4,"4",2.9,12,0,"1",0
0,2,38.5,"4",3,12,1,"1",0
1,1,22.6,"4",3.3,12,1,"2",0
1,1,32.4,"4",3,12,1,"1",0
1,1,24.8,"4",4.9,15,1,"1",0
1,2,38.2,"4",4.7,15,1,"3",0
1,2,29.7,"4",4.1,14,1,"1",0
0,2,44.7,"4",3,13,1,"1",0
1,2,28.9,"4",3.2,13,1,"3",0
0,2,28.2,"4",3.4,14,1,"2",0
1,2,44.1,"4",4.6,13,1,"1",0
1,1,23.2,"4",4.4,15,1,"1",0
1,2,29.6,"4",3,12,0,"1",0
1,2,23.4,"4",4.7,17,1,"4",0
1,1,28.8,"4",3.6,13,1,"4",0
1,1,43.8,"4",4.2,12,1,"3",0
1,1,26.8,"4",3.7,15,0,"4",0
1,1,23.3,"4",5.6,18,1,"1",0
1,1,19.2,"4",5.5,18,1,"2",0
1,2,19.9,"4",5.6,18,1,"1",0
1,2,36,"4",3,13,0,"4",0
1,2,21.4,"4",3.7,15,1,"1",0
1,2,40.3,"4",4.4,15,0,"1",0
1,2,45.1,"4",5.3,12,1,"1",0
1,1,38.6,"4",2.2,14,1,"3",0
1,2,50.1,"4",3.9,15,1,"4",0
1,2,20.2,"4",5.5,13,1,"3",0
1,2,23.1,"4",6,12,1,"4",0
1,1,19,"4",3,12,1,"1",0
1,2,42.4,"4",5.5,17,1,"4",0
1,2,43.2,"4",5.4,14,1,"1",0
1,1,40.3,"4",4.2,13,1,"3",0
1,1,35.9,"4",5.2,13,1,"1",0
1,2,23.6,"4",4.7,15,1,"2",0
0,2,38,"4",3.6,14,1,"4",0
0,2,32.4,"4",3.8,14,1,"3",0
1,2,27.8,"4",3.9,13,1,"4",0
1,1,44.8,"4",4.4,14,1,"4",0
1,1,37.6,"4",3.3,14,1,"1",0
1,1,43,"4",4.2,13,1,"2",0
1,1,19.4,"4",3.1,14,1,"2",0
1,2,40.9,"4",3,12,0,"2",0
0,2,46.1,"4",4.5,13,1,"1",0
1,1,46.6,"4",5.7,12,1,"4",0
1,2,30.4,"4",3,12,0,"3",0
1,1,22.8,"4",3.5,13,1,"1",0
1,1,40,"4",3.2,15,0,"1",0
1,2,41.3,"4",3,13,1,"1",0
1,2,25.1,"4",5.5,14,1,"4",0
1,1,31.1,"4",3.3,15,1,"1",0
1,2,31.8,"4",3.9,12,0,"2",0
1,1,39.7,"4",5.6,18,1,"1",1
1,1,43.1,"4",3,12,1,"1",0
1,1,38.4,"4",4.3,14,0,"3",0
1,1,23.6,"4",4,13,1,"4",0
1,2,40.3,"4",5.7,17,1,"2",0
1,2,42,"4",4.1,14,0,"2",0
1,2,42.4,"4",5.1,18,0,"2",0
1,2,32.1,"4",3.3,12,0,"3",0
1,2,33.9,"4",4.1,12,1,"1",0
1,1,28,"4",3.4,12,1,"1",0
1,2,25.6,"4",4.5,14,1,"1",0
0,2,32,"4",3.7,15,1,"3",0
1,2,20.5,"4",5.5,18,1,"2",0
1,2,33.6,"4",5.2,18,0,"1",0
1,2,47.1,"4",4.4,14,1,"1",0
1,2,27.6,"4",3,13,1,"4",0
1,1,21.2,"4",3.7,14,1,"2",0
1,1,28.4,"4",4.2,12,1,"2",0
1,1,38.6,"4",3.5,14,1,"3",0
1,2,27.6,"4",3,12,0,"2",0
1,1,19.2,"4",3,12,1,"1",0
1,1,36.5,"4",5.5,18,0,"1",0
0,2,35.6,"4",3.6,12,1,"1",0
1,2,37.4,"4",5.4,17,1,"1",0
1,2,38.5,"4",4.9,10,1,"2",0
1,2,19.2,"4",4.4,15,1,"1",0
1,1,36.3,"4",5.6,16,1,"1",0
1,2,28.7,"4",4.2,14,1,"4",0
1,2,28.2,"4",3,12,1,"1",0
1,1,28.8,"4",3,12,1,"4",0
1,1,38,"4",3.6,13,1,"1",0
