"Internet.Use","Smartphone","Sex","Age","State","Region","Conservativeness","Info.On.Internet","Worry.About.Info","Privacy.Importance","Anonymity.Possible","Tried.Masking.Identity","Privacy.Laws.Effective"
1,1,"Male",52,"New Mexico","West",3,3,1,50,1,0,1
1,0,"Male",22,"New Mexico","West",2,3,1,94.4444444444444,0,1,0
1,0,"Female",80,"Missouri","Midwest",2,5,1,72.2222222222222,0,1,1
1,NA,"Female",68,"Mississippi","South",3,4,0,37.5,1,0,0
0,0,"Female",58,"Arizona","West",4,NA,NA,NA,NA,NA,1
1,0,"Male",53,"California","West",4,0,0,0,1,0,0
0,0,"Male",57,"California","West",3,NA,NA,NA,NA,NA,0
0,0,"Female",77,"Oregon","West",3,NA,NA,NA,NA,NA,NA
1,0,"Female",80,"Oregon","West",4,0,1,75,1,0,0
1,1,"Female",53,"Washington","West",3,5,1,100,0,0,0
1,0,"Female",55,"Oregon","West",4,6,1,100,0,1,0
1,1,"Male",64,"Ohio","Midwest",1,10,0,27.7777777777778,0,1,0
1,1,"Male",NA,"California","West",4,0,0,100,1,0,1
0,0,"Female",56,"Washington","West",2,NA,NA,NA,NA,NA,0
0,0,"Male",58,"Nevada","West",4,NA,NA,NA,NA,NA,0
1,1,"Male",48,"California","West",3,6,1,50,1,0,0
1,1,"Female",46,"Ohio","Midwest",4,1,0,12.5,0,0,1
0,0,"Male",67,"Rhode Island","Northeast",3,NA,NA,NA,NA,NA,NA
1,0,"Male",32,"North Carolina","South",2,3,0,50,1,0,1
1,1,"Female",62,"Pennsylvania","Northeast",2,7,0,55.5555555555556,0,0,0
1,1,"Female",61,"North Carolina","South",3,1,0,88.8888888888889,1,0,1
0,0,"Male",83,"Ohio","Midwest",3,NA,NA,NA,NA,NA,NA
1,0,"Male",28,"South Carolina","South",3,6,1,94.4444444444444,0,1,0
1,0,"Female",46,"Michigan","Midwest",4,4,0,50,0,0,0
0,0,"Female",68,"New York","Northeast",5,NA,NA,NA,NA,NA,1
0,0,"Male",73,"New York","Northeast",4,NA,NA,NA,NA,NA,1
0,0,"Female",77,"New York","Northeast",3,NA,NA,NA,NA,NA,0
0,0,"Female",78,"Pennsylvania","Northeast",3,NA,NA,NA,NA,NA,1
0,0,"Female",82,"Indiana","Midwest",3,NA,NA,NA,NA,NA,1
1,0,"Female",53,"Virginia","South",3,4,0,50,1,0,0
1,NA,"Female",46,"New York","Northeast",5,4,1,50,0,0,0
1,0,"Female",77,"Florida","South",3,4,1,50,1,0,0
1,0,"Female",66,"New Jersey","Northeast",3,3,1,83.3333333333333,0,1,0
0,0,"Female",90,"Michigan","Midwest",4,NA,NA,NA,NA,NA,NA
1,0,"Male",45,"New York","Northeast",4,3,0,44.4444444444444,1,0,0
1,0,"Female",71,"Massachusetts","Northeast",2,4,1,0,1,0,0
1,0,"Female",45,"Pennsylvania","Northeast",2,4,1,94.4444444444444,0,0,0
0,0,"Male",57,"New Jersey","Northeast",NA,NA,NA,NA,NA,NA,NA
0,0,"Female",53,"Virginia","South",5,NA,NA,NA,NA,NA,1
1,0,"Female",62,"Rhode Island","Northeast",2,4,1,94.4444444444444,0,0,0
1,0,"Female",65,"Virginia","South",5,6,1,94.4444444444444,1,0,0
1,1,"Female",40,"Kentucky","South",3,4,0,88.8888888888889,0,0,0
1,0,"Female",72,"Pennsylvania","Northeast",4,4,1,88.8888888888889,1,0,1
0,0,"Male",59,"Florida","South",4,NA,NA,NA,NA,NA,0
0,0,"Female",79,"New York","Northeast",4,NA,NA,NA,NA,NA,0
1,1,"Male",35,"South Carolina","South",3,4,0,83.3333333333333,1,0,0
1,0,"Female",83,"Virginia","South",3,2,0,NA,1,0,1
1,1,"Female",59,"New York","Northeast",4,4,0,88.8888888888889,0,0,0
0,0,"Female",71,"New Hampshire","Northeast",5,NA,NA,NA,NA,NA,0
0,0,"Female",72,"Michigan","Midwest",4,NA,NA,NA,NA,NA,0
1,1,"Male",42,"New York","Northeast",3,10,0,27.7777777777778,1,0,0
1,0,"Female",55,"Tennessee","South",NA,1,1,100,0,0,0
0,0,"Male",75,"Georgia","South",3,NA,NA,NA,NA,NA,1
0,0,"Male",81,"Missouri","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Female",58,"Maine","Northeast",4,4,0,100,0,1,0
1,0,"Female",43,"South Carolina","South",NA,4,0,85.7142857142857,0,0,0
0,0,"Female",77,"Illinois","Midwest",2,NA,NA,NA,NA,NA,0
0,0,"Female",74,"Illinois","Midwest",2,NA,NA,NA,NA,NA,0
0,0,"Male",86,"Pennsylvania","Northeast",3,NA,NA,NA,NA,NA,1
0,NA,"Female",NA,"West Virginia","South",NA,NA,NA,NA,NA,NA,0
0,1,"Female",58,"North Carolina","South",4,0,0,100,0,0,0
0,0,"Female",82,"Illinois","Midwest",1,NA,NA,NA,NA,NA,0
0,0,"Female",80,"Texas","South",5,NA,NA,NA,NA,NA,0
1,1,"Female",53,"Texas","South",4,5,1,88.8888888888889,0,1,0
1,0,"Male",59,"Tennessee","South",2,5,0,100,1,0,0
1,0,"Female",NA,"Georgia","South",3,0,1,100,0,0,1
1,1,"Male",62,"Virginia","South",3,2,0,87.5,1,0,0
0,0,"Female",59,"Ohio","Midwest",3,NA,NA,NA,NA,NA,0
0,0,"Female",77,"Indiana","Midwest",4,NA,NA,NA,NA,NA,NA
0,0,"Female",78,"Minnesota","Midwest",4,NA,NA,NA,NA,NA,NA
0,0,"Female",81,"New York","Northeast",2,NA,NA,NA,NA,NA,1
1,1,"Male",48,"Kentucky","South",3,7,1,43.75,0,1,1
1,1,"Male",67,"Pennsylvania","Northeast",4,4,0,100,0,0,0
1,1,"Female",59,"Maine","Northeast",3,6,0,16.6666666666667,0,0,0
1,NA,"Male",70,"Georgia","South",4,3,1,100,0,0,NA
0,0,"Male",73,"Illinois","Midwest",5,NA,NA,NA,NA,NA,0
1,0,"Male",42,"Indiana","Midwest",3,4,0,83.3333333333333,0,0,0
1,0,"Male",57,"Pennsylvania","Northeast",4,1,0,50,0,0,0
0,0,"Male",36,"Indiana","Midwest",5,NA,NA,NA,NA,NA,0
1,0,"Female",72,"Ohio","Midwest",4,3,0,68.75,1,0,0
1,1,"Female",67,"New York","Northeast",2,1,1,44.4444444444444,1,0,1
1,1,"Male",21,"Texas","South",2,2,1,55.5555555555556,1,1,0
0,0,"Male",61,"Texas","South",5,NA,NA,NA,NA,NA,NA
1,0,"Female",69,"Florida","South",4,4,0,85.7142857142857,0,0,0
0,0,"Female",80,"Kentucky","South",NA,NA,NA,NA,NA,NA,NA
0,0,"Male",60,"Missouri","Midwest",2,NA,NA,NA,NA,NA,0
1,1,"Male",82,"Illinois","Midwest",4,7,0,42.8571428571429,1,0,1
1,0,"Male",64,"Indiana","Midwest",3,0,0,100,1,0,0
0,0,"Female",76,"Georgia","South",4,NA,NA,NA,NA,NA,1
1,1,"Male",49,"Louisiana","South",4,5,1,100,0,0,0
1,0,"Male",65,"Texas","South",4,2,0,0,1,0,NA
1,0,"Female",73,"Missouri","Midwest",5,4,1,61.1111111111111,0,0,0
1,1,"Female",47,"Connecticut","Northeast",3,2,0,100,0,0,1
1,0,"Female",34,"Michigan","Midwest",2,5,1,55.5555555555556,1,0,0
1,0,"Female",69,"Ohio","Midwest",3,1,0,33.3333333333333,0,1,0
1,1,"Male",19,"New York","Northeast",3,1,1,94.4444444444444,0,0,1
1,0,"Female",56,"Iowa","Midwest",4,5,1,55.5555555555556,0,0,NA
0,0,"Female",65,"Louisiana","South",4,NA,NA,NA,NA,NA,NA
0,0,"Female",96,"Pennsylvania","Northeast",2,NA,NA,NA,NA,NA,NA
0,0,"Male",68,"Florida","South",3,NA,NA,NA,NA,NA,0
1,1,"Female",20,"Colorado","West",2,4,1,33.3333333333333,1,0,0
1,0,"Female",55,"Kentucky","South",NA,6,0,18.75,1,0,0
1,0,"Male",65,"Kentucky","South",NA,0,0,NA,0,0,0
0,NA,"Female",81,"Wisconsin","Midwest",NA,NA,NA,NA,NA,NA,NA
1,1,"Male",43,"New York","Northeast",2,7,1,94.4444444444444,1,0,1
1,1,"Male",44,"Georgia","South",2,2,1,100,0,0,0
1,1,"Male",60,"Maryland","South",3,3,0,50,0,0,0
1,0,"Male",52,"Pennsylvania","Northeast",2,1,NA,0,0,0,NA
1,0,"Female",45,"South Carolina","South",4,4,0,88.8888888888889,0,0,0
0,0,"Male",72,"Mississippi","South",5,NA,NA,NA,NA,NA,0
1,0,"Male",73,"Texas","South",2,5,1,100,0,0,0
1,0,"Male",62,"Pennsylvania","Northeast",1,0,0,22.2222222222222,1,0,1
1,0,"Female",NA,"Texas","South",3,1,0,61.1111111111111,0,0,0
1,0,"Male",45,"Ohio","Midwest",2,4,0,50,0,0,1
1,1,"Male",39,"Pennsylvania","Northeast",3,8,1,100,1,0,0
0,0,"Male",85,"Massachusetts","Northeast",3,NA,NA,NA,NA,NA,0
1,0,"Male",66,"Tennessee","South",4,1,1,0,0,0,0
1,1,"Male",62,"Montana","West",4,7,0,55.5555555555556,0,NA,0
1,1,"Female",35,"Delaware","South",2,4,0,66.6666666666667,1,1,0
1,0,"Female",58,"Florida","South",4,1,0,40,1,0,1
1,0,"Male",23,"Maryland","South",3,0,0,16.6666666666667,0,0,1
0,0,"Female",50,"Kentucky","South",4,NA,NA,NA,NA,NA,NA
1,1,"Female",40,"Maryland","South",3,4,1,100,1,0,0
1,0,"Female",69,"Florida","South",4,0,0,81.25,0,0,0
1,1,"Male",44,"New York","Northeast",2,9,1,44.4444444444444,0,0,0
1,1,"Female",57,"Maine","Northeast",4,0,1,100,0,0,0
1,1,"Male",41,"Colorado","West",4,1,1,100,0,0,0
1,0,"Male",73,"Virginia","South",4,0,0,94.4444444444444,0,0,0
1,0,"Female",40,"Arizona","West",3,5,0,33.3333333333333,0,0,0
1,NA,"Male",59,"Oregon","West",4,0,1,16.6666666666667,1,0,1
0,0,"Female",74,"Maryland","South",4,NA,NA,NA,NA,NA,0
1,1,"Female",23,"Connecticut","Northeast",2,6,1,77.7777777777778,0,0,0
1,0,"Female",54,"Pennsylvania","Northeast",3,8,1,77.7777777777778,0,0,0
1,1,"Female",55,"Kentucky","South",2,7,1,83.3333333333333,0,1,0
1,0,"Female",65,"Arizona","West",4,0,0,100,0,0,0
0,0,"Male",43,"Arizona","West",3,NA,NA,NA,NA,NA,1
0,0,"Female",79,"California","West",4,NA,NA,NA,NA,NA,0
1,0,"Male",52,"Wyoming","West",4,7,1,27.7777777777778,0,0,0
1,0,"Male",57,"California","West",2,5,1,50,1,0,0
1,0,"Male",44,"Oregon","West",2,5,1,100,1,0,0
0,0,"Male",81,"Illinois","Midwest",1,NA,NA,NA,NA,NA,0
1,1,"Male",60,"Wyoming","West",3,5,0,93.75,NA,0,NA
1,0,"Male",58,"California","West",1,3,0,87.5,1,0,1
0,0,"Female",78,"Illinois","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Male",68,"Montana","West",5,3,1,100,NA,0,0
1,1,"Male",50,"Arizona","West",4,6,0,44.4444444444444,0,0,1
1,0,"Male",66,"Nebraska","Midwest",3,7,0,25,1,0,0
1,1,"Male",35,"Tennessee","South",4,7,1,72.2222222222222,1,0,0
1,0,"Female",68,"Utah","West",4,0,0,75,0,0,0
1,0,"Female",57,"Washington","West",3,3,1,83.3333333333333,0,0,0
1,1,"Female",53,"Utah","West",4,3,0,50,0,0,1
0,0,"Female",78,"Iowa","Midwest",3,NA,NA,NA,NA,NA,NA
1,1,"Female",48,"California","West",4,8,1,94.4444444444444,1,1,0
0,0,"Female",94,"Wisconsin","Midwest",3,NA,NA,NA,NA,NA,0
1,1,"Female",66,"California","West",4,6,0,22.2222222222222,0,0,0
1,1,"Female",30,"California","West",3,8,1,44.4444444444444,0,0,0
1,0,"Female",57,"California","West",5,1,1,88.8888888888889,0,0,0
1,0,"Male",74,"Oregon","West",4,5,0,5.55555555555556,1,0,0
1,0,"Female",91,"Wisconsin","Midwest",4,2,0,66.6666666666667,0,0,NA
1,1,"Male",81,"California","West",2,5,1,50,0,0,0
1,1,"Female",28,"Missouri","Midwest",4,6,0,27.7777777777778,NA,1,0
1,1,"Male",53,"Washington","West",NA,4,1,100,NA,0,0
1,0,"Female",41,"California","West",2,4,1,100,1,0,0
1,1,"Male",67,"Nevada","West",3,5,0,55.5555555555556,0,0,1
0,0,"Male",76,"California","West",3,NA,NA,NA,NA,NA,0
1,1,"Male",33,"California","West",5,6,0,100,1,0,0
1,0,"Female",37,"Washington","West",3,2,1,62.5,0,0,NA
1,1,"Female",63,"Oregon","West",2,3,0,44.4444444444444,0,0,1
1,1,"Female",66,"California","West",4,7,1,94.4444444444444,1,0,1
1,1,"Female",69,"Idaho","West",3,1,0,16.6666666666667,1,0,NA
1,0,"Female",50,"California","West",4,5,1,94.4444444444444,1,0,0
1,0,"Male",64,"Oregon","West",5,3,0,72.2222222222222,0,0,0
1,1,"Female",26,"California","West",4,6,1,83.3333333333333,1,1,1
1,1,"Male",57,"California","West",3,8,1,62.5,0,0,1
0,NA,"Female",86,"Michigan","Midwest",4,NA,NA,NA,NA,NA,1
0,0,"Female",74,"Kentucky","South",5,NA,NA,NA,NA,NA,0
1,1,"Female",43,"Michigan","Midwest",3,8,1,100,0,0,1
0,0,"Female",61,"District of Columbia","South",4,NA,NA,NA,NA,NA,0
0,NA,"Female",65,"Florida","South",3,NA,NA,NA,NA,NA,1
0,0,"Female",79,"West Virginia","South",3,NA,NA,NA,NA,NA,0
1,0,"Female",55,"New York","Northeast",3,3,1,61.1111111111111,0,0,0
1,1,"Female",54,"Maine","Northeast",4,0,0,88.8888888888889,0,0,0
0,0,"Male",63,"Ohio","Midwest",4,NA,NA,NA,NA,NA,0
1,0,"Female",83,"New Jersey","Northeast",2,4,1,50,NA,0,0
1,0,"Female",77,"Pennsylvania","Northeast",3,0,0,81.25,NA,0,NA
1,1,"Female",54,"New York","Northeast",3,4,1,27.7777777777778,0,0,0
0,0,"Female",53,"West Virginia","South",4,NA,NA,NA,NA,NA,0
1,0,"Female",64,"New York","Northeast",3,0,0,87.5,1,0,0
1,1,"Female",53,"Ohio","Midwest",3,0,0,22.2222222222222,1,0,1
0,0,"Female",72,"Pennsylvania","Northeast",4,NA,NA,NA,NA,NA,0
0,0,"Female",88,"New Jersey","Northeast",5,NA,NA,NA,NA,NA,0
1,1,"Female",23,"Virginia","South",2,6,0,44.4444444444444,1,0,0
1,1,"Female",59,"Indiana","Midwest",4,7,1,94.4444444444444,0,1,0
1,1,"Female",64,"New York","Northeast",2,5,1,55.5555555555556,0,0,0
1,1,"Female",37,"Pennsylvania","Northeast",1,8,1,55.5555555555556,0,1,1
1,0,"Female",93,"North Carolina","South",5,3,1,44.4444444444444,0,0,NA
0,0,"Female",74,"West Virginia","South",4,NA,NA,NA,NA,NA,NA
1,1,"Male",47,"Florida","South",3,4,0,77.7777777777778,0,1,0
1,1,"Female",18,"New York","Northeast",3,6,0,61.1111111111111,0,0,1
0,0,"Female",58,"New York","Northeast",5,NA,NA,NA,NA,NA,NA
1,1,"Female",42,"Pennsylvania","Northeast",3,3,0,75,0,0,0
0,0,"Male",65,"South Carolina","South",3,NA,NA,NA,NA,NA,NA
1,1,"Male",21,"Michigan","Midwest",4,1,0,22.2222222222222,0,0,0
0,0,"Female",54,"Massachusetts","Northeast",1,NA,NA,NA,NA,NA,NA
1,0,"Male",80,"Florida","South",4,0,1,75,0,0,0
1,0,"Female",76,"Pennsylvania","Northeast",4,1,1,100,0,0,NA
1,0,"Male",30,"Texas","South",3,3,0,66.6666666666667,0,0,1
1,0,"Female",74,"Florida","South",1,3,0,11.1111111111111,0,0,0
0,0,"Male",82,"California","West",3,NA,NA,NA,NA,NA,1
1,1,"Female",72,"New Jersey","Northeast",3,5,0,68.75,1,0,0
1,1,"Male",48,"Michigan","Midwest",2,6,0,33.3333333333333,0,0,1
0,0,"Female",87,"Florida","South",1,NA,NA,NA,NA,NA,NA
1,0,"Female",55,"Arizona","West",2,2,1,0,0,0,1
0,0,"Male",66,"New Mexico","West",4,NA,NA,NA,NA,NA,0
1,0,"Male",62,"Iowa","Midwest",4,2,1,66.6666666666667,0,0,0
1,1,"Male",62,"Wyoming","West",4,1,0,100,0,0,0
1,1,"Male",71,"Texas","South",4,3,1,77.7777777777778,1,0,0
1,0,"Female",65,"Virginia","South",3,3,1,100,0,0,0
1,1,"Female",55,"Massachusetts","Northeast",3,7,0,37.5,0,0,1
1,0,"Female",50,"Illinois","Midwest",5,2,0,20,1,0,1
1,1,"Female",62,"Ohio","Midwest",3,4,1,100,0,1,0
0,NA,"Female",86,"Washington","West",4,NA,NA,NA,NA,NA,0
1,0,"Male",63,"California","West",3,7,1,88.8888888888889,0,0,0
