Balance,QualMiles,BonusMiles,BonusTrans,FlightMiles,FlightTrans,DaysSinceEnroll
211595,0,3250,8,0,0,7521
410795,0,73679,31,0,0,7514
72173,0,2954,13,232,1,7509
123516,0,240544,31,500,2,7507
143080,733,44373,38,3928,17,7575
386061,0,107813,24,0,0,7500
52738,2398,0,0,0,0,7498
24523,0,100,1,0,0,7493
134601,0,0,0,0,0,7493
32742,0,61857,26,0,0,7488
108341,0,19670,21,0,0,7488
8669,0,11397,16,0,0,7486
118940,0,36001,17,150,1,7484
41385,0,26948,14,0,0,7481
28621,0,13878,20,1400,10,7479
16230,0,486,2,0,0,7477
152881,0,79687,18,500,1,7474
37348,0,0,0,0,0,7472
51468,0,2278,9,0,0,7460
95989,0,92159,30,1329,4,7518
23184,1250,3694,12,1150,3,7467
27381,0,18009,18,0,0,7524
6854,0,0,0,0,0,7467
201346,0,99612,34,600,4,7463
31588,0,2947,8,0,0,7463
204582,0,4671,14,0,0,7498
8298,0,20087,15,0,0,7498
10097,0,2700,1,2700,1,7498
114356,0,27308,14,0,0,7456
1344,0,1134,9,0,0,7498
59797,0,7069,4,0,0,7444
189053,0,24156,22,0,0,7439
143481,0,45891,15,0,0,7437
1302051,2706,90653,32,3050,7,7467
229744,0,68754,35,550,2,7467
75039,0,2750,10,250,1,7435
20203,0,750,6,0,0,7467
193976,0,10849,14,0,0,7416
98224,0,5570,11,0,0,7467
117329,0,6448,11,0,0,7416
119239,0,36362,15,250,1,7467
53715,0,7164,15,300,2,7416
153747,0,58689,15,0,0,7409
133309,0,23987,13,0,0,7415
81380,0,56524,22,0,0,7404
22074,0,6039,15,0,0,7404
24051,0,8764,13,0,0,7395
11449,0,9057,13,0,0,7397
182317,0,19489,17,273,1,7397
46184,0,3125,12,500,1,7388
285116,0,8471,18,500,1,7406
30962,0,97683,37,6400,18,7360
15525,0,3853,6,0,0,7406
163530,0,88987,25,0,0,7406
2075,0,5002,14,0,0,7374
227881,0,41186,13,0,0,7369
118934,0,66222,37,2250,17,7354
468175,0,141615,22,0,0,7348
12526,0,56076,19,3850,11,7375
176090,0,5300,9,2200,6,7344
15221,0,4425,9,0,0,7361
92875,0,60990,14,0,0,7344
88702,0,9620,13,50,1,7406
62882,0,1925,8,0,0,7375
30015,0,5875,32,0,0,7341
87293,0,21584,17,1050,2,7406
45225,0,14711,15,0,0,7339
96098,0,12500,4,0,0,7339
236274,0,61515,12,0,0,7375
423540,0,8534,14,2100,9,7375
25279,0,14938,26,0,0,7327
198137,0,6303,6,500,1,7323
402312,0,77122,18,250,3,7375
149733,0,605,3,500,1,7323
70730,0,1319,12,0,0,7316
164613,0,11095,13,0,0,7375
47557,0,10267,18,200,3,7345
35065,0,5400,5,1400,3,7311
105769,0,23097,16,0,0,7345
35900,0,0,0,0,0,7304
43088,0,4000,1,0,0,7345
58703,0,46473,34,950,4,7296
70354,0,120907,22,0,0,7290
145726,0,19019,15,0,0,7292
121639,0,67286,7,0,0,7288
70676,0,74993,15,0,0,7288
18263,0,2100,4,1000,2,7285
51250,0,0,0,0,0,7283
1704838,0,17108,32,4823,23,7283
12895,0,0,0,0,0,7277
120073,0,12423,29,0,0,7276
2003,0,980,2,0,0,7274
22652,0,57642,14,0,0,7271
168515,0,4600,4,0,0,7269
44873,0,38740,18,850,2,7267
190542,1745,8487,9,0,0,7267
156230,0,5300,8,1300,5,7260
79211,0,36776,14,0,0,7260
98006,0,46349,20,2309,3,7332
33982,0,68320,17,0,0,7255
62998,0,11326,24,0,0,7253
137908,0,57713,19,0,0,7250
45586,0,37459,15,0,0,7246
568174,0,67121,16,1000,2,7243
145993,0,95082,17,500,1,7229
294881,0,84800,20,0,0,7279
12195,0,3875,17,0,0,7229
16622,0,0,0,0,0,7229
141813,0,39743,14,0,0,7254
58139,500,38408,16,150,1,7227
238868,0,20521,16,0,0,7220
149286,0,42141,30,2400,13,7222
35945,0,0,0,0,0,7220
28218,0,750,4,750,4,7232
7061,0,7100,12,0,0,7218
217846,0,49198,20,0,0,7215
364387,0,28200,27,0,0,7213
125465,0,14750,9,0,0,7206
94222,0,52081,24,0,0,7201
123370,0,7478,16,0,0,7197
383030,2998,8001,25,3226,15,7326
112969,0,7572,7,0,0,7192
46430,0,2100,4,500,1,7194
179433,0,30476,15,0,0,7187
20746,0,37534,17,0,0,7185
61455,0,28765,17,0,0,7183
714717,0,119162,20,1750,4,7183
179559,0,17819,12,1000,2,7173
119977,2556,9275,16,1400,4,7226
16928,0,1000,1,0,0,7173
65316,0,3917,10,0,0,7254
766419,0,11398,3,398,1,7162
52060,0,6500,3,0,0,7162
84700,0,13544,17,0,0,7162
205523,0,32404,20,1000,2,7159
20457,0,51399,16,0,0,7193
278727,0,21666,19,9166,16,7155
50325,0,11930,14,0,0,7155
455228,0,258,2,258,2,7141
73849,0,11793,21,0,0,7250
388455,0,114329,26,6078,8,7164
138999,0,63738,29,600,4,7153
65573,0,3875,23,0,0,7130
172288,0,66879,10,0,0,7130
47958,0,0,0,0,0,7130
133002,0,15672,21,150,1,7117
42363,0,0,0,0,0,7120
133370,0,44299,18,0,0,7101
278457,6727,57313,27,1000,2,7101
105166,1374,37663,22,0,0,7120
34956,0,0,0,0,0,7172
46963,0,1500,5,0,0,7117
55788,0,24831,12,0,0,7314
174910,0,63960,20,200,1,7110
13812,0,15149,39,0,0,7110
38718,0,0,0,0,0,7314
112501,0,19140,11,0,0,7101
54005,0,1500,5,0,0,7099
66863,0,36532,9,0,0,7099
93045,0,17636,15,0,0,7092
197328,0,60447,12,0,0,7092
151301,0,37772,14,0,0,7092
87938,0,11268,2,0,0,7085
15283,0,1250,3,0,0,7132
105423,0,20802,14,0,0,7078
312512,0,100,1,100,1,7078
13680,0,0,0,0,0,7073
41279,0,14462,20,1650,6,7064
25313,0,7491,13,0,0,7064
148691,0,3000,3,1000,2,7064
224081,0,40108,15,150,2,7059
51088,0,0,0,0,0,7057
95305,0,3189,13,0,0,7054
22080,0,12200,47,1950,9,7050
11660,0,140,1,0,0,7050
222227,0,38127,14,500,1,7047
16200,0,160,1,0,0,7043
38227,0,8612,13,0,0,7036
80214,0,500,1,500,1,7029
53985,0,1000,1,0,0,7029
14414,0,0,0,0,0,7024
44457,0,225,3,0,0,7026
161813,0,126941,20,0,0,7026
138020,0,6568,15,0,0,7024
107707,0,19407,25,2211,12,7024
95656,0,62666,27,0,0,7019
149678,0,0,0,0,0,7022
15113,0,10574,19,0,0,7017
231,0,29900,24,5300,15,7015
22380,0,300,2,200,1,7010
146263,0,20853,21,350,1,7001
24598,0,0,0,0,0,7040
76150,0,36907,17,0,0,6998
377252,0,230629,30,6393,13,6996
167670,0,15907,13,0,0,6994
86853,0,42293,21,500,1,6980
479989,0,66516,26,1600,6,6980
28193,0,103456,32,0,0,6980
67086,0,18157,16,0,0,6974
35969,0,11665,21,0,0,6977
53790,0,28717,19,0,0,8296
198859,0,17855,14,500,1,8296
91939,0,1244,8,0,0,8296
88449,0,11402,18,1450,5,8296
54842,0,20792,15,0,0,8296
11189,0,9044,20,0,0,8296
16999,0,140,1,0,0,8296
114713,0,7142,18,0,0,8296
1612,0,955,9,0,0,8296
97763,0,2000,9,0,0,8296
15129,0,0,0,0,0,8296
15669,0,1205,4,0,0,8296
26720,0,913,3,0,0,8296
205292,0,5471,13,0,0,8296
56635,0,1024,8,359,2,8296
127297,0,8510,12,0,0,8296
8927,0,0,0,0,0,8296
507506,1952,102279,32,4485,13,8296
145723,0,59858,16,0,0,8296
6458,0,0,0,0,0,8296
267640,0,6000,3,0,0,8296
5581,0,0,0,0,0,8296
10732,0,1296,6,0,0,8296
620498,0,25395,53,1750,14,8296
68963,0,37723,15,0,0,8296
109640,0,66983,38,5500,17,8296
225802,0,74340,16,200,2,8296
58452,0,0,0,0,0,8296
109087,0,10462,16,0,0,8296
68286,0,22831,13,0,0,8296
68464,0,240,3,0,0,8296
131960,2000,16081,8,0,0,8296
199956,1178,0,0,0,0,8296
529886,7210,23866,26,7741,15,8296
23529,0,500,1,0,0,8296
190295,0,3501,15,0,0,8296
21083,0,129330,16,1000,2,8296
117860,0,62758,15,0,0,8296
118844,0,28731,17,400,2,8289
60493,0,9000,1,0,0,8289
491987,0,68007,23,700,2,8289
87692,0,2310,6,500,1,8289
78028,0,36269,24,0,0,8289
251286,0,0,0,0,0,8289
17575,0,0,0,0,0,8289
50431,0,1000,1,0,0,8289
153597,0,56567,18,0,0,8289
74579,0,4600,11,600,8,8289
2494,0,0,0,0,0,8289
96031,0,46588,21,0,0,8289
353678,0,141230,28,1450,5,8289
50052,0,49383,13,0,0,8289
13381,0,1000,8,0,0,8289
25123,0,2030,6,0,0,8289
132555,0,24775,31,350,1,8289
14528,0,6000,7,3000,6,8289
24038,0,6290,14,0,0,8289
192104,0,39010,53,1750,8,8289
106773,0,12900,10,1400,8,8289
229397,0,22873,13,0,0,8289
14732,0,100,1,0,0,8289
383129,0,23608,16,500,1,8289
11431,0,1759,4,759,3,8289
175461,0,40997,14,0,0,8289
52953,0,500,1,0,0,8289
182291,0,24155,22,0,0,8289
198317,0,61714,16,0,0,8289
49053,0,6498,18,950,5,8289
22772,0,0,0,0,0,8289
34170,0,15476,20,150,1,8289
158483,0,9018,11,0,0,8289
43285,0,28613,14,0,0,8252
52980,0,17078,14,0,0,8237
74342,0,4389,12,0,0,8228
139849,0,19946,15,0,0,8228
26080,0,9872,13,0,0,8228
29469,0,2522,4,0,0,8228
189252,0,2991,15,0,0,8228
382546,0,136619,34,3000,6,8228
1113394,2015,60883,26,2600,9,8228
459681,0,95531,17,0,0,8228
83590,0,3708,22,0,0,8228
82528,0,2100,5,600,4,8228
5600,0,125,1,0,0,8228
743745,2066,4100,20,2500,18,8228
43954,0,63463,13,250,1,8228
52005,0,11870,15,100,1,8228
45494,0,5021,16,600,2,8228
171509,0,40090,55,6381,23,8151
235947,0,3982,16,0,0,8145
153108,0,25802,14,500,1,8137
260261,0,33047,21,0,0,8146
80223,0,21248,26,2050,7,8121
38716,0,8253,21,0,0,8114
1125076,0,23046,14,0,0,8107
10954,500,2500,1,0,0,8095
97099,0,6325,21,1700,5,8085
62396,2128,1250,3,0,0,8075
40645,0,18348,13,0,0,8067
82655,0,101101,19,700,2,8057
84035,0,4240,6,1600,4,8114
1199220,2919,3800,19,3300,18,8023
86345,0,13415,16,350,2,8009
2701,0,5000,10,0,0,8002
46874,0,9689,38,500,1,7990
10879,0,78186,32,3400,12,7981
12742,0,0,0,0,0,7966
122904,0,37380,21,1300,4,7956
10994,0,1250,3,0,0,8007
2318,0,8747,14,0,0,7945
11070,0,0,0,0,0,7939
21921,0,0,0,0,0,7939
162521,0,57354,25,0,0,8105
207545,0,11137,34,4387,12,8105
86112,0,35528,22,0,0,8105
18328,0,0,0,0,0,6790
217557,0,97584,19,550,2,6679
11504,0,100,1,0,0,6675
143200,0,79837,28,50,1,6667
160703,0,32560,12,0,0,6666
910,0,5172,13,0,0,6662
94105,0,100,1,0,0,6676
18422,0,3297,13,0,0,6653
889456,1024,98959,29,850,4,6652
9800,589,10348,34,3000,25,6651
148318,0,51197,22,350,2,6648
26149,0,5190,6,0,0,6646
76933,0,28075,17,0,0,6646
346178,0,63803,16,0,0,6645
22878,0,9039,32,0,0,6641
66741,2880,71921,30,2600,7,6638
134060,0,46606,13,0,0,6637
3305,0,31465,24,1700,10,6633
28930,0,8185,17,0,0,6630
208519,0,4040,6,450,2,6627
58951,0,47994,15,500,1,6625
25395,0,2000,1,0,0,6624
109248,0,6828,11,0,0,6618
43387,0,4942,13,0,0,6613
52423,0,26926,13,0,0,6611
26858,500,34308,17,900,3,6606
5410,0,45890,22,0,0,6603
18177,0,12040,12,0,0,6690
413509,0,2500,1,0,0,6598
98472,1776,124421,45,10250,28,6621
86520,3445,64450,20,1000,2,6592
16648,0,625,4,0,0,6588
267404,0,263685,51,3000,6,6584
31478,0,18885,18,0,0,6578
17445,0,4500,3,500,1,6576
49052,0,46718,17,0,0,6575
21689,0,0,0,0,0,6570
18302,0,2197,10,0,0,6569
26220,0,2775,11,0,0,6647
59552,0,7551,22,0,0,6473
34962,0,252,3,0,0,6208
16153,0,180,1,0,0,6491
28931,0,6500,4,500,1,6354
202636,0,19000,5,0,0,6119
153962,0,90992,21,0,0,6567
63311,0,25048,14,0,0,6634
8561,0,2050,8,1300,2,6675
256219,0,29823,33,6568,16,6561
122700,0,18604,13,0,0,6556
81419,0,7769,12,350,1,6599
13873,0,4833,20,0,0,6519
148,0,190,2,0,0,6507
178919,0,23387,17,0,0,6555
19702,0,3000,1,0,0,6554
18820,0,0,0,0,0,6549
213849,0,500,1,0,0,6549
28077,0,735,6,500,1,6575
4528,0,290,1,0,0,6565
40418,0,12678,12,0,0,6541
380930,0,22485,25,213,1,6539
176849,0,7700,11,950,4,6539
71235,0,41004,14,0,0,6535
76446,0,63811,17,0,0,6550
148915,0,23522,16,650,2,6532
65034,0,14331,16,800,3,6541
35738,0,41264,16,0,0,6526
313,0,1600,1,0,0,6525
55703,0,0,0,0,0,6520
11613,0,2000,1,0,0,6519
65672,0,29089,13,0,0,6529
84785,0,4570,14,0,0,6514
30592,862,2602,7,0,0,6512
99293,0,81040,23,1000,2,6508
51830,0,0,0,0,0,6507
20126,0,78999,28,800,3,6506
3294,0,1330,2,0,0,6498
11143,0,2800,6,800,5,6529
8250,0,250,2,0,0,6486
117670,0,53043,19,550,1,6505
49454,0,9548,22,250,1,6501
58421,0,1000,1,0,0,6532
33443,0,0,0,0,0,6476
13886,0,0,0,0,0,6465
15349,0,250,2,0,0,6457
78712,0,0,0,0,0,6433
89742,0,39073,13,0,0,6498
31311,0,3961,10,0,0,6494
133445,8264,3375,13,0,0,6492
136161,0,6032,15,0,0,6463
9998,0,0,0,0,0,6448
37904,0,19052,17,0,0,6487
41243,0,27971,7,300,1,6483
54011,1604,38380,20,5780,4,6487
5351,0,100,1,0,0,6450
23334,0,0,0,0,0,6441
11255,0,0,0,0,0,6428
48127,0,41447,28,0,0,6421
329497,0,57264,12,0,0,6484
158895,0,41954,15,0,0,6525
34540,0,27882,13,0,0,6494
117623,0,86582,26,1000,6,6477
126409,0,28460,13,0,0,6478
112843,0,16137,14,0,0,6472
117240,0,1200,3,700,2,6471
7216,0,21419,18,0,0,6470
26412,0,5086,2,0,0,6552
427528,0,35098,16,1600,3,6465
1846,0,450,1,0,0,6471
45830,0,23404,10,0,0,6459
179042,0,25078,50,3350,15,6456
41487,500,10885,7,0,0,6451
39601,0,3733,9,0,0,6450
46142,0,14445,13,0,0,6452
110277,0,37110,18,1500,3,6445
122928,0,12211,14,0,0,6443
146599,0,16463,16,1000,2,6444
338656,0,52908,16,0,0,6444
54125,0,48874,17,450,3,6463
29861,0,28190,15,0,0,6407
126148,0,6273,8,0,0,6435
62080,2975,19113,32,10650,28,6434
175131,0,53495,15,0,0,6431
365918,0,83752,23,1373,7,6429
105547,0,24973,26,500,1,6415
67615,0,14168,13,0,0,6413
33554,0,27410,16,350,1,6428
163083,0,3825,9,450,4,6428
747983,0,26117,15,50,1,6427
415070,588,153183,41,3802,20,6423
18111,0,4625,26,0,0,6463
41526,0,0,0,0,0,6406
38021,0,5538,9,0,0,6407
17500,0,0,0,0,0,6400
5906,0,280,1,0,0,6395
70133,0,7396,16,0,0,6392
32010,0,12315,6,650,2,6421
82605,0,23049,15,0,0,6417
77285,0,63841,32,0,0,6417
15219,0,0,0,0,0,6427
54889,0,13150,4,0,0,6438
8910,0,150,1,150,1,6413
49891,0,500,1,500,1,6392
10484,0,0,0,0,0,6375
15496,0,0,0,0,0,6324
16714,0,0,0,0,0,6214
25835,0,15153,15,0,0,6142
3487,0,710,1,0,0,6059
347096,0,12000,6,0,0,6408
155962,1199,16510,16,50,1,6406
160572,0,8163,18,500,1,6403
257068,2586,5900,4,400,1,6420
48410,0,37869,16,500,1,6395
33269,0,4675,10,200,1,6396
25685,0,185,3,0,0,6382
50500,0,4765,14,0,0,6380
97486,0,22707,15,0,0,6387
323459,0,12000,8,1500,3,6378
11821,0,10697,10,0,0,6387
37039,0,29976,18,0,0,6375
28306,0,233,3,0,0,6371
109532,0,128048,53,7939,26,6372
91974,0,19223,18,500,1,6372
65823,0,28208,19,300,3,6373
104824,0,14582,15,0,0,6366
16061,0,2750,11,0,0,6366
55237,0,5547,14,0,0,6358
10491,0,5025,11,150,1,6357
192334,0,33950,21,1450,4,6366
45501,0,49656,17,316,1,6375
18661,0,0,0,0,0,6352
89668,0,29130,14,0,0,6350
53327,0,8650,6,650,2,6350
133143,0,43643,14,50,1,6385
22268,0,23582,15,200,1,6339
26556,3490,2845,14,720,4,6339
9601,0,20467,16,0,0,6338
280561,0,12154,13,0,0,6337
146248,0,2900,4,1400,3,6333
9483,0,1000,1,0,0,6340
119082,5051,4230,17,3600,14,6340
232171,0,22258,30,650,2,6340
369816,1745,46942,35,7266,17,6340
37381,0,6091,16,0,0,6332
173543,0,92752,25,0,0,6329
31211,0,280,4,100,1,6330
47780,0,88773,20,250,2,6329
79479,0,23167,13,0,0,6118
81960,0,37072,22,700,7,6326
20162,0,2750,15,0,0,6324
105683,0,28386,17,0,0,6361
234327,0,30406,28,150,2,6319
463494,0,27390,17,750,1,6323
17334,0,6783,27,50,1,6318
57909,0,5150,4,0,0,6323
17949,0,0,0,0,0,6312
529477,0,31624,28,2098,5,6311
71543,0,0,0,0,0,6305
111897,0,14728,14,0,0,6310
61598,0,0,0,0,0,6311
417875,0,44472,18,0,0,6308
340874,0,68090,43,5676,27,6305
32774,0,0,0,0,0,6304
242910,1115,103935,18,500,1,6296
137843,0,45416,24,250,1,6302
30530,0,5590,12,2950,9,6298
30973,0,0,0,0,0,6298
238749,0,7134,14,3134,12,6297
16803,0,1287,6,0,0,6291
23553,810,1587,4,487,2,6295
48161,0,41174,24,0,0,6294
21616,0,0,0,0,0,6291
13114,0,14029,13,0,0,6289
117120,0,41278,17,500,1,6288
52987,0,17510,15,0,0,6289
150176,0,29999,17,400,1,6284
19002,0,22675,21,0,0,6277
60976,0,97318,31,7000,14,6282
50675,0,1100,2,100,1,6282
65466,0,5488,13,0,0,6280
64280,0,21721,18,0,0,6280
14523,0,4197,4,0,0,6276
384470,0,20468,16,0,0,6280
9157,0,75,2,0,0,6274
151904,733,76440,25,950,8,6273
13781,0,48914,19,500,1,6269
40567,0,18122,16,0,0,6268
43090,0,11411,10,0,0,6259
1875,0,1250,3,0,0,6266
126555,0,41253,19,0,0,6280
16472,0,45517,12,0,0,6262
21270,0,318,10,0,0,6256
33410,0,818,12,0,0,6255
15750,0,1065,3,0,0,6254
104665,0,9547,12,0,0,6249
86285,0,61274,14,0,0,6249
41967,0,2125,10,0,0,6247
35026,0,9799,27,500,1,6247
138411,0,53843,14,0,0,6247
127693,0,17383,15,0,0,6246
52050,0,43190,14,0,0,6245
37162,0,0,0,0,0,6241
440265,4081,22750,15,1250,10,6234
66572,0,8048,14,450,2,6240
237093,0,42020,15,0,0,6240
79561,0,6333,12,400,2,6231
131528,0,10365,17,500,1,6227
11820,0,2045,5,0,0,6227
20810,0,1713,13,0,0,6225
189423,0,63584,31,600,1,6476
96477,0,2987,13,0,0,6221
106471,0,8444,5,100,1,6220
33374,0,20441,13,0,0,6214
210018,0,48914,16,0,0,6217
26740,0,619,7,0,0,6213
244216,0,39166,14,0,0,6214
76737,0,34648,31,0,0,6211
20999,0,15914,13,0,0,6206
43179,0,11915,6,0,0,6214
119214,0,10028,16,0,0,6205
14988,0,2100,10,0,0,6203
21334,0,5472,20,0,0,6200
104307,0,51769,24,450,1,6197
34357,0,73622,25,100,1,6198
231437,0,31266,26,1550,4,6340
14662,0,1110,12,0,0,6197
13144,0,18615,18,0,0,6196
10978,0,14313,11,0,0,6193
150698,0,43589,20,1200,4,6193
18035,0,811,2,0,0,6193
194604,0,6606,10,0,0,6190
117852,2376,11406,21,3850,13,6186
32356,0,22918,19,0,0,6571
44247,948,40939,26,0,0,6184
23431,0,3546,10,0,0,6182
37773,0,8436,15,0,0,6179
245758,0,2750,4,750,2,6179
63587,0,500,1,500,1,6184
15088,0,5625,15,0,0,6177
152539,0,65972,14,0,0,6187
333500,0,69780,23,1258,4,6171
15064,0,2910,9,0,0,6171
19032,0,2375,12,0,0,6169
66434,0,13041,13,0,0,6230
146097,0,6919,16,0,0,6165
8207,0,1750,7,0,0,6184
293648,0,22148,15,0,0,6161
147472,0,20645,16,0,0,6163
103993,0,14149,13,100,1,6158
34651,0,4000,6,500,1,6157
102339,0,47498,19,0,0,6156
149167,0,48521,13,0,0,6155
105249,0,36093,15,0,0,6153
55610,0,5095,13,0,0,6151
70391,0,6000,4,0,0,6150
74645,0,40367,18,0,0,6147
26939,0,29264,15,0,0,6148
207655,500,78967,31,0,0,6144
7421,0,0,0,0,0,6142
74924,6286,59650,13,0,0,6141
17599,0,100,1,0,0,6029
5594,0,370,1,0,0,5835
66122,0,11756,13,0,0,5630
12024,0,0,0,0,0,5119
42044,2253,11433,10,0,0,6140
83105,0,65077,28,753,3,6137
152063,0,34257,19,1100,3,6159
59546,0,20730,4,0,0,6135
1258,0,475,4,0,0,6134
75181,0,2455,7,1100,3,6133
68255,0,19077,22,400,2,6130
58229,0,53108,16,500,1,6137
97349,0,42774,14,0,0,6128
131424,0,58814,14,50,1,6128
24011,0,20442,9,0,0,6123
64538,0,0,0,0,0,6123
3832,0,1000,1,0,0,6120
3268,0,52263,32,0,0,6120
36790,0,7158,14,0,0,6133
363165,2565,5950,11,1850,8,6116
179382,0,4225,7,0,0,6115
218207,0,8500,4,0,0,6114
765738,0,62133,14,0,0,6112
54265,0,0,0,0,0,6109
69959,0,16504,13,0,0,6108
