Week,ILI,Queries
2006-07-23 - 2006-07-29,0.843082379,0.088977423
2006-07-30 - 2006-08-05,0.881824413,0.065073041
2006-08-06 - 2006-08-12,0.81714517,0.078353254
2006-08-13 - 2006-08-19,0.871500093,0.088977423
2006-08-20 - 2006-08-26,0.738620506,0.112881807
2006-08-27 - 2006-09-02,0.797965969,0.108897742
2006-09-03 - 2006-09-09,1.013937306,0.128818061
2006-09-10 - 2006-09-16,0.880935822,0.132802125
2006-09-17 - 2006-09-23,0.943366301,0.219123506
2006-09-24 - 2006-09-30,0.891546176,0.208499336
2006-10-01 - 2006-10-07,1.203222814,0.223107569
2006-10-08 - 2006-10-14,1.057882157,0.235059761
2006-10-15 - 2006-10-21,1.130535435,0.205843294
2006-10-22 - 2006-10-28,1.125522984,0.258964143
2006-10-29 - 2006-11-04,1.208082024,0.261620186
2006-11-05 - 2006-11-11,1.349524402,0.305444886
2006-11-12 - 2006-11-18,1.468900417,0.346613546
2006-11-19 - 2006-11-25,1.827671589,0.288180611
2006-11-26 - 2006-12-02,1.665601242,0.33997344
2006-12-03 - 2006-12-09,1.859683428,0.355909695
2006-12-10 - 2006-12-16,2.388913017,0.363877822
2006-12-17 - 2006-12-23,2.789775931,0.402390438
2006-12-24 - 2006-12-30,3.115485849,0.494023904
2006-12-31 - 2007-01-06,2.269424471,0.54183267
2007-01-07 - 2007-01-13,1.863546429,0.431606906
2007-01-14 - 2007-01-20,1.999863456,0.403718459
2007-01-21 - 2007-01-27,2.440604413,0.387782205
2007-01-28 - 2007-02-03,2.83018207,0.45683931
2007-02-04 - 2007-02-10,3.123425582,0.405046481
2007-02-11 - 2007-02-17,3.270194869,0.440903055
2007-02-18 - 2007-02-24,3.177568825,0.398406375
2007-02-25 - 2007-03-03,2.723636624,0.335989376
2007-03-04 - 2007-03-10,2.502013987,0.324037184
2007-03-11 - 2007-03-17,2.427199199,0.281540504
2007-03-18 - 2007-03-24,1.960413237,0.264276229
2007-03-25 - 2007-03-31,1.591397961,0.258964143
2007-04-01 - 2007-04-07,1.369783537,0.227091633
2007-04-08 - 2007-04-14,1.36316678,0.240371847
2007-04-15 - 2007-04-21,1.173695075,0.219123506
2007-04-22 - 2007-04-28,1.063575629,0.187250996
2007-04-29 - 2007-05-05,0.969711104,0.175298805
2007-05-06 - 2007-05-12,0.965361741,0.134130146
2007-05-13 - 2007-05-19,0.856748915,0.146082338
2007-05-20 - 2007-05-26,0.863346459,0.120849934
2007-05-27 - 2007-06-02,0.935369512,0.124833997
2007-06-03 - 2007-06-09,0.745569435,0.126162019
2007-06-10 - 2007-06-16,0.740428109,0.092961487
2007-06-17 - 2007-06-23,0.672896505,0.103585658
2007-06-24 - 2007-06-30,0.666282009,0.088977423
2007-07-01 - 2007-07-07,0.662747255,0.088977423
2007-07-08 - 2007-07-14,0.545618971,0.099601593
2007-07-15 - 2007-07-21,0.5862306,0.096945552
2007-07-22 - 2007-07-28,0.660686705,0.090305445
2007-07-29 - 2007-08-04,0.53409284,0.106241699
2007-08-05 - 2007-08-11,0.585549127,0.098273572
2007-08-12 - 2007-08-18,0.618074959,0.122177954
2007-08-19 - 2007-08-25,0.687464689,0.111553785
2007-08-26 - 2007-09-01,0.715696068,0.122177954
2007-09-02 - 2007-09-08,0.829313068,0.155378487
2007-09-09 - 2007-09-15,0.800911545,0.142098273
2007-09-16 - 2007-09-22,0.918483949,0.189907038
2007-09-23 - 2007-09-29,0.814259035,0.180610889
2007-09-30 - 2007-10-06,1.071970841,0.250996016
2007-10-07 - 2007-10-13,1.217857372,0.290836653
2007-10-14 - 2007-10-20,1.24575535,0.300132802
2007-10-21 - 2007-10-27,1.359844882,0.282868527
2007-10-28 - 2007-11-03,1.446708487,0.265604249
2007-11-04 - 2007-11-10,1.532863846,0.316069057
2007-11-11 - 2007-11-17,1.666532426,0.306772909
2007-11-18 - 2007-11-24,1.974877348,0.29747676
2007-11-25 - 2007-12-01,1.673054716,0.313413015
2007-12-02 - 2007-12-08,1.634050862,0.345285525
2007-12-09 - 2007-12-15,1.745947486,0.350597609
2007-12-16 - 2007-12-22,1.936431919,0.375830013
2007-12-23 - 2007-12-29,2.489053422,0.443559097
2007-12-30 - 2008-01-05,2.254048393,0.504648074
2008-01-06 - 2008-01-12,2.091471538,0.389110226
2008-01-13 - 2008-01-19,2.359342781,0.358565737
2008-01-20 - 2008-01-26,3.323314295,0.378486056
2008-01-27 - 2008-02-02,4.433810035,0.41434263
2008-02-03 - 2008-02-09,5.345471365,0.524568392
2008-02-10 - 2008-02-16,5.422575059,0.548472776
2008-02-17 - 2008-02-23,5.30303296,0.573705179
2008-02-24 - 2008-03-01,4.244555023,0.483399735
2008-03-02 - 2008-03-08,3.628000122,0.403718459
2008-03-09 - 2008-03-15,3.034627507,0.337317397
2008-03-16 - 2008-03-22,2.535953559,0.309428951
2008-03-23 - 2008-03-29,2.057301477,0.317397078
2008-03-30 - 2008-04-05,1.7415035,0.252324037
2008-04-06 - 2008-04-12,1.406521709,0.225763612
2008-04-13 - 2008-04-19,1.268607037,0.195219124
2008-04-20 - 2008-04-26,1.07718874,0.181938911
2008-04-27 - 2008-05-03,0.993445237,0.176626826
2008-05-04 - 2008-05-10,0.911211928,0.146082338
2008-05-11 - 2008-05-17,0.972109133,0.150066401
2008-05-18 - 2008-05-24,0.993257509,0.143426295
2008-05-25 - 2008-05-31,1.091320231,0.128818061
2008-06-01 - 2008-06-07,0.888445962,0.120849934
2008-06-08 - 2008-06-14,0.887691452,0.123505976
2008-06-15 - 2008-06-21,0.88318743,0.124833997
2008-06-22 - 2008-06-28,0.826756368,0.130146083
2008-06-29 - 2008-07-05,0.783201389,0.108897742
2008-07-06 - 2008-07-12,0.780610295,0.124833997
2008-07-13 - 2008-07-19,0.769072603,0.106241699
2008-07-20 - 2008-07-26,0.721297937,0.092961487
2008-07-27 - 2008-08-02,0.752527328,0.106241699
2008-08-03 - 2008-08-09,0.752720985,0.102257636
2008-08-10 - 2008-08-16,0.79276601,0.131474103
2008-08-17 - 2008-08-23,0.743896194,0.115537848
2008-08-24 - 2008-08-30,0.814166292,0.147410358
2008-08-31 - 2008-09-06,0.838400872,0.168658699
2008-09-07 - 2008-09-13,0.851123587,0.175298805
2008-09-14 - 2008-09-20,1.109757547,0.240371847
2008-09-21 - 2008-09-27,1.031143569,0.249667994
2008-09-28 - 2008-10-04,1.022843566,0.250996016
2008-10-05 - 2008-10-11,1.030173949,0.276228419
2008-10-12 - 2008-10-18,1.012447819,0.261620186
2008-10-19 - 2008-10-25,1.083591073,0.282868527
2008-10-26 - 2008-11-01,1.165776525,0.309428951
2008-11-02 - 2008-11-08,1.191296369,0.276228419
2008-11-09 - 2008-11-15,1.280747033,0.314741035
2008-11-16 - 2008-11-22,1.270525067,0.338645419
2008-11-23 - 2008-11-29,1.595782485,0.321381142
2008-11-30 - 2008-12-06,1.458499427,0.409030544
2008-12-07 - 2008-12-13,1.499207175,0.363877822
2008-12-14 - 2008-12-20,1.629815696,0.367861885
2008-12-21 - 2008-12-27,2.155612119,0.422310757
2008-12-28 - 2009-01-03,2.020527033,0.487383798
2009-01-04 - 2009-01-10,1.545662274,0.386454183
2009-01-11 - 2009-01-17,1.642236723,0.363877822
2009-01-18 - 2009-01-24,1.965237798,0.325365206
2009-01-25 - 2009-01-31,2.343678417,0.390438246
2009-02-01 - 2009-02-07,2.860574401,0.382470119
2009-02-08 - 2009-02-14,3.342104938,0.41434263
2009-02-15 - 2009-02-21,3.205658816,0.401062417
2009-02-22 - 2009-02-28,3.100490772,0.409030544
2009-03-01 - 2009-03-07,2.958185018,0.365205844
2009-03-08 - 2009-03-14,2.463805844,0.326693227
2009-03-15 - 2009-03-21,2.192722414,0.301460823
2009-03-22 - 2009-03-28,1.873945905,0.273572378
2009-03-29 - 2009-04-04,1.648169014,0.247011953
2009-04-05 - 2009-04-11,1.498777593,0.24435591
2009-04-12 - 2009-04-18,1.292326743,0.239043824
2009-04-19 - 2009-04-25,1.271641088,0.29880478
2009-04-26 - 2009-05-02,2.981588964,0.555380978
2009-05-03 - 2009-05-09,2.437022413,0.555112882
2009-05-10 - 2009-05-16,2.281301108,0.347941566
2009-05-17 - 2009-05-23,3.81571987,0.325365206
2009-05-24 - 2009-05-30,4.21315232,0.294820717
2009-05-31 - 2009-06-06,3.178322373,0.28685259
2009-06-07 - 2009-06-13,2.509716239,0.28685259
2009-06-14 - 2009-06-20,2.06631768,0.355909695
2009-06-21 - 2009-06-27,1.718046023,0.265604249
2009-06-28 - 2009-07-04,1.559646715,0.257636122
2009-07-05 - 2009-07-11,1.308562869,0.284196547
2009-07-12 - 2009-07-18,1.186945982,0.373173971
2009-07-19 - 2009-07-25,1.137962303,0.351925631
2009-07-26 - 2009-08-01,1.150052284,0.325365206
2009-08-02 - 2009-08-08,1.112618943,0.304116866
2009-08-09 - 2009-08-15,1.16141884,0.381142099
2009-08-16 - 2009-08-22,1.641071386,0.308100929
2009-08-23 - 2009-08-29,2.471659795,0.346613546
2009-08-30 - 2009-09-05,3.719693644,0.411686587
2009-09-06 - 2009-09-12,3.949747987,0.460823373
2009-09-13 - 2009-09-19,4.087563567,0.519256308
2009-09-20 - 2009-09-26,4.018972363,0.679946879
2009-09-27 - 2009-10-03,4.603616409,0.678618858
2009-10-04 - 2009-10-10,5.660867064,0.743691898
2009-10-11 - 2009-10-17,6.815222177,0.776892431
2009-10-18 - 2009-10-24,7.618892134,1
2009-10-25 - 2009-10-31,7.388358588,0.92695883
2009-11-01 - 2009-11-07,6.339272313,0.860557768
2009-11-08 - 2009-11-14,4.943494981,0.67065073
2009-11-15 - 2009-11-21,3.809961197,0.569721115
2009-11-22 - 2009-11-28,3.441058797,0.448871181
2009-11-29 - 2009-12-05,2.667730649,0.504648074
2009-12-06 - 2009-12-12,2.471825032,0.430278885
2009-12-13 - 2009-12-19,2.344999526,0.438247012
2009-12-20 - 2009-12-26,2.714349832,0.501992032
2009-12-27 - 2010-01-02,2.676671827,0.561752988
2010-01-03 - 2010-01-09,1.982838236,0.525896414
2010-01-10 - 2010-01-16,1.827486234,0.387782205
2010-01-17 - 2010-01-23,1.926056251,0.378486056
2010-01-24 - 2010-01-30,1.924947173,0.393094289
2010-01-31 - 2010-02-06,2.088768425,0.419654714
2010-02-07 - 2010-02-13,2.034340826,0.410358565
2010-02-14 - 2010-02-20,1.976494605,0.387782205
2010-02-21 - 2010-02-27,1.993617746,0.391766268
2010-02-28 - 2010-03-06,1.853825964,0.377158034
2010-03-07 - 2010-03-13,1.867303584,0.351925631
2010-03-14 - 2010-03-20,1.699867664,0.34130146
2010-03-21 - 2010-03-27,1.497408203,0.328021248
2010-03-28 - 2010-04-03,1.451118772,0.281540504
2010-04-04 - 2010-04-10,1.207147827,0.265604249
2010-04-11 - 2010-04-17,1.174150805,0.253652059
2010-04-18 - 2010-04-24,1.162066761,0.260292165
2010-04-25 - 2010-05-01,1.172134312,0.231075698
2010-05-02 - 2010-05-08,1.121676534,0.219123506
2010-05-09 - 2010-05-15,1.149811626,0.245683931
2010-05-16 - 2010-05-22,1.133275798,0.216467463
2010-05-23 - 2010-05-29,1.081713315,0.2124834
2010-05-30 - 2010-06-05,1.199586011,0.220451527
2010-06-06 - 2010-06-12,0.95280826,0.200531208
2010-06-13 - 2010-06-19,0.916032113,0.193891102
2010-06-20 - 2010-06-26,0.926582173,0.167330677
2010-06-27 - 2010-07-03,0.869619712,0.177954847
2010-07-04 - 2010-07-10,0.903133146,0.184594953
2010-07-11 - 2010-07-17,0.773775693,0.177954847
2010-07-18 - 2010-07-24,0.742774403,0.172642763
2010-07-25 - 2010-07-31,0.730934476,0.167330677
2010-08-01 - 2010-08-07,0.786881829,0.183266932
2010-08-08 - 2010-08-14,0.76305068,0.20185923
2010-08-15 - 2010-08-21,0.841043206,0.199203187
2010-08-22 - 2010-08-28,0.791572794,0.200531208
2010-08-29 - 2010-09-04,0.91273176,0.224435591
2010-09-05 - 2010-09-11,1.033976471,0.282868527
2010-09-12 - 2010-09-18,0.93400912,0.34130146
2010-09-19 - 2010-09-25,1.081888755,0.367861885
2010-09-26 - 2010-10-02,1.065626011,0.375830013
2010-10-03 - 2010-10-09,1.135052948,0.374501993
2010-10-10 - 2010-10-16,1.252562883,0.351925631
2010-10-17 - 2010-10-23,1.245695571,0.386454183
2010-10-24 - 2010-10-30,1.267737963,0.354581673
2010-10-31 - 2010-11-06,1.43722946,0.370517928
2010-11-07 - 2010-11-13,1.533412469,0.41434263
2010-11-14 - 2010-11-20,1.694454397,0.428950863
2010-11-21 - 2010-11-27,1.991502439,0.413014608
2010-11-28 - 2010-12-04,1.813045325,0.471447543
2010-12-05 - 2010-12-11,2.014257897,0.504648074
2010-12-12 - 2010-12-18,2.556591287,0.540504648
2010-12-19 - 2010-12-25,3.381848588,0.674634794
2010-12-26 - 2011-01-01,3.431723114,0.806108898
2011-01-02 - 2011-01-08,2.691511109,0.759628153
2011-01-09 - 2011-01-15,2.910628901,0.567065072
2011-01-16 - 2011-01-22,3.492318947,0.519256308
2011-01-23 - 2011-01-29,4.003696298,0.572377158
2011-01-30 - 2011-02-05,4.435336764,0.536520584
2011-02-06 - 2011-02-12,4.24214816,0.571049137
2011-02-13 - 2011-02-19,4.397186147,0.563081009
2011-02-20 - 2011-02-26,3.902556495,0.505976096
2011-02-27 - 2011-03-05,3.150727519,0.479415671
2011-03-06 - 2011-03-12,2.724223355,0.423638779
2011-03-13 - 2011-03-19,2.33335625,0.361221779
2011-03-20 - 2011-03-26,1.925000309,0.351925631
2011-03-27 - 2011-04-02,1.752426036,0.32934927
2011-04-03 - 2011-04-09,1.577036548,0.300132802
2011-04-10 - 2011-04-16,1.35765577,0.292164674
2011-04-17 - 2011-04-23,1.312230989,0.285524568
2011-04-24 - 2011-04-30,1.14937467,0.274900398
2011-05-01 - 2011-05-07,1.114505656,0.252324037
2011-05-08 - 2011-05-14,1.109844889,0.25498008
2011-05-15 - 2011-05-21,1.052402556,0.264276229
2011-05-22 - 2011-05-28,1.035364731,0.262948207
2011-05-29 - 2011-06-04,1.117765822,0.233731739
2011-06-05 - 2011-06-11,0.982949451,0.229747676
2011-06-12 - 2011-06-18,0.925194441,0.2124834
2011-06-19 - 2011-06-25,0.835531111,0.20185923
2011-06-26 - 2011-07-02,0.832392665,0.184594953
2011-07-03 - 2011-07-09,0.855591007,0.189907038
2011-07-10 - 2011-07-16,0.706949421,0.193891102
2011-07-17 - 2011-07-23,0.694386799,0.215139442
2011-07-24 - 2011-07-30,0.687976168,0.21381142
2011-07-31 - 2011-08-06,0.644742989,0.205843294
2011-08-07 - 2011-08-13,0.675329853,0.216467463
2011-08-14 - 2011-08-20,0.72822971,0.221779549
2011-08-21 - 2011-08-27,0.806526257,0.215139442
2011-08-28 - 2011-09-03,0.860408443,0.249667994
2011-09-04 - 2011-09-10,0.936075368,0.281540504
2011-09-11 - 2011-09-17,0.9666827,0.309428951
2011-09-18 - 2011-09-24,0.996007076,0.370517928
2011-09-25 - 2011-10-01,1.108463519,0.410358565
2011-10-02 - 2011-10-08,1.203085758,0.394422311
2011-10-09 - 2011-10-15,1.236956585,0.377158034
2011-10-16 - 2011-10-22,1.252586494,0.391766268
2011-10-23 - 2011-10-29,1.305461184,0.398406375
2011-10-30 - 2011-11-05,1.452843154,0.405046481
2011-11-06 - 2011-11-12,1.44089221,0.424966799
2011-11-13 - 2011-11-19,1.462211543,0.455511288
2011-11-20 - 2011-11-26,1.655414675,0.413014608
2011-11-27 - 2011-12-03,1.465722972,0.478087649
2011-12-04 - 2011-12-10,1.518106133,0.464807437
2011-12-11 - 2011-12-17,1.663954418,0.479415671
2011-12-18 - 2011-12-24,1.852735566,0.537848605
2011-12-25 - 2011-12-31,2.124129916,0.618857901
