"grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
10,1,"White",0,0,1,0,1,0,0,1,1,1,1,1,0,1,275,25,1,1,0,2000,570.04
10,1,"White",1,0,1,0,1,1,0,0,1,1,1,1,1,0,225,25,1,1,1,1046,505.58
9,0,"Hispanic",0,0,0,NA,0,NA,NA,NA,1,1,0,1,1,0,NA,NA,NA,1,1,1202,181.34
11,1,"Hispanic",0,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,25,1,1,1,NA,459.89
10,1,"White",1,1,1,0,1,0,0,1,1,1,1,1,1,1,NA,23,1,1,0,636,550.16
10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,22,1,1,0,196,548.55
9,1,"Black",0,0,0,NA,0,0,NA,0,1,0,NA,0,0,NA,NA,NA,NA,1,1,914,340.52
10,0,"White",1,0,1,0,1,NA,NA,NA,1,1,NA,1,1,0,900,40,1,1,1,2966,540.01
10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,225,25,1,1,0,1375,497.12
9,0,"More than one race",1,1,1,0,0,1,0,0,1,1,1,1,0,0,40,13,1,1,0,1380,401.15
10,0,"Black",1,1,1,0,1,1,0,1,1,0,1,1,1,1,205,25,1,1,1,673,493.62
9,0,"Black",1,0,1,0,0,NA,NA,NA,1,1,1,1,1,0,350,20,1,1,0,1101,464.71
11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,40,0,1,1,3138,566.39
11,0,"Black",1,1,1,1,0,NA,NA,NA,1,1,1,1,1,1,500,25,1,1,0,868,534.45
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,1212,398.24
11,0,"Hispanic",1,1,1,1,1,1,NA,0,0,0,0,0,1,1,375,20,1,1,1,2886,617.87
9,0,"Black",0,0,1,NA,0,1,0,1,1,1,1,1,1,0,NA,15,1,1,0,926,349.6
11,1,"Hispanic",1,1,1,0,1,1,0,1,0,0,0,0,1,0,50,20,1,1,1,1723,467.35
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,20,1,1,0,1680,589.66
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,17,1,0,1,575,608.6
11,0,"Hispanic",0,1,1,1,0,1,0,1,0,0,0,1,1,0,50,20,1,1,0,868,644.16
10,0,"Hispanic",0,1,0,0,1,0,0,1,1,0,0,0,0,1,450,16,1,1,0,3004,514.04
10,1,"White",1,0,1,0,1,0,0,1,1,1,1,1,1,0,225,25,1,1,0,NA,409.38
10,1,"Black",1,1,1,0,1,1,0,0,1,0,0,1,1,0,300,30,1,1,1,3261,616.22
10,0,"White",0,1,1,NA,1,0,NA,1,1,1,1,1,1,0,NA,20,1,1,0,276,485.36
10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,40,1,1,1,3138,481.13
10,0,"Black",1,1,1,1,1,1,0,0,1,1,1,1,1,0,300,25,1,1,1,1276,426.89
10,0,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,225,NA,NA,1,0,1375,511.81
10,1,"Asian",0,1,1,NA,0,1,1,1,0,0,0,1,1,0,300,30,1,1,1,NA,609.56
11,0,"Hispanic",1,0,1,0,1,0,0,1,0,0,0,0,1,0,270,25,1,1,0,1489,449.61
11,0,"Black",0,1,0,0,1,1,0,1,1,0,0,0,NA,1,250,30,1,1,1,1110,566.63
9,1,"Hispanic",0,1,1,0,0,1,0,1,1,1,1,1,1,0,270,30,1,1,0,1900,429.67
10,0,"White",0,0,1,0,0,1,1,1,1,0,1,1,1,1,600,20,1,1,1,1720,658.86
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,190,25,1,1,0,1087,604.36
11,1,"White",1,1,1,NA,0,1,0,1,1,1,1,1,1,1,270,24,1,1,0,996,488.75
10,1,"White",1,NA,1,0,0,1,0,1,1,1,1,1,1,0,NA,30,1,1,1,2149,439.13
9,1,"American Indian/Alaska Native",0,0,1,1,1,0,0,0,1,1,1,1,1,0,225,25,1,1,1,1062,432.79
11,0,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,0,290,33,1,1,0,754,551.53
10,1,"Hispanic",0,1,0,0,1,0,0,0,1,0,1,1,1,0,360,30,1,1,1,2886,531.96
10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,20,1,1,0,820,443.26
10,0,"White",1,0,1,NA,1,1,NA,1,1,1,1,1,1,0,315,15,1,1,0,149,501.96
11,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,979,522.14
10,1,"White",0,0,1,0,1,1,NA,1,1,1,1,1,1,1,270,25,1,1,0,1471,421.09
10,1,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,1,344,15,1,1,0,247,474.72
10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,0,0,225,NA,1,1,0,358,509.67
11,1,"Asian",0,1,1,1,1,1,1,1,0,0,0,0,1,1,285,29,1,1,0,2000,692.86
11,1,"White",0,0,0,0,1,1,0,1,1,0,1,1,0,0,180,20,1,1,0,808,320.48
10,0,"Hispanic",0,0,NA,0,0,1,0,1,1,0,0,1,0,1,390,30,1,1,1,2886,533.9
10,1,NA,1,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,360,30,NA,1,0,1295,415.24
10,1,"White",1,1,1,NA,0,1,NA,1,1,1,1,1,1,1,440,35,NA,1,1,626,520.26
10,1,"White",1,1,1,0,1,1,1,0,1,1,1,1,1,1,205,30,1,1,0,1828,316.63
10,1,"Asian",1,1,1,0,1,1,1,1,1,0,0,0,1,0,225,20,1,1,0,2098,531.24
10,1,"White",NA,NA,1,0,1,0,0,1,1,1,1,1,0,0,630,20,1,1,0,276,511.6
11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,200,36,1,1,0,1733,604.44
11,0,"Asian",0,1,1,0,0,1,1,1,0,0,0,1,1,1,550,25,1,1,0,2000,667.04
11,1,"Hispanic",0,0,1,NA,1,1,NA,1,0,0,0,0,1,0,45,20,1,1,1,6694,367.38
10,1,"White",1,0,1,NA,1,1,NA,1,1,1,1,1,1,0,240,20,1,1,0,347,421.17
11,1,"White",1,1,1,1,1,NA,NA,NA,1,1,1,1,1,0,215,18,1,1,0,774,519.69
10,1,"Hispanic",0,0,1,0,0,0,0,1,1,1,1,1,1,0,420,28,0,1,1,626,367.06
11,0,"Hispanic",1,1,1,0,1,1,0,NA,1,1,1,1,1,1,290,30,1,1,0,1347,665.13
11,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,160,23,1,0,1,1212,577.9
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,2098,580.45
10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,854,459.86
11,1,"Hispanic",1,1,1,0,1,1,0,1,1,0,1,1,1,1,360,36,1,1,1,2942,544.95
9,0,"Hispanic",1,NA,0,0,0,0,0,1,1,1,1,1,1,0,225,15,1,1,0,400,406.56
11,1,"Native Hawaiian/Other Pacific Islander",1,1,1,1,1,1,1,1,1,0,0,1,1,0,180,25,1,0,1,570,606.27
10,0,"Asian",1,1,0,0,1,0,0,1,0,0,0,0,1,0,225,25,1,1,1,3000,349.6
10,1,"Black",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,245,19,1,1,1,1095,313.26
10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,260,17,1,1,0,636,656.95
10,1,"White",1,1,1,0,1,1,NA,1,1,1,1,1,1,0,340,30,1,1,0,979,524.02
11,0,"Hispanic",0,1,1,0,0,1,0,1,1,0,0,1,1,1,275,26,1,1,1,2144,562.42
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,15,1,0,1,915,656
11,1,"White",1,1,1,1,1,1,NA,0,1,1,1,1,1,1,300,25,1,1,1,1988,534.45
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,3004,340.6
10,1,"White",1,0,NA,0,1,NA,0,1,1,NA,NA,1,1,0,225,32,1,1,0,505,369.38
11,0,"Hispanic",1,1,1,1,1,0,0,1,1,0,0,0,1,1,354,40,1,1,1,3592,462
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,2878,683.64
11,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,1,1988,490.13
10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,450,10,1,1,0,1173,548.88
11,1,"White",0,1,1,1,0,1,1,0,1,1,1,1,1,0,270,24,1,1,0,389,680.83
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,315,25,NA,1,0,1233,466.54
11,0,"Native Hawaiian/Other Pacific Islander",0,1,1,1,1,1,1,1,1,0,0,1,1,0,255,24,1,0,1,570,422.05
11,0,"White",1,1,1,1,1,1,1,0,1,1,0,1,1,0,250,14,1,0,1,915,644.24
10,0,"Black",1,1,1,NA,NA,1,NA,1,1,0,0,1,1,1,315,NA,1,1,1,989,485.2
10,0,"Hispanic",1,0,1,NA,0,1,NA,1,1,1,1,1,1,0,240,28,1,1,1,2255,558.13
10,1,"Hispanic",1,1,0,0,0,0,0,1,0,0,0,0,0,0,84,23,1,1,1,3201,388.62
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,898,609.08
9,1,"Hispanic",NA,1,1,NA,NA,NA,NA,0,1,1,0,1,1,0,225,12,1,1,1,1196,408.26
10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,20,1,1,0,2183,720.03
9,1,"Black",1,1,1,0,1,1,NA,1,0,0,0,1,1,0,315,20,1,1,0,2361,383.01
10,1,"White",1,1,1,0,1,1,1,0,1,1,1,1,0,1,225,30,1,1,0,1233,440.65
11,0,"White",0,0,1,NA,0,1,0,1,1,1,1,1,1,0,250,20,1,1,0,421,448.82
11,0,"Hispanic",0,1,1,0,1,1,0,1,1,1,1,1,1,0,264,30,1,1,0,2402,520.31
10,0,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,1,285,36,1,1,1,NA,569.88
10,0,"Hispanic",1,1,0,NA,1,1,NA,1,1,0,0,1,1,0,60,30,1,1,1,2942,454.62
11,0,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,1,NA,0,215,20,1,1,0,774,500.45
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,31,1,1,0,2340,626.64
10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,258,25,1,1,0,1812,528.5
10,1,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,375,20,1,1,0,1295,520.01
10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,2144,522.7
10,1,"White",1,0,1,0,1,0,0,1,1,1,1,1,0,0,400,20,1,1,0,NA,463.42
10,1,"Hispanic",1,0,NA,NA,1,NA,NA,1,1,0,0,0,1,0,45,13,1,1,1,1196,267.57
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,30,1,1,0,898,620.41
10,0,"Hispanic",1,1,1,0,1,0,0,1,1,1,1,1,1,0,250,30,1,1,1,539,530.56
10,1,"Hispanic",1,0,0,0,0,NA,1,1,0,0,0,0,0,0,250,35,1,1,1,1095,455.64
10,1,"Black",0,1,1,NA,1,1,1,1,0,0,0,1,1,0,600,22,1,1,0,1680,521.06
10,1,"White",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,160,20,1,0,1,1212,554.49
10,1,"White",1,1,1,1,0,1,1,0,1,1,1,1,1,1,250,20,1,1,0,1375,677.14
10,1,"White",1,1,1,NA,1,1,1,1,1,1,1,1,1,0,250,22,1,1,0,929,595.53
10,1,"White",0,1,1,1,0,1,0,1,1,1,1,1,1,0,420,30,1,1,0,899,498.93
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,285,30,1,1,1,2966,560.34
10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,1,140,15,1,1,1,1900,583.71
9,0,"White",1,0,1,1,1,0,0,0,1,1,1,1,1,1,300,9,1,1,0,421,438.17
10,0,"White",1,1,1,0,1,1,1,1,1,0,1,1,1,1,235,22,1,0,1,356,536.84
10,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,0,0,180,20,1,0,1,570,485.92
10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,1,2999,677.53
10,1,"White",1,1,1,0,1,1,0,1,1,1,0,1,1,0,300,22,1,1,0,899,453.72
9,0,NA,0,0,0,0,0,1,NA,1,0,0,0,1,1,0,330,30,NA,1,1,NA,309.96
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,1526,640.03
10,0,"Hispanic",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,28,1,1,0,2569,413.7
10,1,"White",1,1,1,0,1,1,0,1,1,0,1,1,1,0,200,20,1,1,0,NA,490.67
10,1,"White",0,1,0,0,1,0,0,1,1,1,1,1,1,0,270,21,1,1,0,196,609.88
10,1,"White",0,1,1,1,0,1,1,1,1,1,1,1,1,1,270,35,1,1,1,1734,537.89
9,1,"White",1,1,0,0,1,0,0,1,1,1,1,1,NA,0,60,20,1,1,0,690,374.67
10,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,300,23,1,1,0,434,577.27
10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,28,1,1,0,2878,465.02
9,1,"Black",1,1,1,0,0,1,1,1,0,0,0,0,1,1,NA,30,1,1,1,2080,317.19
10,0,"Hispanic",0,NA,0,0,0,1,NA,1,NA,0,0,0,1,0,720,23,NA,1,1,2646,305.98
11,1,"Hispanic",1,1,0,0,0,1,0,1,1,0,1,0,1,0,255,25,1,1,1,1763,438.16
10,0,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,240,31,1,1,0,1087,405.05
10,0,"Hispanic",0,1,0,0,0,1,0,0,1,1,1,1,0,1,360,40,1,1,1,3201,556.94
11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,0,0,250,28,1,1,0,505,586.88
10,1,"Hispanic",1,1,1,0,1,0,0,1,1,1,1,0,1,0,375,30,1,1,0,1101,517.93
10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,275,30,1,1,1,NA,655.2
11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,350,25,1,1,0,1295,450.49
10,1,"Hispanic",1,1,1,1,1,1,1,1,1,NA,NA,1,1,0,NA,24,NA,1,0,1750,205.92
10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,375,20,1,1,0,2183,653.81
10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,0,275,18,1,1,0,362,544.07
10,0,"White",1,1,1,1,0,1,1,1,1,NA,1,1,1,0,192,13,1,1,0,2710,496.8
10,0,"Hispanic",0,1,0,0,1,0,0,1,1,0,0,0,1,0,275,NA,NA,1,1,2149,420.85
11,1,"White",NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,0,120,30,NA,1,0,361,334.91
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,24,1,0,1,1212,519.37
10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,325,30,1,1,0,712,702.23
10,1,"American Indian/Alaska Native",1,1,1,0,0,1,0,0,1,1,1,1,1,0,225,25,1,1,0,1610,490.27
10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,18,0,0,1,366,661.56
10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,20,0,1,1,502,586.01
10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,528.5
9,1,"Black",0,0,1,1,1,1,NA,0,1,1,1,1,1,1,225,25,NA,1,0,889,423.57
9,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,450,30,1,1,0,1173,431.98
10,0,"Hispanic",1,1,0,0,0,1,0,1,1,0,0,0,1,NA,270,30,1,1,1,NA,318.85
10,0,"White",0,1,0,0,0,1,0,1,1,1,1,1,1,1,435,30,1,1,0,1317,567.9
10,1,"Hispanic",1,1,1,1,1,1,1,1,1,1,1,0,1,1,255,2,1,1,0,996,516.41
10,1,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,50,32,1,1,1,1392,430.95
10,0,"More than one race",1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,34,1,1,0,1064,586.17
10,0,"White",1,1,0,0,1,1,0,1,0,0,1,1,1,0,300,25,1,1,0,929,602.61
10,1,"Asian",0,1,1,0,0,1,0,0,1,0,0,0,0,1,270,45,1,1,1,3201,407.86
10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,250,18,1,1,0,1064,563.05
10,0,"Hispanic",1,1,1,0,0,0,0,1,1,0,1,0,1,1,300,25,1,1,0,1900,454.7
10,0,"White",1,0,1,0,1,1,1,1,1,1,1,1,1,0,35,3,1,1,0,2098,378.19
10,1,"White",1,1,1,0,1,1,0,0,1,1,0,1,1,1,225,22,1,1,0,850,448.67
10,0,"Hispanic",1,1,1,0,1,1,0,1,1,0,1,1,1,0,40,20,1,1,0,1680,394.24
9,1,"More than one race",0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,20,1,1,1,2004,575.65
10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,1,400,30,1,1,0,979,597.13
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,0,1064,515.2
10,1,"White",0,1,1,0,1,1,0,1,0,0,0,0,1,0,250,40,1,1,1,3138,428.3
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,NA,NA,0,0,1064,428.62
10,1,"Asian",1,1,1,0,1,1,0,1,1,0,0,0,1,0,270,38,1,1,1,2085,527.55
10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,15,1,1,0,389,473.44
10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,19,1,1,0,358,489.09
11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,215,15,1,1,0,774,556.89
10,1,"More than one race",1,1,1,0,0,1,0,1,1,1,1,1,0,1,275,33,1,1,1,2162,539.74
10,0,"Hispanic",0,1,1,0,1,1,0,1,1,0,0,0,1,0,180,20,1,1,0,996,480.51
10,0,"White",1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,NA,1,1,0,1317,497.12
9,1,"Hispanic",0,1,0,0,0,0,0,1,1,0,0,0,1,0,54,30,1,1,1,3592,450.67
10,1,"Hispanic",1,0,0,0,1,0,0,1,0,0,0,0,0,1,250,35,1,1,1,1095,408.74
10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,17,1,1,0,389,499.41
10,0,"White",0,0,1,0,0,1,NA,1,1,1,1,1,1,0,480,25,0,1,1,626,467.88
10,1,"Asian",1,1,1,1,0,1,1,1,1,1,0,1,1,0,160,15,1,1,1,1900,672.01
9,0,"Black",1,1,1,NA,0,1,NA,0,1,1,1,1,1,1,55,22,1,1,0,762,318.3
10,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,250,15,1,1,0,421,529.07
10,1,"Native Hawaiian/Other Pacific Islander",1,1,0,0,0,0,0,NA,0,0,0,0,1,1,270,35,1,1,0,808,305.41
10,0,"White",1,0,1,0,1,0,0,1,1,1,1,1,1,1,264,30,NA,1,0,2402,488.22
9,1,"Hispanic",1,1,1,0,1,NA,NA,NA,1,1,1,1,1,0,450,15,0,1,1,1196,420.85
11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,1,200,20,1,1,0,754,556.38
10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,0,0,275,25,1,1,0,1382,587.68
10,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,0,1,1,225,23,1,1,1,1408,559.87
10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,0,0,450,20,1,1,0,1173,346.53
10,0,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,1,300,26,1,1,0,1064,557.65
11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1897,675.86
10,1,"White",1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,0,225,30,1,1,0,1828,565.23
10,1,"Hispanic",0,0,0,0,1,0,0,NA,0,0,0,0,1,0,225,20,1,1,0,3004,377.8
10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,38,1,1,1,2085,647.18
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,612,615.17
11,0,"More than one race",1,1,1,1,0,1,1,1,0,0,1,1,1,1,270,25,1,1,0,1680,652.74
9,0,"Hispanic",1,1,1,NA,1,0,NA,1,1,0,0,1,1,0,176,NA,1,1,1,1202,367.23
10,1,"Hispanic",0,1,0,0,0,0,0,0,0,0,0,0,1,0,300,25,NA,1,1,2149,449.55
10,0,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,0,210,25,1,1,0,996,498.07
10,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1233,483.94
10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,16,1,1,0,358,560.83
